Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acβ-Sp17,157.88302499999998,43.52233245031582,21.76116622515791,27.566188607239965
2,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,44.70789999999988,22.337318777205223,11.168659388602611,49.96280025947379
3,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,406.51262499999996,68.96472861056752,34.48236430528376,16.9649659984281
4,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,81.86282500000002,23.262408305730144,11.631204152865072,28.41632732040476
5,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,6789.84525,3051.9916916177913,1525.9958458088956,44.949355681085535
6,a-D-Gal–Sp8,88.1075,28.61147759146087,14.305738795730434,32.4733735396656
7,a-D-Glc–Sp8,65.71247500000001,20.815785818520016,10.407892909260008,31.677068651759065
8,a-D-Man–Sp8,77.46412500000001,25.478560341114875,12.739280170557437,32.89078698186402
9,a-GalNAc–Sp8,103.37907499999997,50.96355305911443,25.481776529557216,49.29774527302981
10,a-L-Fuc–Sp8,82.36495,26.290670589964144,13.145335294982072,31.919731135591228
11,a-L-Fuc–Sp9,91.42799999999997,16.112818001827076,8.056409000913538,17.623504836403598
12,a-L-Rhα-Sp8,105.38422499999996,15.004061579091807,7.502030789545904,14.237483436531239
13,a-Neu5Ac–Sp8,69.26387499999998,10.237807073579974,5.118903536789987,14.780875418217615
14,a-Neu5Ac–Sp11,121.63175000000004,23.08215610805597,11.541078054027984,18.977081319685002
15,β-Neu5Ac-Sp8,92.646075,18.834542810197508,9.417271405098754,20.329563675738566
16,β-D-Gal–Sp8,83.10614999999999,15.433947328427347,7.716973664213674,18.571366052244446
17,β-D-Glc–Sp8,72.72392500000002,8.254256237592422,4.127128118796211,11.350124787121183
18,β-D-Man–Sp8,53.43125,12.922713165714638,6.461356582857319,24.18568378189662
19,β-GalNAc–Sp8,106.67990000000003,41.553763021175314,20.776881510587657,38.95182037213692
20,β-GlcNAc–Sp0,81.9294,16.523901634299396,8.261950817149698,20.168464109708353
21,β-GlcNAc–Sp8,59.0698,33.047992360908495,16.523996180454247,55.94735780535653
22,β-GlcN(Gc)-Sp8,100.99025,39.30715337352736,19.65357668676368,38.92173093296369
23,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα-Sp8",85.96679999999998,27.422614422528643,13.711307211264321,31.899075483243124
24,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,68.28985000000002,10.048111189173772,5.024055594586886,14.713916034628527
25,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,348.04317499999996,103.58549056051508,51.79274528025754,29.762253076939405
26,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,129.77895,42.86231391860065,21.431156959300324,33.02716959768949
27,[3OSO3]Galβ1-4Glcβ-Sp8,23.862025000000003,19.406657954488203,9.703328977244102,81.32862971389982
28,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,180.19672499999996,37.0740387662651,18.53701938313255,20.574202314867325
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,65.72805000000001,16.638203963268733,8.319101981634367,25.313703910687646
30,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,63.042875,35.84016134649089,17.920080673245444,56.85045510137488
31,[3OSO3]Galβ1-3GalNAcα-Sp8,69.54375,15.122725384334583,7.561362692167291,21.7456283049657
32,[3OSO3]Galβ1-3GlcNAcβ–Sp8,136.71259999999995,24.01063557245717,12.005317786228584,17.562854903247526
33,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,87.650825,33.5576363354527,16.77881816772635,38.28559096329407
34,[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp8,142.12782499999997,28.791613271272556,14.395806635636278,20.257548633613833
35,[3OSO3]Galβ1-4GlcNAcβ–Sp0,83.18182500000002,38.775366500169895,19.387683250084947,46.615190878740506
36,[3OSO3]Galβ1-4GlcNAcβ-Sp8,80.86964999999998,18.596859376697637,9.298429688348818,22.996092324744378
37,[3OSO3]Galβ–Sp8,68.55107499999998,41.67050245232435,20.835251226162175,60.78752587369981
38,[4OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,182.88262499999996,57.55762546986434,28.77881273493217,31.472440572123432
39,[4OSO3]Galβ1-4GlcNAcβ-Sp8,42.59237499999999,16.852258696759286,8.426129348379643,39.5663747249579
40,6-H2PO3Manα-Sp8,28.43597500000002,26.025720704125863,13.012860352062932,91.52392595691143
41,[6OSO3]Galβ1-4Glcβ–Sp0,102.717825,22.697197681560436,11.348598840780218,22.096649419475572
42,[6OSO3]Galβ1-4Glcβ–Sp8,92.75554999999999,21.69602441285814,10.84801220642907,23.390540418183217
43,[6OSO3]Galβ1-4GlcNAcβ–Sp8,75.97497499999999,16.659613316916072,8.329806658458036,21.927764131434166
44,[6OSO3]Galβ1-4[6OSO3]Glcβ-Sp8,90.36152500000003,35.12301314555031,17.561506572775155,38.8694338055387
45,NeuAcα2-3[6OSO3]Galβ1-4GlcNAcβ–Sp8,2168.0793750000003,301.10551402827144,150.55275701413572,13.888122247750795
46,[6OSO3]GlcNAcβ–Sp8,121.39219999999997,25.68619121149211,12.843095605746054,21.159671882948093
47,9NAcNeu5Aca-Sp8,129.160575,25.62678126965046,12.81339063482523,19.84102445320522
48,9NAcNeu5Acα2-6Galβ1-4GlcNAcβ-Sp8,94.64752499999999,19.083230513966015,9.541615256983007,20.1624189475277
49,Manα1-3(Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,43.84622500000002,2.6146093326726874,1.3073046663363437,5.963134415044137
50,GlcNAcβ1-2Manα1-3(GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,139.69952500000002,34.402228910965945,17.201114455482973,24.62587393261784
51,Galβ1-4GlcNAcβ1-2Manα1-3(Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,92.75632499999999,35.85218909405446,17.92609454702723,38.652015476092295
52,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,14884.654625,1707.840136453071,853.9200682265355,11.47383113333791
53,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp8,14709.283225,1695.1031177724929,847.5515588862464,11.524036160317342
54,Fucα1-2Galβ1-3GalNAcβ1-3Gala-Sp9,120.79125,26.604685119292096,13.302342559646048,22.025341338294034
55,Fucα1-2Galβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ-Sp9,58.18039999999999,16.44829391862067,8.224146959310335,28.27119428298993
56,Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,77.47717500000002,16.328389604280158,8.164194802140079,21.075096767893452
57,Fucα1-2Galβ1-3GalNAcα-Sp8,86.93925,25.51404626704023,12.757023133520114,29.346982251445958
58,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp0,85.00139999999998,16.835912115277086,8.417956057638543,19.806629202903824
59,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp9,96.908725,28.28590458577963,14.142952292889815,29.188191863817863
60,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp10,50.68527499999999,27.387771860494603,13.693885930247301,54.0349674742706
61,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp8,64.9043,6.274551372010636,3.137275686005318,9.667389328612488
62,Fucα1-2Galβ1-3GlcNAcβ–Sp0,63.665,19.921665884157395,9.960832942078698,31.291393833593645
63,Fucα1-2Galβ1-3GlcNAcβ–Sp8,76.5223,40.020008672662684,20.010004336331342,52.29849164578519
64,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,84.767775,24.430759413271765,12.215379706635883,28.820810046355195
65,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,140.074725,12.647162978410858,6.323581489205429,9.028868683062456
66,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp0,114.82102500000002,52.61977660952021,26.309888304760104,45.827649256327575
67,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,157.064525,29.44410871152055,14.722054355760275,18.746504795733184
68,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAc–Sp0,87.02805000000001,19.21350536410954,9.60675268205477,22.077370875378154
69,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0,103.13242499999996,18.620091416241177,9.310045708120589,18.05454629447643
70,Fucα1-2Galβ1-4GlcNAcβ–Sp0,51.16644999999998,19.643692560972347,9.821846280486174,38.39174412329242
71,Fucα1-2Galβ1-4GlcNAcβ–Sp8,110.65107500000003,27.91682652539796,13.95841326269898,25.22960262735626
72,Fucα1-2Galβ1-4Glcβ–Sp0,56.900125,16.5759313482682,8.2879656741341,29.1316255425945
73,Fucα1-2Galβ–Sp8,62.64704999999999,20.58204947496727,10.291024737483635,32.85398031506236
74,Fucα1-3GlcNAcβ-Sp8,60.82532500000002,31.18548295937013,15.592741479685065,51.27055705722924
75,Fucα1-4GlcNAcβ–Sp8,53.71680000000002,31.629845433387835,15.814922716693918,58.88259433433828
76,Fucβ1-3GlcNAcβ-Sp8,90.51742499999997,10.078321201924824,5.039160600962412,11.134122741477485
77,GalNAcα1-3(Fucα1-2)Galβ1-3GlcNAcβ-Sp0,103.54035000000002,23.882654858634655,11.941327429317328,23.06603643761553
78,GalNAcα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,192.9916,63.31671533178775,31.658357665893874,32.80801616846938
79,GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ-Sp0,67.268,29.342656458359976,14.671328229179988,43.620527529226344
80,GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ–Sp8,80.888925,26.6789580288005,13.33947901440025,32.98221360810581
81,GalNAcα1-3(Fucα1-2)Galβ1-4Glcβ-Sp0,77.486375,18.775896483057693,9.387948241528846,24.231223209316084
82,GalNAcα1-3(Fucα1-2)Galβ–Sp8,99.18919999999997,17.500587725940623,8.750293862970311,17.643642378344243
83,GalNAcα1-3GalNAcβ–Sp8,150.15457500000002,43.78867119780135,21.894335598900675,29.162395616518072
84,GalNAcα1-3Galβ–Sp8,145.07837500000005,31.429740911051553,15.714870455525777,21.663973635665236
85,GalNAcα1-4(Fucα1-2)Galβ1-4GlcNAcβ-Sp8,42.79802499999998,31.051510110500264,15.525755055250132,72.5536052434669
86,GalNAcβ1-3GalNAcα-Sp8,60.50897500000002,12.36593531073032,6.18296765536516,20.436530796845123
87,GalNAcβ1-3(Fucα1-2)Galβ-Sp8,62.75832500000001,28.923717482874988,14.461858741437494,46.087459285879575
88,GalNAcβ1-3Galα1-4Galβ1-4GlcNAcβ-Sp0,72.41625,26.50738210266461,13.253691051332305,36.60419049959727
89,GalNAcβ1-4(Fucα1-3)GlcNAcβ-Sp0,78.26375,28.81985674756206,14.40992837378103,36.82401718236356
90,GalNAcβ1-4GlcNAcβ–Sp0,89.30117499999999,36.02357064093597,18.011785320467986,40.33941394492959
91,GalNAcβ1-4GlcNAcβ–Sp8,44.457425,14.691595240221515,7.3457976201107575,33.04643766529779
92,Galα1-2Galβ–Sp8,80.79825,30.98398541940658,15.49199270970329,38.34734715096748
93,Galα1-3(Fucα1-2)Galβ1-3GlcNAcβ-Sp0,67.73819999999999,35.02003899959756,17.51001949979878,51.699098883049096
94,Galα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,199.15612499999997,24.610174939968324,12.305087469984162,12.357227245693963
95,Galα1-3(Fucα1-2)Galβ1-4GlcNAc-Sp0,80.15895,45.46505998753331,22.732529993766654,56.71863215215931
96,Galα1-3(Fucα1-2)Galβ1-4Glcβ-Sp0,94.773125,14.620984923133394,7.310492461566697,15.4273534012236
97,Galα1-3(Fucα1-2)Galβ–Sp8,47.84557500000001,24.46628321171466,12.23314160585733,51.13593725587926
98,Galα1-3(Galα1-4)Galβ1-4GlcNAcβ-Sp8,65.537125,27.400909390185728,13.700454695092864,41.809751938593166
99,Galα1-3GalNAca-Sp8,68.16087499999999,8.582176872012136,4.291088436006068,12.591060299639839
100,Galα1-3GalNAcβ–Sp8,59.89932499999999,9.231105548948818,4.615552774474409,15.411034346294919
101,Galα1-3Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,55.262299999999996,8.555114750058406,4.277557375029203,15.48092415635688
102,Galα1-3Galβ1-3GlcNAcβ-Sp0,198.50385,91.51063328825077,45.75531664412539,46.10018056992384
103,Galα1-3Galβ1-4GlcNAcβ–Sp8,92.06672500000003,37.2792657784793,18.63963288923965,40.49157366950903
104,Galα1-3Galβ1-4Glcβ–Sp0,80.69072500000001,37.82743863426607,18.913719317133037,46.8795374366336
105,Galα1-3Galβ–Sp8,57.87620000000001,27.0145153593397,13.50725767966985,46.676380549068
106,Galα1-4(Fucα1-2)Galβ1-4GlcNAcβ-Sp8,68.59554999999999,11.181968199293044,5.590984099646522,16.301302634490206
107,Galα1-4Galβ1-4GlcNAcβ–Sp0,102.88022500000001,18.394679465065483,9.197339732532742,17.87970376723562
108,Galα1-4Galβ1-4GlcNAcβ–Sp8,66.862025,37.52034202201744,18.76017101100872,56.11607189883561
