Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,11.459000000000003,12.06669720042177,105.3032306520793,
2,Glca-Sp8,21.256900000000005,22.767028787261626,107.10418164107476,
3,Mana-Sp8,9.158675000000006,9.973067372804616,108.89203266634759,
4,GalNAca-Sp8,7.6375,11.141541443026039,145.87942969592197,
5,GalNAca-Sp15,11.906175000000001,11.87321425488903,99.72316260166703,
6,Fuca-Sp8,9.988674999999999,8.583739661854851,85.93471768632828,
7,Fuca-Sp9,9.418400000000004,6.117994980928523,64.95790135191243,
8,Rhaa-Sp8,-0.9984749999999991,5.119340304098432,-512.7159221911852,
9,Neu5Aca-Sp8,4.882325,5.005310376906377,102.5189920152054,
10,Neu5Aca-Sp11,4.135725000000001,8.789435445797029,212.5246588154925,
11,Neu5Acb-Sp8,3.7689749999999975,6.360714405565359,168.76509941205137,
12,Galb-Sp8,5.507300000000001,2.9621005452212468,53.7849862041517,
13,Glcb-Sp8,25.474300000000003,11.713435169069744,45.98138189889317,
14,Manb-Sp8,17.548375000000004,6.847197137698034,39.01898117459897,
15,GalNAcb-Sp8,16.906975000000003,12.394207165278189,73.30824801762697,
16,GlcNAcb-Sp0,6.512624999999998,9.195186477853504,141.1901725932862,
17,GlcNAcb-Sp8,21.1319,7.196694766812504,34.056070522823326,
18,GlcN(Gc)b-Sp8,15.069899999999999,5.328430412419781,35.35810066702354,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,7.888425000000003,6.413457723867316,81.3021322236988,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,10.143899999999999,7.452928961153463,73.472027140976,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,9.138675000000001,11.052046090920594,120.93707338230753,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,10.907874999999997,5.805198033587377,53.220247147931,
23,6S(3S)Galb1-4GlcNAcb-Sp0,17.8753,15.745380188910444,88.08456467253944,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,43.556974999999994,17.945039216335914,41.19900249348334,
25,(3S)Galb1-4Glcb-Sp8,10.230325000000004,14.327319875067353,140.04755347525466,
26,(3S)Galb1-4(6S)Glcb-Sp0,5.346125000000001,6.196977091762838,115.91530485656128,
27,(3S)Galb1-4(6S)Glcb-Sp8,2.0042500000000008,4.087389149159484,203.93609325979702,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,18.083,16.33659536276353,90.34228481315894,
29,(3S)Galb1-3GalNAca-Sp8,11.6016,5.8936408277623,50.8002415853184,
30,(3S)Galb1-3GlcNAcb-Sp0,3.957725,18.537014613357606,468.3755089946271,
31,(3S)Galb1-3GlcNAcb-Sp8,11.859549999999995,13.599868436005806,114.67440531896919,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,15.093675000000001,5.59351072545973,37.05864029442617,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,6.2453,6.087451435535235,97.47252230533738,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,15.568875000000004,9.635709928308339,61.89085549410819,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,8.515775000000001,11.563018320022096,135.78351142464535,
36,(3S)Galb1-4GlcNAcb-Sp0,1.712299999999999,2.9506382608965596,172.32016941520536,
37,(3S)Galb1-4GlcNAcb-Sp8,19.65495,8.756861397593696,44.552956876479946,
38,(3S)Galb-Sp8,14.175524999999997,6.726142303170527,47.44898198246999,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,8.231550000000002,11.690943001742847,142.02602185181217,
40,(4S)Galb1-4GlcNAcb-Sp8,0.26195000000000057,2.138407451820161,816.341840740659,
41,(6P)Mana-Sp8,5.853299999999997,4.5126221298338915,77.09535014152519,
42,(6S)Galb1-4Glcb-Sp0,1.8226999999999975,3.301594277517049,181.13755843073756,
43,(6S)Galb1-4Glcb-Sp8,6.424750000000001,6.711016719047364,104.45568650993988,
44,(6S)Galb1-4GlcNAcb-Sp8,17.408699999999996,10.65630500846018,61.212525969545005,
45,(6S)Galb1-4(6S)Glcb-Sp8,30.181349999999995,21.229818684969157,70.34085183389465,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,7.46125,12.024359357154959,161.15743819272853,
47,(6S)GlcNAcb-Sp8,29.096,12.50348895735372,42.97322297688246,
48,"Neu5,9Ac2a-Sp8",8.360925,7.3878900106300085,88.36211317085142,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",7.42375,9.61316845356757,129.49208221677142,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,14.88505,3.7356168544610173,25.09643470771692,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,27.251575,13.211973040737202,48.481502594757195,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,4.910474999999999,3.519704718083606,71.67747963452837,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,8.791450000000003,4.599986032949803,52.32340550136555,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,17.938975000000003,16.19938268337716,90.30272177411004,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,10.598875,2.9256236535993367,27.603152727052038,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,-0.0854499999999998,6.211433288434051,-7269.08518248574,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,19.739100000000008,6.8579859069554505,34.74315397842581,
58,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,15.611374999999997,6.099439073321966,39.07047952740849,
59,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,8.810500000000001,10.822612404590677,122.83766420283384,
60,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,9.075524999999999,11.330969375528573,124.85194383276533,
61,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,8.643549999999998,2.428280068278777,28.093550315307684,
62,Fuca1-2Galb1-3GalNAca-Sp8,5.18665,10.386894786701172,200.26211112570104,
63,Fuca1-2Galb1-3GalNAca-Sp14,2.9986000000000015,2.8292078420174995,94.35095851455672,
64,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,6.798625,4.32584640532925,63.62825432097298,
65,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,5.88415,5.059648577058823,85.98775655037385,
66,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,8.4666,8.510955454393274,100.5238874447036,
67,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,3.983225,5.657850585617003,142.0419530811592,
68,Fuca1-2Galb1-3GlcNAcb-Sp0,9.158224999999998,14.316846114833858,156.32773943459418,
69,Fuca1-2Galb1-3GlcNAcb-Sp8,11.911525000000005,15.322648870952394,128.63717173873528,
70,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,16.653950000000002,16.842636189049106,101.13298159925486,
71,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,7.788350000000001,11.283834886095535,144.88094251151443,
72,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,9.986474999999999,20.947662287452665,209.76032371234763,
73,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,10.000774999999997,3.770168873649216,37.69876708204331,
74,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,8.197224999999996,2.1524632979836706,26.258438654345483,
75,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,12.701699999999999,9.365597313216782,73.73499069586576,
76,Fuca1-2Galb1-4GlcNAcb-Sp0,11.460424999999999,7.731594724408417,67.46342063587012,
77,Fuca1-2Galb1-4GlcNAcb-Sp8,7.632325,6.275093391270498,82.21732422650369,
78,Fuca1-2Galb1-4Glcb-Sp0,18.072250000000004,8.345742137361597,46.17987321645947,
79,Fuca1-2Galb-Sp8,7.478625000000001,6.346964364363488,84.86806551155442,
80,Fuca1-3GlcNAcb-Sp8,4.682150000000004,10.133365832897448,216.4254847217078,
81,Fuca1-4GlcNAcb-Sp8,5.664275,6.171514626289076,108.95506708782811,
82,Fucb1-3GlcNAcb-Sp8,21.236225000000005,16.47914854037772,77.59923687179673,
83,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,5.757600000000004,8.403309346124699,145.95160042595342,
84,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,33.226225,13.49908251261913,40.627794799496876,
85,(3S)Galb1-4(Fuca1-3)Glcb-Sp0,14.607349999999999,5.512400453825292,37.73716967023651,
86,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,5.713525000000001,4.0932757813883,71.64186349737332,
87,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,2.1503000000000014,4.407152884421715,204.95525668147292,
88,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,12.698024999999996,1.9945633680499335,15.707666098073789,
89,GlcNAcb1-3Galb1-3GalNAca-Sp8,5.76305,2.772877581743077,48.114758361337785,
90,GalNAca1-3(Fuca1-2)Galb-Sp8,-0.3333999999999975,8.347943594283164,-2503.882301824603,
91,GalNAca1-3(Fuca1-2)Galb-Sp18,1.654875000000004,6.161145295248814,372.3027597400891,
92,GalNAca1-3GalNAcb-Sp8,8.013575,3.8032749881954833,47.46040298113493,
93,GalNAca1-3Galb-Sp8,13.183475000000001,8.759669378987228,66.44431289161035,
