Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,-6.120025000000002,12.814961867903989,-209.39394639570895,
2,Glca-Sp8,-24.937375,5.086386584059454,-20.3966399192355,
3,Mana-Sp8,-21.358675,17.80526261631187,-83.36314221884959,
4,GalNAca-Sp8,-6.7204000000000015,5.2555646737529536,-78.20315269556801,
5,GalNAca-Sp15,-17.604525000000006,7.659969354322939,-43.51136627840249,
6,Fuca-Sp8,-3.0382750000000005,4.459493478243917,-146.7771507926016,
7,Fuca-Sp9,21.188599999999994,7.866636804886842,37.12674176154557,
8,Rhaa-Sp8,-9.003274999999999,5.521350291595346,-61.326020715743404,
9,Neu5Aca-Sp8,30.685374999999993,30.5556161883403,99.57713141306014,
10,Neu5Aca-Sp11,84.034325,22.734681434961132,27.054041827504577,
11,Neu5Acb-Sp8,45.13899999999999,32.63566444561327,72.30037095552245,
12,Galb-Sp8,17.959424999999996,14.85566117486866,82.71791092904512,
13,Glcb-Sp8,-34.327850000000005,8.950958576785665,-26.074917528437297,
14,Manb-Sp8,-7.7289499999999975,4.66633350894111,-60.374740539673724,
15,GalNAcb-Sp8,-36.050075,10.008371651564195,-27.762415616511742,
16,GlcNAcb-Sp0,-15.41405,7.577294245529427,-49.15836036297681,
17,GlcNAcb-Sp8,26.461425,22.407121546266634,84.67843869431309,
18,GlcN(Gc)b-Sp8,-29.506100000000004,8.712685163981668,-29.528420102899627,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,-19.4632,24.72557913538124,-127.03758444336613,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,21.815875000000002,6.50267629896852,29.807084515145597,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,-4.294175000000003,8.880705192485182,-206.80818067463895,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,50.16552500000001,19.8119360397337,39.49313007236283,
23,6S(3S)Galb1-4GlcNAcb-Sp0,27.89827499999999,17.75723811433431,63.649950093094695,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,29.646550000000005,8.181870668129566,27.598053291629434,
25,(3S)Galb1-4Glcb-Sp8,11.061,9.482943403817197,85.73314712790162,
26,(3S)Galb1-4(6S)Glcb-Sp0,-27.218375,10.791850085558398,-39.64913440114775,
27,(3S)Galb1-4(6S)Glcb-Sp8,4.242050000000001,4.157281943369564,98.00171953111263,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,-30.653125,13.688694486905362,-44.65676660016022,
29,(3S)Galb1-3GalNAca-Sp8,-2.8854500000000005,9.993790080678437,-346.35117852253325,
30,(3S)Galb1-3GlcNAcb-Sp0,-54.921625,13.164333385673892,-23.96930787403667,
31,(3S)Galb1-3GlcNAcb-Sp8,29.317125000000004,4.977771652305829,16.979057981660304,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,14.947099999999999,15.643975278894645,104.66227749125012,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,1.525,16.555081781535645,1085.5791332154522,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,6.844375,21.040534300943186,307.4135227970879,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,23.8278,14.892513729387641,62.500582216518694,
36,(3S)Galb1-4GlcNAcb-Sp0,8.435325,13.834873483670409,164.0111493471847,
37,(3S)Galb1-4GlcNAcb-Sp8,-16.921925,13.79430561750633,-81.51735465974662,
38,(3S)Galb-Sp8,-5.0713750000000015,14.7488775024576,-290.82600877390445,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,-35.0452,18.24816237013106,-52.07036161908351,
40,(4S)Galb1-4GlcNAcb-Sp8,-42.665125,5.744872275560223,-13.465030925282,
41,(6P)Mana-Sp8,48.257400000000004,20.951427233961876,43.415988499094176,
42,(6S)Galb1-4Glcb-Sp0,-7.728775000000001,7.1184875661313525,-92.10369775457757,
43,(6S)Galb1-4Glcb-Sp8,-5.601675,11.330215858601282,-202.2647843475618,
44,(6S)Galb1-4GlcNAcb-Sp8,8.302149999999997,11.741980188906242,141.4330045699758,
45,(6S)Galb1-4(6S)Glcb-Sp8,-35.970125,17.135123229665822,-47.63709670084778,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,15.69599999999999,30.214861696522785,192.50039307162845,
47,(6S)GlcNAcb-Sp8,-38.83402500000001,11.190980531474105,-28.817462345131883,
48,"Neu5,9Ac2a-Sp8",24.96875,3.31479033474718,13.27575603403126,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",7.353850000000001,9.078911747744515,123.4579403678959,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,-12.130225000000003,11.758193341488878,-96.93301930911319,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,-10.164900000000003,3.0993476571691647,-30.490685173185806,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,-18.013175,14.297197458563929,-79.37077976849682,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,-1.1691999999999982,11.06046231432785,-945.9854870277,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,-7.873350000000002,20.15782108554064,-256.0259747825339,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,-36.98819999999999,16.01611699674219,-43.30061207829036,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,7.147600000000002,11.60852621510012,162.41152575829813,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,-31.29725,15.57915295889563,-49.7780250945231,
58,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,-9.268924999999998,9.383404326922077,-101.23508742299761,
59,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,-9.494874999999999,16.493929521973634,-173.71402490263048,
60,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,13.565,8.16280714623669,60.17550421110719,
61,Fuca1-2Galb1-3GalNAca-Sp8,12.519749999999998,12.556097883896898,100.29032435868848,
62,Fuca1-2Galb1-3GalNAca-Sp14,-1.5961750000000006,11.470456140123634,-718.6214631931731,
63,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,-13.125050000000002,2.7579355594357273,-21.012762308987217,
64,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,20.026300000000003,15.224104209443636,76.02055401868361,
65,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,3.8910750000000007,8.511914824282096,218.7548382974395,
66,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,4.166900000000002,9.719588257740144,233.2570557906391,
67,Fuca1-2Galb1-3GlcNAcb-Sp0,-2.360225,5.522288898258885,-233.97298555260133,
68,Fuca1-2Galb1-3GlcNAcb-Sp8,-15.266000000000002,8.348636493464062,-54.68777999124892,
69,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,-1.6782750000000028,9.703335644809641,-578.1731626109919,
70,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,-20.287025,10.348445788740452,-51.01016925222132,
71,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,-16.023399999999995,8.452352710340481,-52.750057480562695,
72,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,-24.560424999999995,7.9137714575605775,-32.221638907146676,
73,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,-17.22065,12.599005052384094,-73.16219220751886,
74,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,11.625074999999999,7.026785125207212,60.44507347442673,
75,Fuca1-2Galb1-4GlcNAcb-Sp0,-21.125349999999994,13.241515606228777,-62.680692183697694,
