Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,53.609775,35.91883041000222,67.00052445659811,
2,Glca-Sp8,31.178925,18.581807565712406,59.597332383051715,
3,Mana-Sp8,22.540575,3.6177155926311633,16.049792840826658,
4,GalNAca-Sp8,19.904125,20.514639296589316,103.06727523359764,
5,GalNAca-Sp15,93.19094999999999,28.075374621127857,30.126717906757968,
6,Fuca-Sp8,12.93235,15.704847568081222,121.4384668531336,
7,Fuca-Sp9,136.08055000000002,33.54794070664648,24.653001995249486,
8,Rhaa-Sp8,37.427899999999994,18.974427146908383,50.69594379302175,
9,Neu5Aca-Sp8,31.763399999999997,10.150560477136235,31.956781947575625,
10,Neu5Aca-Sp11,14.17315,6.483675564832035,45.746186026621004,
11,Neu5Acb-Sp8,435.037275,74.6376533095,17.15661107648764,
12,Galb-Sp8,39.1679,12.06448517122328,30.801970928294036,
13,Glcb-Sp8,25.064949999999996,16.258652793205222,64.86608907340819,
14,Manb-Sp8,22.483424999999997,7.743166312465474,34.43944288944178,
15,GalNAcb-Sp8,19.882475,11.947770623391067,60.09196854713041,
16,GlcNAcb-Sp0,29.65965,14.917614408141807,50.29598935975916,
17,GlcNAcb-Sp8,13.377724999999998,7.531905697044189,56.30184278002568,
18,GlcN(Gc)b-Sp8,7.0474,2.7732784690085985,39.351795967429105,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,26.683500000000002,9.263308394592794,34.7154923251927,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,5.670075000000001,4.721152904658633,83.26438194659916,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,36.509874999999994,45.63558597135756,124.99518547066393,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,59.29755,21.76836323053865,36.71039230210801,
23,6S(3S)Galb1-4GlcNAcb-Sp0,23.070774999999998,10.468199892173446,45.374287999312756,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,20.817675,3.8665909544670694,18.573596496568754,
25,(3S)Galb1-4Glcb-Sp8,50.092150000000004,6.123694118476739,12.224857823983875,
26,(3S)Galb1-4(6S)Glcb-Sp0,50.38915,20.999061391166972,41.6737757853962,
27,(3S)Galb1-4(6S)Glcb-Sp8,32.04135,11.770011375383906,36.733818566895295,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,14.795200000000001,11.208681172496014,75.75890270152492,
29,(3S)Galb1-3GalNAca-Sp8,18.252475,6.461876249395371,35.40273989908421,
30,(3S)Galb1-3GlcNAcb-Sp0,11.979025,1.867676685751574,15.591224542494686,
31,(3S)Galb1-3GlcNAcb-Sp8,12.201825,8.541968113331185,70.0056599183416,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,31.504425000000005,12.208790858332359,38.75262239616294,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,33.041624999999996,29.159686255099412,88.25136855435959,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,16.425325,11.959134575816933,72.80911991584296,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,39.4874,20.856892874698914,52.81910906947258,
36,(3S)Galb1-4GlcNAcb-Sp0,11.000575000000001,6.837742784659761,62.158048871624985,
37,(3S)Galb1-4GlcNAcb-Sp8,30.830174999999997,24.274571728645736,78.73640590313138,
38,(3S)Galb-Sp8,16.73525,5.292017308172744,31.62197940378987,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,8.067274999999999,3.8315603491484618,47.49510025564348,
40,(4S)Galb1-4GlcNAcb-Sp8,4.106950000000001,5.00624916446102,121.89700786376798,
41,(6P)Mana-Sp8,23.527150000000002,12.213505768205952,51.912389593324946,
42,(6S)Galb1-4Glcb-Sp0,35.56625,35.10230013560364,98.69553336549016,
43,(6S)Galb1-4Glcb-Sp8,10.356850000000001,9.734890568979191,93.99470465420654,
44,(6S)Galb1-4GlcNAcb-Sp8,12.571925,9.591162204298639,76.29032311518435,
45,(6S)Galb1-4(6S)Glcb-Sp8,26.307325000000002,16.252126131140507,61.777950176008034,
