Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,128.860975,57.87545232746917,44.913095161253565,
2,Glca-Sp8,29.227699999999995,6.456441591155361,22.090145961383765,
3,Mana-Sp8,69.8647,6.838776306231072,9.78860040368179,
4,GalNAca-Sp8,27.918950000000002,14.49925349469182,51.9333767734525,
5,GalNAca-Sp15,3892.2962499999994,736.9571935557436,18.933738498341274,
6,Fuca-Sp8,4.800349999999998,7.4104185174208155,154.37246278752212,
7,Fuca-Sp9,24.124599999999997,16.695193958142568,69.20402393466657,
8,Rhaa-Sp8,17.787174999999994,15.811514774445245,88.89278243703819,
9,Neu5Aca-Sp8,28.4859,17.460413377122542,61.29493320247049,
10,Neu5Aca-Sp11,45.779950000000014,24.90707574974094,54.4060789706868,
11,Neu5Acb-Sp8,10.244349999999997,14.390856725597214,140.4760353326196,
12,Galb-Sp8,10720.797874999998,490.13275747831284,4.5717936593251265,
13,Glcb-Sp8,57.31367500000002,43.533544126675125,75.95664407608675,
14,Manb-Sp8,62.35360000000002,17.345171799091535,27.81743443697161,
15,GalNAcb-Sp8,329.35262500000005,102.5471385393847,31.135971222146686,
16,GlcNAcb-Sp0,14.2926,15.936501935703038,111.50176969692735,
17,GlcNAcb-Sp8,15.354750000000003,14.417543466786107,93.89630874345791,
18,GlcN(Gc)b-Sp8,13.514875,17.667035723888908,130.72289402520488,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,35195.67055,1890.0387718748298,5.370088827231705,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,34681.133799999996,3110.6541472608155,8.969297731727606,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,39.03060000000001,14.466248550563007,37.06386412343905,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,167.89317500000004,58.915344873718205,35.090970716182,
23,6S(3S)Galb1-4GlcNAcb-Sp0,20.108824999999996,14.461605880024758,71.91671258775567,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,52.813275000000004,47.96692742820302,90.82361854704716,
25,(3S)Galb1-4Glcb-Sp8,17.8127,6.702694299061168,37.62873847906925,
26,(3S)Galb1-4(6S)Glcb-Sp0,11.4946,13.210111985899287,114.92450355731636,
27,(3S)Galb1-4(6S)Glcb-Sp8,13.356824999999986,13.097372247484177,98.05752675118669,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,28.988899999999997,19.557758876551613,67.46637118535583,
29,(3S)Galb1-3GalNAca-Sp8,13.467974999999996,19.60565109169208,145.57237514691025,
30,(3S)Galb1-3GlcNAcb-Sp0,16.740674999999992,22.3575173407626,133.55206609508045,
31,(3S)Galb1-3GlcNAcb-Sp8,9.990474999999996,13.744607356190038,137.57711576466627,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,33.472950000000004,11.183248886467087,33.409809671591795,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,12.47495,10.24172529947957,82.09832744403441,
