Chart Number,Structure,RFU,StDev,SEM,CV
1,Alpha1-acid glycoprotein (AGP),45495.64673333333,937.382691192511,382.68488118975785,
2,AGP-A (AGP ConA flowthrough),38708.93161666666,2073.116970601166,846.3464591795487,
3,AGP-B (AGP ConA bound),36870.35581666667,1532.528545992275,625.652158988416,
4,Ceruloplasmin,9936.234516666666,3365.0185443939818,1373.76306812804,
5,Fibrinogen,47.97141666666667,33.6575349657349,13.740631110988968,
6,Transferrin,15828.024366666667,2583.960694293897,1054.8975360713002,
7,α-D-Gal–Sp8,28.911183333333337,20.10192582141489,8.206576851624016,
8,α-D-Glc–Sp8,277.6153166666666,258.58394466346454,105.56645335026155,
9,α-D-Man–Sp8,86.58496282051284,312.85879370098206,20.45221915487701,
10,α-GalNAc–Sp8,5109.481616666667,287.19412928649564,117.2465123124695,
11,α-L-Fuc–Sp8,473.22526666666664,334.31637477227275,136.4840884748565,
12,α-L-Fuc–Sp9,90.88758333333334,197.24454625980835,80.52474881388711,
13,α-L-Rhα–Sp8,93.62783333333334,119.50603706134125,48.78813533040363,
14,α-Neu5Ac–Sp8,28.5168,26.416254042539794,10.784390553325983,
15,Neu5Acα1-2–Sp82,24.444949999999995,24.092175164708564,9.83558932454821,
16,b-Neu5Ac-Sp8,208.09275,133.06558452857377,54.32379740336491,
17,β-D-Gal–Sp8,597.9125833333334,1362.592282186767,556.2759698020013,
18,β-D-Glc–Sp8,148.85028333333332,118.20505652073291,48.25701224877352,
19,β-D-Man–Sp8,29.04856666666667,11.715522627295227,4.782842084483982,
20,β-GalNAc–Sp8,2635.4197333333336,976.0553020756146,398.4729084705591,
21,β-GlcNAc–Sp0,33.08991666666667,11.531548982581084,4.707735158539027,
22,β-GlcNAc–Sp8,199.60096666666666,299.4914378010675,122.26686749085017,
23,b-GlcN(Gc)-Sp8,151.0998,342.94471288430736,140.00659275863882,
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",19.31373333333334,45.73738648771557,18.67220984389487,
25,(GlcNAcb1-3(GlcNAcb1-6)GlcNAcb1-4)GlcNAc-Sp8,98.33545,163.66979012656859,66.81791201975088,
26,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,135.89653333333334,153.00326041323,62.463319499098404,
27,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,69.18656666666665,49.44175539074911,20.18451211580581,
28,[3OSO3]Galb1-4Glcb-Sp8,55.58078333333333,48.92617351967826,19.974026698346975,
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,68.089,44.4976983004739,18.166109260745213,
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,44.62385,78.04119698166475,31.860185253518225,
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,20.454866666666664,39.31174468713729,16.048952563675652,
32,[3OSO3]Galβ1-3GalNAcα–Sp8,30.0035,28.02406129967605,11.44077511744725,
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,48.974266666666665,49.38931364320289,20.163102862021127,
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,38.85821666666667,33.66206635460257,13.742481042747622,
35,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,17.153883333333336,23.19081250507766,9.46760955966593,
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,33.99028333333334,22.483351376911454,9.178789763522442,
