Chart Number,Structure,RFU,StDev,SEM,CV
1,Alpha1-acid glycoprotein (AGP),243.1381,27.23388422829182,11.118186678890899,
2,AGP-A (AGP ConA flowthrough),230.70121666666668,24.43833807421601,9.976909740576621,
3,AGP-B (AGP ConA bound),5348.460016666667,547.2628194800872,223.41911048717927,
4,Ceruloplasmin,157.4468,62.61022668328242,25.56051800900499,
5,Fibrinogen,75.46033333333334,39.149056006890724,15.982535188087168,
6,Transferrin,158.6238,72.31992953201767,29.524487597913257,
7,α-D-Gal–Sp8,3995.348566666667,868.6924479262045,354.64220680474136,
8,α-D-Glc–Sp8,57.593566666666675,43.88063850153807,17.914195652715687,
9,α-D-Man–Sp8,77.23175299145299,57.67069131989487,3.770051030801666,
10,α-GalNAc–Sp8,48387.693283333334,15596.606680083854,6367.2880141815,
11,α-L-Fuc–Sp8,79.04383333333334,37.6915794782159,15.387522886864465,
12,α-L-Fuc–Sp9,89.33685000000001,60.59647427274132,24.738407029984103,
13,α-L-Rhα–Sp8,51.883700000000005,35.171295620263976,14.358621310371921,
14,α-Neu5Ac–Sp8,92.97866666666665,64.69499819654273,26.41162241530127,
15,Neu5Acα1-2–Sp82,43.84491666666667,29.738086370068725,12.140522922247264,
16,b-Neu5Ac-Sp8,45.11835,20.34425342623807,8.30550668202528,
17,β-D-Gal–Sp8,574.6410166666667,264.0063979288563,107.78016062597794,
18,β-D-Glc–Sp8,88.41610000000001,48.57805689971552,19.83190868336513,
19,β-D-Man–Sp8,49.59368333333333,38.888804004876086,15.876287753174893,
20,β-GalNAc–Sp8,39412.368599999994,16304.557203257718,6656.307605000227,
21,β-GlcNAc–Sp0,90.50393333333334,71.2835089608155,29.10137067151839,
22,β-GlcNAc–Sp8,83.4926,49.60008203170637,20.249148696311497,
23,b-GlcN(Gc)-Sp8,76.02708333333335,21.441817198401463,8.753585215686055,
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",40636.89001666667,2036.498239914967,831.3969249779512,
25,(GlcNAcb1-3(GlcNAcb1-6)GlcNAcb1-4)GlcNAc-Sp8,70.65723333333334,54.361163604752484,22.19285210926657,
26,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,158.72051666666667,140.23790845165107,57.25188638361428,
27,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,97.13263333333333,59.962182585681994,24.479458533086692,
28,[3OSO3]Galb1-4Glcb-Sp8,100.58445,71.51952150127264,29.19772238768805,
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,98.58008333333333,41.989771347003874,17.14225236938283,
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,108.07139999999998,46.396571045283096,18.941320812621992,
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,43.278016666666666,52.687251628583425,21.509480406608567,
32,[3OSO3]Galβ1-3GalNAcα–Sp8,84.08525,32.752898229973475,13.371314710123558,
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,115.32783333333334,102.84206497506098,41.985097213842174,
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,124.21551666666669,69.2813733430975,28.284002228308207,
35,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,110.07415000000002,26.389129046237905,10.773316819956898,
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,84.33744999999999,51.450785269216254,21.004695129180845,
37,[3OSO3]Galb1-4GlcNAcb-Sp8,112.01758333333333,58.238919267699885,23.775939229501414,
38,[3OSO3]Galβ–Sp8,142.93865000000002,60.42831336381149,24.66975562639065,
39,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,94.20511666666668,61.64963632354746,25.168358636807127,
40,[4OSO3]Galb1-4GlcNAcb-Sp8,124.49306666666666,48.71558570653404,19.888054583638326,
41,6-H2PO3Manα–Sp8,58.897466666666666,31.892818063424045,13.020188452467877,
42,[6OSO3]Galβ1-4Glcβ–Sp0,156.10075,137.16559508218887,55.997619702762066,
43,[6OSO3]Galβ1-4Glcβ–Sp8,254.35446666666667,117.86211704032243,48.11700779216338,
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,749.7853500000001,511.7980632689915,208.94068439228178,
45,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,258.6346333333333,84.11364971212865,34.33925369965273,
46,NeuAcα2-3[6OSO3]Galβ1-4GlcNAcβ–Sp8,56.981533333333324,42.431464033411196,17.32257265351901,
47,[6OSO3]GlcNAcβ–Sp8,140.53244999999998,38.44043947884841,15.693243701919455,
48,9NAcNeu5Aca-Sp8,111.11215,56.95671212648249,23.252480356078856,
49,9NAcNeu5Aca2-6Galb1-4GlcNAcb-Sp8,60.168366666666664,31.986126827464844,13.05828159587283,
50,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,79.09538333333333,40.73499743146755,16.629993063446477,
51,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,77.7441,52.750803515775964,21.535425355910675,
52,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,36234.765600000006,2808.520096865,1146.5735282785395,
53,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,58.043266666666675,34.41493515755429,14.049838444496237,
54,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp8,59.0308,28.557249811632776,11.658448415948556,
55,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,33.252766666666666,20.300430738845588,8.287616144813768,
56,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,187.75685000000001,63.03272649647157,25.733002835460763,
57,Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,80.27775000000001,32.86797478694117,13.418294517778085,
58,Fucα1-2Galβ1-3GalNAcα–Sp8,172.9477333333333,48.452849696366364,19.780793056644075,
59,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,90.78071666666666,32.01204329326178,13.068861948729296,
60,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp9,113.84046666666666,30.834154373529795,12.587990810892386,
61,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp10,26.618283333333334,16.212205302970556,6.618605099586905,
62,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp8,53.13601666666667,25.839179584686246,10.54880089243691,
63,Fucα1-2Galβ1-3GlcNAcβ–Sp0,93.66511666666666,35.02738198971868,14.299868816727356,
64,Fucα1-2Galβ1-3GlcNAcβ–Sp8,73.27195,28.99893140519146,11.838764171448243,
65,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,70.24361666666667,24.88675734413116,10.159976140930533,
66,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,729.2604499999999,1488.1463976349569,607.5332227944273,
67,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp0,75.05083333333333,48.80017121321056,19.922586472137034,
68,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,60.708400000000005,72.8207239046688,29.728936044422003,
69,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAc–Sp0,73.488,19.341079594376364,7.8959626801296565,
70,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,67.31118333333335,52.23239916987986,21.323787667929555,
71,Fucα1-2Galβ1-4GlcNAcβ–Sp0,98.27265,38.54163108150718,15.734555000714193,
72,Fucα1-2Galβ1-4GlcNAcβ–Sp8,88.47531666666667,42.306954083905254,17.27174167948747,
73,Fucα1-2Galβ1-4Glcβ–Sp0,68.19565,35.97489575638823,14.686689692161176,
74,Fucα1-2Galβ–Sp8,11879.79485,1680.4570738869998,686.0437276122733,
75,Fuca1-2GlcNAcb-Sp8,116.93325,51.63687964324534,21.08066783924316,
76,Fucα1-3GlcNAcβ–Sp8,71.6331,57.7912061878622,23.593161130039366,
77,Fucα1-4GlcNAcβ–Sp8,57.12858333333333,38.775078677594784,15.829859582729858,
78,Fucb1-3GlcNAcb-Sp8,89.30433333333333,19.521796581223395,7.969740081067737,
79,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,18135.9673,5654.938706816573,2308.6190597357945,
80,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,28091.729666666666,5773.183901714277,2356.8924584083484,
81,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,45539.1886,11179.469019224114,4563.999115391965,
82,GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ–Sp8,39165.51585,13002.792491119493,5308.367805755888,
83,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,43781.708300000006,11424.29316099596,4663.948152734602,
84,GalNAcα1-3(Fucα1-2)Galβ–Sp8,49487.44473333334,13351.954255018401,5450.9124989629645,
85,GalNAcα1-3GalNAcb–Sp8,43508.682733333335,16316.62528253718,6661.23437773525,
86,GalNAcα1-3Galb–Sp8,45510.13071666667,13998.057174487845,5714.682911300076,
87,GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,45644.981,14195.499979540507,5795.288598927215,
88,GalNAcb1-3GalNAca–Sp8,49.60118333333333,25.257052883217916,10.311148661729097,
89,GalNAcb1-3(Fuca1-2)Galb-Sp8,28073.921166666667,8528.188395670408,3481.618333286199,
90,GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,53016.86991666667,9702.634523480558,3961.083957206596,
91,GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0,119.41075,70.40515789397111,28.742785350052056,
92,GalNAcβ1-4GlcNAcβ–Sp0,49303.338566666665,13791.869683826078,5630.507220722376,
93,GalNAcβ1-4GlcNAcβ–Sp8,50174.8301,13446.13641816705,5489.362206060589,
94,Galα1-2Galβ–Sp8,2472.849583333333,648.4160778454534,264.7147552896895,
95,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,68.8383,22.41736346299447,9.151850310474558,
96,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,346.04823333333337,115.81563097966811,47.28153335644313,
97,Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,1247.5520666666666,522.6143130576801,213.35639987774402,
98,Gala1-3(Fuca1-2)Galb1-4Glcb-Sp0,119.27343333333334,49.51577460626733,20.2147303340026,
99,Galα1-3(Fucα1-2)Galβ–Sp8,585.1039333333334,127.21315133388809,51.934551556580516,
100,Gala1-3(Gala1-4)Galb1-4GlcNAcb-Sp8,57118.1895,12049.038984511586,4918.999567159295,
101,Gala1-3GalNAca-Sp8,44953.56853333333,15100.481411564804,6164.745721452673,
102,Galα1-3GalNAcβ–Sp8,63525.297216666666,1018.5840621977676,415.83520208597577,
103,Galα1-3Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,32283.24666666667,2621.393105986158,1070.1792541526052,
104,Gala1-3Galb1-3GlcNAcb-Sp0,21132.006933333334,4917.5477792154725,2007.580474139083,
105,Galα1-3Galβ1-4GlcNAcβ–Sp8,39779.119933333335,10630.55286850482,4339.905035252808,
106,Galα1-3Galβ1-4Glcβ–Sp0,18291.596283333332,4161.595248443375,1698.964145779543,
107,Galα1-3Galβ–Sp8,13860.838033333333,3862.4889211877185,1576.8544990104967,
108,Gala1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,48654.18315,8940.175312963695,3649.81128796466,
109,Galα1-4Galβ1-4GlcNAcβ–Sp0,44909.8057,25477.283837444396,10401.057572299283,
110,Galα1-4Galβ1-4GlcNAcβ–Sp8,40384.336116666665,7431.854490868973,3034.0418908734414,
111,Galα1-4Galβ1-4Glcβ–Sp0,32701.176566666665,20236.89381695856,8261.677305072053,
112,Galα1-4GlcNAcb–Sp8,38366.84145,6207.471446440309,2534.1896061124994,
113,Gala1-6Glcb-Sp8,714.3263666666666,414.50682882618344,169.2217042538865,
114,Galβ1-2Galβ–Sp8,4818.35035,2545.2542977016856,1039.0957158325134,
115,Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,34.664783333333325,18.756468025021842,7.657296006355277,
116,Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4GlcNAcb-Sp0,767.0032,219.43830162072456,89.58531149895435,
117,Galβ1-3(Fucα1-4)GlcNAc–Sp0,68.02653333333333,41.278094473638994,16.85171150246895,
118,Galβ1-3(Fucα1-4)GlcNAc–Sp8,81.15268333333334,66.6832073305841,27.2233053953583,
119,Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,39.073600000000006,22.88542907764675,9.342937297481269,
120,Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcα-Sp8,10988.454950000001,3060.617176305093,1249.49172999089,
121,Galβ1-3(GlcNAcβ1-6)GalNAcα-Sp8,82.62403333333333,40.385474016119566,16.487300726653576,
122,Galb1-3(Neu5Aca2-6)GalNAca-Sp8,58.17526666666666,28.471551857787215,11.623462372794855,
123,Galb1-3(Neu5Acb2-6)GalNAca-Sp8,65.00946666666667,41.031725566525544,16.751131817316438,
124,Galb1-3(Neu5Aca2-6)GlcNAcb1-4Galb1-4Glcb-Sp10,181.04383333333337,88.98289271307526,36.32711383064231,
125,Galβ1-3GalNAcα-Sp8,70.82331666666666,71.29496940074851,29.106049376529008,
126,Galβ1-3GalNAcβ–Sp8,72.14346666666667,42.760569274960154,17.45692930576407,
127,Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp0,823.9852666666666,203.65938161313102,83.14359438048824,
128,Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,47.934000000000005,30.944605238457953,12.63308218767956,
129,Galβ1-3GalNAcβ1-4Galβ1-4Glcβ–Sp8,37.940866666666665,25.37940014686452,10.361096722955756,
130,Galβ1-3Galβ–Sp8,87.41431666666666,41.896235964268534,17.104066709283245,
131,Galb1-3GlcNAcb1-3Galb1-4GlcNAcb-Sp0,201.50045,124.66481782717608,50.894198758933555,
132,Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp10,358.8582833333333,127.82332130576833,52.183652404493,
133,Galβ1-3GlcNAcβ–Sp0,721.1709166666666,228.1480181155861,93.14103836840648,
134,Galβ1-3GlcNAcβ–Sp8,1948.6423166666666,428.2424180661795,174.82923507962872,
135,Galβ1-4(Fucα1-3)GlcNAcb–Sp0,59.686299999999996,21.834135531593613,8.913748504529382,
136,Galβ1-4(Fucα1-3)GlcNAcb–Sp8,52.703016666666656,40.083289432451366,16.3639343869665,
137,Galb1-4(Fuca1-3)GlcNAcb1-4Galb1-4(Fuca1-3)GlcNAcb-Sp0,102.7077,31.97488803614483,13.053693378529553,
138,Galβ1-4(Fucα1-3)GlcNAcβ1-4Galβ1-4(Fucα1-3)GlcNAcβ1-4Galβ1-4(Fucα1-3)GlcNAcβ–Sp0,52.7448,27.495149041167238,11.224847592105649,
139,Galβ1-4[6OSO3]Glcβ–Sp0,658.01165,163.64312348943653,66.8070254107293,
140,Galβ1-4[6OSO3]Glcβ–Sp8,587.6150333333334,166.78009469175444,68.08768854130996,
141,Galb1-4GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,76.59839999999998,33.879932650110185,13.8314245854383,
142,Galb1-4GalNAcb1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,161.72241666666665,110.07456093732864,44.937751326224735,
