Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,-11.064199999999996,8.598577874276657,-77.71531492811646,
2,Glca-Sp8,-23.220075,9.812316341678263,-42.25790115526441,
3,Mana-Sp8,-11.658450000000002,16.123735353922598,-138.30084920313246,
4,GalNAca-Sp8,16712.787825,1368.7402671793948,8.189778279431934,
5,GalNAca-Sp15,103.27067500000001,12.323785081263047,11.933479742688856,
6,Fuca-Sp8,-21.001050000000003,4.19371975657255,-19.969095624135697,
7,Fuca-Sp9,-25.992350000000002,10.119566626260895,-38.93286534792311,
8,Rhaa-Sp8,-15.4207,17.04164962770134,-110.51151781502358,
9,Neu5Aca-Sp8,-14.051450000000003,9.035336160689685,-64.30180629536227,
10,Neu5Aca-Sp11,-3.203849999999999,6.7022439210063505,-209.19343667794536,
11,Neu5Acb-Sp8,-15.787799999999995,2.9852540517238073,-18.908613307261355,
12,Galb-Sp8,-13.437325000000001,8.412569340130283,-62.60598251609068,
13,Glcb-Sp8,-19.865175,3.922665091809411,-19.746441155486476,
14,Manb-Sp8,-21.9275,8.01860775238862,-36.56872763602153,
15,GalNAcb-Sp8,5072.006525,338.5163056580833,6.674208796647463,
16,GlcNAcb-Sp0,-25.934600000000003,2.4826729238194476,-9.572821342220228,
17,GlcNAcb-Sp8,-22.785850000000003,5.972353214883803,-26.21079843360595,
18,GlcN(Gc)b-Sp8,-25.816099999999995,7.113751304808675,-27.55548399955329,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,-5.984650000000002,14.13037162297345,-236.11024241974798,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,-27.827724999999997,16.507038532774423,-59.31867780342959,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,-16.113775000000004,14.883415887574332,-92.36455074974256,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,-28.032925,8.220965469406067,-29.32610660288239,
23,6S(3S)Galb1-4GlcNAcb-Sp0,-14.235875,3.718761744071099,-26.122466965122264,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,-33.170325000000005,24.74258887200703,-74.59254279844116,
25,(3S)Galb1-4Glcb-Sp8,-8.824175,9.176895859848253,-103.99721061570348,
26,(3S)Galb1-4(6S)Glcb-Sp0,-13.439750000000002,6.865059965506501,-51.08026537328819,
27,(3S)Galb1-4(6S)Glcb-Sp8,-0.274049999999999,5.52148224453059,-2014.7718462071193,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,-26.276725000000006,11.697665658405242,-44.517213078894876,
29,(3S)Galb1-3GalNAca-Sp8,-22.073625,2.8066989630465873,-12.715170086683031,
