Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,18.021149999999995,7.290304263197809,40.45415671695653,
2,Glca-Sp8,9.945575,8.712551735810047,87.60229283686512,
3,Mana-Sp8,13.1226,5.50827725034485,41.975502189694495,
4,GalNAca-Sp8,344.10945000000004,132.025628282706,38.367335823734564,
5,GalNAca-Sp15,23.302574999999997,11.299059644464489,48.48845951344214,
6,Fuca-Sp8,15.910425000000004,15.01675111986036,94.38309234266436,
7,Fuca-Sp9,16.815324999999994,19.672939638731336,116.99410887824853,
8,Rhaa-Sp8,6.551949999999998,6.922967386171923,105.66270173264334,
9,Neu5Aca-Sp8,0.6308249999999997,4.6570423184499115,738.2463152934512,
10,Neu5Aca-Sp11,13.533400000000004,12.43964695184983,91.91812073721184,
11,Neu5Acb-Sp8,7.163999999999998,2.14429633679679,29.93155132323829,
12,Galb-Sp8,17.831325,6.787039131744689,38.06244982773119,
13,Glcb-Sp8,12.99905,14.595201455843851,112.27898543234967,
14,Manb-Sp8,1.189700000000001,6.966487622898644,585.566749844384,
15,GalNAcb-Sp8,77.421975,37.24193615995954,48.102539569624184,
16,GlcNAcb-Sp0,2.772999999999998,3.3386466479698047,120.39836451387693,
17,GlcNAcb-Sp8,12.911824999999999,14.84385602359328,114.96326834969715,
18,GlcN(Gc)b-Sp8,3.550600000000001,6.6428070376912185,187.08970421030858,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,10.902975000000003,4.318344109628903,39.60702569371114,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,26.845950000000002,25.493359349380903,94.96165846014352,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,9.62435,6.728531273861556,69.91153972851731,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,5.291825000000003,15.742682986576137,297.49061971202997,
23,6S(3S)Galb1-4GlcNAcb-Sp0,10.549399999999999,19.852800824568806,188.18890955475013,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,39.29240000000001,14.282583235768895,36.349480397656784,
25,(3S)Galb1-4Glcb-Sp8,16.233600000000003,16.537424562690127,101.87157847113471,
26,(3S)Galb1-4(6S)Glcb-Sp0,14.088549999999998,10.361699871642685,73.54695743453149,
27,(3S)Galb1-4(6S)Glcb-Sp8,11.933675,10.952904176937116,91.78148539269854,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,2.319725,6.916361252554214,298.15436107961995,
29,(3S)Galb1-3GalNAca-Sp8,14.305875000000004,8.746573726275154,61.13973263624316,
30,(3S)Galb1-3GlcNAcb-Sp0,0.6119000000000003,3.4025848125603955,556.068771459453,
31,(3S)Galb1-3GlcNAcb-Sp8,7.787975000000001,4.291867582125525,55.10890291925082,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,5.3495750000000015,3.024451525345818,56.53629541310884,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,0.11037500000000033,3.0233549260989303,2739.16641096165,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,12.234549999999999,9.764440860421386,79.81038011550395,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,3.2825749999999996,8.026357843328865,244.514073351831,
36,(3S)Galb1-4GlcNAcb-Sp0,1.269449999999992,8.442678848762267,665.0658827651597,
37,(3S)Galb1-4GlcNAcb-Sp8,11.924325000000003,2.0279089154019263,17.006488127436363,
38,(3S)Galb-Sp8,10.487550000000002,4.465147266328398,42.57569466966448,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,4.6976999999999975,3.8591126069775834,82.1489794362685,
40,(4S)Galb1-4GlcNAcb-Sp8,5.8672499999999985,8.9894299583826,153.21368542984536,
41,(6P)Mana-Sp8,9.469725,6.942706846936575,73.31476729193905,
42,(6S)Galb1-4Glcb-Sp0,11.205824999999999,9.745297512604047,86.96635466468598,
43,(6S)Galb1-4Glcb-Sp8,9.785200000000003,7.823388066986488,79.95123315810086,
44,(6S)Galb1-4GlcNAcb-Sp8,6.1225,5.069352201876164,82.79872930789979,
45,(6S)Galb1-4(6S)Glcb-Sp8,22.896949999999993,17.62207653399566,76.96254974568956,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,7.9854,5.43695949405548,68.08625108392165,
47,(6S)GlcNAcb-Sp8,24.45165,18.28136201353717,74.7653512688803,
