Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,8.218574999999998,15.032184694930411,7.5160923474652055,182.90500110944313
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,10.225150000000003,8.896171285258994,4.448085642629497,87.00284382389492
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,19.86862499999999,8.50814287428037,4.254071437140185,42.82200139305248
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,31.17535000000001,13.748282821380501,6.8741414106902505,44.09985075189372
5,Gala-Sp8,7.673174999999997,6.807841342341928,3.403920671170964,88.72261276905493
6,Glca-Sp8,16.129624999999997,9.014412053068138,4.507206026534069,55.88730087071547
7,Mana-Sp8,23.236349999999998,11.549763963100432,5.774881981550216,49.70558613164474
8,GalNAca-Sp8,24.021150000000006,21.01675968118461,10.508379840592305,87.49272903747158
9,Fuca-Sp8,19.831125000000004,13.168231311348038,6.584115655674019,66.40183706848721
10,Fuca-Sp9,10.197575000000004,33.0587071311402,16.5293535655701,324.1820445658913
11,Rha-Sp8,53.03720000000001,31.706474969107926,15.853237484553963,59.78157777768796
12,Neu5Aca-Sp8,26.808175000000013,5.444148233577621,2.7220741167888103,20.307791312081548
13,Neu5Aca-Sp11,26.731674999999996,21.616118069837775,10.808059034918887,80.86331316626354
14,Neu5Acb-Sp8,19.937225,15.276186073619069,7.6380930368095346,76.62142586854021
15,Galb-Sp8,52.612650000000016,16.783439122837663,8.391719561418832,31.90000717097059
16,Glcb-Sp8,43.99745,32.45141277402264,16.22570638701132,73.75748543159352
17,Manb-Sp8,4.255125,11.10179380742139,5.550896903710695,260.9040582220591
18,GalNAcb-Sp8,11.963574999999992,15.466726073817304,7.733363036908652,129.28180810349176
19,GlcNAcb-Sp0,28.146550000000005,18.798830153407597,9.399415076703798,66.78910968984687
20,GlcNAcb-Sp8,28.07485,31.194569203575604,15.597284601787802,111.11214914265118
21,GlcN(Gc)b-Sp8,26.51337500000001,31.4972204928599,15.74861024642995,118.79747671829742
22,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,56.49105,49.26381399211798,24.63190699605899,87.20640524847384
23,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,24.78035,5.265639340415653,2.6328196702078266,21.249253301166664
24,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,39.56472500000002,11.428118202449873,5.714059101224937,28.8846142680124
25,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,31.341675000000002,21.9345124336626,10.9672562168313,69.98513140622701
26,[3OSO3]Galb1-4Glcb-Sp8,23.3725,27.54259600001424,13.77129800000712,117.84189111140972
27,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,21.381600000000002,18.945059634110418,9.472529817055209,88.60449935510167
28,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8,10.984450000000006,6.13553237271769,3.067766186358845,55.85652784361243
29,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8,19.68775,15.948557011111273,7.974278505555636,81.00751488164606
30,[3OSO3]Galb1-3GalNAca-Sp8,6.779199999999996,14.71844464450417,7.359222322252085,217.11182211034017
31,[3OSO3]Galb1-3GlcNAcb-Sp8,25.580374999999997,8.832153347240238,4.416076673620119,34.527067516563925
32,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb-Sp8,21.722175000000004,16.28660811553979,8.143304057769894,74.97687554556478
33,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,17.24632500000001,7.988226390705685,3.9941131953528424,46.31842662541544
34,[3OSO3]Galb1-4GlcNAcb-Sp0,30.88855000000001,15.608067741716155,7.804033870858078,50.53027008945434
35,[3OSO3]Galb1-4GlcNAcb-Sp8,33.385025,21.003670771300122,10.501835385650061,62.913449282425645
36,[3OSO3]Galb-Sp8,31.029400000000003,15.93193486324455,7.965967431622275,51.344643670984766
37,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,36.53887499999999,35.63649138045391,17.818245690226956,97.53034646100605
38,[4OSO3]Galb1-4GlcNAcb-Sp8,25.51057500000001,9.4086241241303,4.70431206206515,36.881270312920414
39,6-H2PO3Mana-Sp8,10.575475000000004,11.447838888737909,5.7239194443689545,108.24893339294835
40,[6OSO3]Galb1-4Glcb-Sp0,27.127325,18.761236585643804,9.380618292821902,69.15992117042062
41,[6OSO3]Galb1-4Glcb-Sp8,48.416349999999994,11.099651871567838,5.549825935783919,22.92542058946583
42,[6OSO3]Galb1-4GlcNAcb-Sp8,24.982200000000006,18.675952701624983,9.337976350812491,74.75703781742592
43,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,6.332725000000007,15.461243116553288,7.730621558276644,244.1483424047826
44,Neu5Aca2-3[6OSO3]Galb1-4GlcNAcb-Sp8,5.294049999999999,6.2793717724519755,3.1396858862259878,118.61187129800392
45,[6OSO3]GlcNAcb-Sp8,53.18515,21.4901943472676,10.7450971736338,40.40638100535131
46,Neu5Ac(9Ac)a-Sp8,25.969775000000002,9.542390984575105,4.771195492287553,36.74421894134664
47,Neu5Ac(9Ac)a2-6Galb1-4GlcNAcb-Sp8,27.947275000000005,15.012239122879025,7.506119561439513,53.71628941597714
48,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,11.587450000000004,20.689602527114925,10.344801263557462,178.55181707032105
49,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,-0.2573749999999997,3.4214168949671504,1.7107084474835752,-1329.3509062524156
50,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,3.5584249999999997,4.554288459884083,2.2771442299420417,127.98607417281758
51,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,24.715549999999997,7.9767002361043255,3.9883501180521628,32.27401468348601
52,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,14.771475000000002,5.848918963007903,2.9244594815039515,39.59603873687565
53,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,25.998975000000012,6.565780072657005,3.2828900363285025,25.25399586967179
54,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp8,10.353975000000002,6.472713368377021,3.2363566841885105,62.51428430508109
55,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,35.50732500000001,4.400783250267359,2.2003916251336797,12.394015179311193
56,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,26.930874999999993,12.638109575242392,6.319054787621196,46.927957503209214
57,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,14.342125000000003,21.75158068928555,10.875790344642775,151.66218875714407
58,Fuca1-2Galb1-3GalNAca-Sp8,19.552075000000006,11.55581120400035,5.777905602000175,59.10273566360781
59,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,22.254800000000003,25.99064041342575,12.995320206712876,116.78667259838662
60,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,11.579749999999997,0.8470167156949564,0.4235083578474782,7.314637325460019
61,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,26.534050000000008,18.66814295683068,9.33407147841534,70.35542239812872
62,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,19.183624999999992,10.140615107041885,5.0703075535209425,52.86078677539771
63,Fuca1-2Galb1-3GlcNAcb-Sp0,13.857575,14.651736900307535,7.325868450153767,105.73088653900508
