Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,18.284700000000004,5.389356906595333,29.474680506627575,
2,Glca-Sp8,10.355649999999999,4.042923050219973,39.04074635797824,
3,Mana-Sp8,15.645,4.870253046813844,31.12977338966983,
4,GalNAca-Sp8,5.8285750000000025,8.716850944148351,149.55372357992044,
5,GalNAca-Sp15,21.186224999999993,12.42679618925034,58.65507512192636,
6,Fuca-Sp8,9.357425000000003,9.856610723223612,105.33464840192264,
7,Fuca-Sp9,7.453700000000001,8.66751823995773,116.28477454093576,
8,Rhaa-Sp8,-0.6855749999999983,3.823087309470387,-557.6468379783972,
9,Neu5Aca-Sp8,9.639199999999999,16.245990747873762,168.54086177145163,
10,Neu5Aca-Sp11,9.332099999999997,8.149734431256029,87.33012324402901,
11,Neu5Acb-Sp8,-3.2113999999999976,4.676522456555369,-145.6225464456428,
12,Galb-Sp8,11.006675000000001,7.032546547007939,63.89346961737253,
13,Glcb-Sp8,13.517625,13.258478808011876,98.08290145651974,
14,Manb-Sp8,9.034925000000001,7.5179833645178205,83.21024651026787,
15,GalNAcb-Sp8,39.179175,14.673461323394905,37.452195773379366,
16,GlcNAcb-Sp0,6.490925000000001,5.403106762702978,83.24093657996322,
17,GlcNAcb-Sp8,6.089924999999997,12.543447245042588,205.9704716403337,
18,GlcN(Gc)b-Sp8,1.8207750000000011,5.958496369820712,327.25055923003714,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,7.761424999999999,2.451328482510395,31.583484766140174,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,23.8699,8.92822062115401,37.40367836125836,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,2.592575000000002,3.7957981526726834,146.41035081618395,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,5.486650000000001,11.222676947591424,204.54515865949938,
23,6S(3S)Galb1-4GlcNAcb-Sp0,9.498325,7.317196486530892,77.03670369808248,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,24.248275,6.683349927182218,27.5621664930071,
25,(3S)Galb1-4Glcb-Sp8,-0.10382500000000228,3.378503152161719,-3254.0362650244597,
26,(3S)Galb1-4(6S)Glcb-Sp0,19.40655,9.71163969076969,50.04310241011252,
27,(3S)Galb1-4(6S)Glcb-Sp8,6.7298999999999936,7.510504920443103,111.5990567533412,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,2.5303249999999977,13.259466939857225,524.0222872499477,
29,(3S)Galb1-3GalNAca-Sp8,15.942574999999998,8.289241485755309,51.99437033073584,
30,(3S)Galb1-3GlcNAcb-Sp0,-0.6722250000000027,3.5982310277644323,-535.2718253210484,
31,(3S)Galb1-3GlcNAcb-Sp8,2.723699999999999,12.537987671073854,460.32924591819426,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,13.654349999999996,9.444278568000842,69.16681180723245,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,8.407075000000003,9.578892765302614,113.93847164801802,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,0.9147750000000023,1.9674215602746017,215.07163622471063,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,3.703524999999999,9.546070838264646,257.75634937700295,
36,(3S)Galb1-4GlcNAcb-Sp0,0.7083000000000013,7.153303725319284,1009.9256989014925,
37,(3S)Galb1-4GlcNAcb-Sp8,3.870750000000001,7.735125437681454,199.83531454321388,
38,(3S)Galb-Sp8,0.4973500000000026,2.787259780381683,560.4221937029594,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,11.205874999999999,9.65716601989597,86.1794908465066,
40,(4S)Galb1-4GlcNAcb-Sp8,9.567949999999998,7.06096523831315,73.79809926173476,
41,(6P)Mana-Sp8,6.393024999999998,6.353477430706747,99.38139504705127,
42,(6S)Galb1-4Glcb-Sp0,-0.12307500000000005,13.669399148310555,-11106.56034800776,
43,(6S)Galb1-4Glcb-Sp8,5.909049999999999,7.867086758769093,133.136236091573,
44,(6S)Galb1-4GlcNAcb-Sp8,-1.7910500000000003,2.339236710980742,-130.60700209266864,
45,(6S)Galb1-4(6S)Glcb-Sp8,1.3009000000000004,1.7879918773119043,137.44268408885415,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,-4.707925000000002,5.505894638400435,-116.94949767467477,
47,(6S)GlcNAcb-Sp8,4.763900000000003,5.562647017982253,116.76666214618798,
48,"Neu5,9Ac2a-Sp8",0.9342499999999987,7.68191262490447,822.2544955744695,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",4.8688,3.9549343146673572,81.23016584512317,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,3.574449999999999,1.4132984410001093,39.53890643316062,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,10.62,8.735848596444423,82.25846136011698,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,0.8623499999999993,3.5805642558122006,415.21009518318584,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,5.272375000000002,5.459783559431023,103.55453774496353,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,2.9285750000000004,4.348326609455646,148.47926412865115,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,0.19597500000000068,1.0656798217569885,543.7835549212832,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,-5.663424999999998,3.668296605942146,-64.77169920926201,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,6.573149999999998,3.2550112467803634,49.51980780569992,
58,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,12.881525,9.256217520627239,71.8565350036369,
59,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,0.5993250000000003,9.099359103942431,1518.2679020468738,
60,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,5.777450000000002,9.75338802143474,168.81821601977924,
61,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,-4.940149999999998,5.814071602299602,-117.69018354300182,
62,Fuca1-2Galb1-3GalNAca-Sp8,4.417025000000001,2.9380288679941047,66.51601174985662,
63,Fuca1-2Galb1-3GalNAca-Sp14,4.881149999999998,3.7039955296049327,75.88366531667607,
64,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,8.485775000000002,7.24932608793167,85.42915747744512,
65,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,4.010774999999999,6.140522578942285,153.10064959870067,
66,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,1.400575,1.3395048348176966,95.63963620782154,
67,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,-1.0519500000000015,4.266929419383454,-405.62093439644934,
68,Fuca1-2Galb1-3GlcNAcb-Sp0,9.870525000000004,10.12673015090095,102.59565880133981,
69,Fuca1-2Galb1-3GlcNAcb-Sp8,-3.6320750000000004,4.275567064437183,-117.7169266724168,
70,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,1.036175,5.7191935890618915,551.9524780140316,
71,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,21.52245,17.475913447847773,81.19853198798359,
72,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,8.213775,5.479962537812947,66.71673545736213,
73,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,12.839725,13.656208887138723,106.35904497283799,
74,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,24.957050000000006,12.21568761784069,48.94684114444891,
75,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,40.16855,23.95721412358565,59.64172001126664,
76,Fuca1-2Galb1-4GlcNAcb-Sp0,5.365724999999998,10.084922743837287,187.95079404623405,
77,Fuca1-2Galb1-4GlcNAcb-Sp8,43.5459,18.621404566609186,42.76270456371136,
78,Fuca1-2Galb1-4Glcb-Sp0,13.344225,13.771879817796602,103.20479321801454,
79,Fuca1-2Galb-Sp8,53.152075,21.210219979901975,39.90478260707973,
80,Fuca1-3GlcNAcb-Sp8,8.729375,6.283479431745331,71.98086268198274,
81,Fuca1-4GlcNAcb-Sp8,-2.4324499999999993,5.671284928185731,-233.15114095606208,
82,Fucb1-3GlcNAcb-Sp8,13.691899999999997,17.530956360107687,128.0388869339368,
83,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,13.127975,2.845361201880487,21.674029710450295,
84,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,33.6815,13.16844411994068,39.09696456494123,
85,(3S)Galb1-4(Fuca1-3)Glcb-Sp0,9.16125,5.207938524022731,56.84746649226613,
86,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,15.643825,6.470461368596522,41.36112088058082,
87,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,56.115899999999996,9.183430739108292,16.365113522385442,
88,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,11.07755,6.202931308394976,55.99551623233454,
89,GlcNAcb1-3Galb1-3GalNAca-Sp8,10.725074999999999,7.323902867722463,68.28766109069134,
90,GalNAca1-3(Fuca1-2)Galb-Sp8,13.776149999999994,9.328514759417327,67.7149621586389,
91,GalNAca1-3(Fuca1-2)Galb-Sp18,0.4707749999999997,5.071468881481311,1077.2595999110645,
92,GalNAca1-3GalNAcb-Sp8,7.415924999999998,11.414671211318353,153.92107136086673,
93,GalNAca1-3Galb-Sp8,45.038450000000005,12.247186107973238,27.19273444795111,
