Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,49.80569999999999,17.54266864818466,35.222210807567535,
2,Glca-Sp8,62.5991,46.26427306860735,73.90565210778965,
3,Mana-Sp8,48.712650000000004,15.92587859648562,32.693517179799535,
4,GalNAca-Sp8,15.506899999999996,10.121475214941086,65.27078406993716,
5,GalNAca-Sp15,77.115,17.543037546369494,22.74918958227257,
6,Fuca-Sp8,21.545475,10.015822309517752,46.48689485619487,
7,Fuca-Sp9,41.551425,3.7842903019148024,9.10748620995502,
8,Rhaa-Sp8,49.207800000000006,22.245145855968975,45.20654419821445,
9,Neu5Aca-Sp8,14.664550000000002,10.14533470073807,69.18272092043786,
10,Neu5Aca-Sp11,30.505825,17.960997755205586,58.8772726363099,
11,Neu5Acb-Sp8,68.667575,86.91331636511467,126.57111652059166,
12,Galb-Sp8,41.56712499999999,7.869443905120238,18.931893666257263,
13,Glcb-Sp8,75.314925,12.877935955831626,17.098783482598737,
14,Manb-Sp8,50.364000000000004,10.409186537861608,20.667910685929648,
15,GalNAcb-Sp8,28.213500000000003,18.485034101311985,65.51840112468139,
16,GlcNAcb-Sp0,48.30417500000001,20.19664176067806,41.8113791627288,
17,GlcNAcb-Sp8,41.82105,21.96165563787637,52.51340087797023,
18,GlcN(Gc)b-Sp8,55.16799999999999,10.258031640946808,18.594169882806717,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,18.0026,8.20519537975788,45.57783531133214,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,62.29752500000001,32.201488165132425,51.68983545515239,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,12.513549999999999,20.532988165470055,164.0860360606707,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,50.93415000000002,22.637729569680758,44.44509149496114,
23,6S(3S)Galb1-4GlcNAcb-Sp0,10.222674999999995,4.796276225972899,46.918015352859214,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,42.454475,16.401706079424603,38.63363303732905,
25,(3S)Galb1-4Glcb-Sp8,9.261500000000002,8.154793074423566,88.05045699318215,
26,(3S)Galb1-4(6S)Glcb-Sp0,22.618524999999998,16.83911223835251,74.44832162288438,
27,(3S)Galb1-4(6S)Glcb-Sp8,16.940175000000004,7.8400132799100914,46.28059202404987,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,18.535924999999995,12.344108950797802,66.59559180778841,
29,(3S)Galb1-3GalNAca-Sp8,34.096074999999985,26.180890631447827,76.78564360105331,
30,(3S)Galb1-3GlcNAcb-Sp0,1.283999999999999,3.4868992395345586,271.5653613344674,
31,(3S)Galb1-3GlcNAcb-Sp8,28.506450000000008,15.01495778537742,52.67214186746304,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,122.20112499999998,9.982872394382051,8.169214804186176,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,14.500700000000002,19.519418526175404,134.6101810683305,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,23.250199999999996,12.115630176209015,52.10978906077804,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,13.663949999999996,8.502294713193615,62.22428150859465,
36,(3S)Galb1-4GlcNAcb-Sp0,19.393624999999997,5.876085582185391,30.299057459270212,
37,(3S)Galb1-4GlcNAcb-Sp8,26.781325,16.772430556993402,62.627336612334915,
38,(3S)Galb-Sp8,31.179000000000006,24.074748638909334,77.21462727768476,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,44.9019,25.79917633258863,57.456758695263744,
40,(4S)Galb1-4GlcNAcb-Sp8,5.715250000000001,8.73313096871144,152.80400627639102,
41,(6P)Mana-Sp8,40.3738,14.147422979233143,35.0410983836873,
42,(6S)Galb1-4Glcb-Sp0,25.267850000000006,5.693925291922985,22.534269009523893,
43,(6S)Galb1-4Glcb-Sp8,27.337124999999997,8.518934413557874,31.162510372096097,
44,(6S)Galb1-4GlcNAcb-Sp8,24.297225,12.688896990775023,52.223646901137975,
45,(6S)Galb1-4(6S)Glcb-Sp8,38.594975000000005,42.75168663163088,110.77008504768011,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,32.718,18.476911512660003,56.47323037062167,
47,(6S)GlcNAcb-Sp8,24.174325,3.5601579725016,14.727021219833853,
48,"Neu5,9Ac2a-Sp8",16.695399999999996,3.962281707131224,23.732774938792872,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",8.33515,7.639593271241606,91.6551384347205,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,6298.365075000001,1057.4253237848181,16.78888586471495,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,8927.287150000002,1147.3031300597581,12.851643626807252,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,40.478775000000006,16.181960594516948,39.976408857523346,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,22.069749999999992,4.9947765278672485,22.631776652962767,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,33.089775,12.125712110325717,36.64489139114943,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,32.268899999999995,9.492325660588488,29.416328603046555,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,39.0266,8.160870606742883,20.911046841751222,
