Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,6.254075,6.4352181741699095,102.89640233239783,
2,Glca-Sp8,30.030675000000013,12.409791749897899,41.32371899698523,
3,Mana-Sp8,42.3603,16.159261256010463,38.1471832258281,
4,GalNAca-Sp8,-12.646974999999998,8.403043532504554,-66.44311017064994,
5,GalNAca-Sp15,44.260949999999994,18.488395262704657,41.7713475709506,
6,Fuca-Sp8,7.362049999999996,5.648950224894297,76.73066910567437,
7,Fuca-Sp9,11.083224999999999,11.774601582891592,106.23804517991462,
8,Rhaa-Sp8,3.477075000000003,19.640852254824203,564.8670866985666,
9,Neu5Aca-Sp8,8.816125,12.736054563423485,144.46318040435548,
10,Neu5Aca-Sp11,0.2404499999999974,12.872773365647877,5353.6175361397445,
11,Neu5Acb-Sp8,17.118475000000004,16.25536809516065,94.95803858206206,
12,Galb-Sp8,34.119675,9.65559881981261,28.299210997210878,
13,Glcb-Sp8,15.051875,2.088591414286983,13.875955083914683,
14,Manb-Sp8,-7.363900000000001,4.622591275464443,-62.77368344850477,
15,GalNAcb-Sp8,8.511125,13.592855506079902,159.706918957011,
16,GlcNAcb-Sp0,34.801625000000016,14.003992609341804,40.23947907415759,
17,GlcNAcb-Sp8,-12.588799999999999,6.784071341507741,-53.88973803307496,
18,GlcN(Gc)b-Sp8,34.41112500000001,37.62558101587934,109.34132788706945,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,31.19585,11.224055083762437,35.97932123587733,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,48.94357500000001,28.315336474235398,57.85302049193463,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,-1.717299999999991,15.885726237726749,-925.0408337347484,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,-27.980599999999995,21.492919743022327,-76.81364853871014,
23,6S(3S)Galb1-4GlcNAcb-Sp0,-23.121074999999998,10.323935875551532,-44.651625737780506,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,128.46212500000001,57.6313066248069,44.862488943575315,
25,(3S)Galb1-4Glcb-Sp8,-5.172125000000005,2.6857756240051036,-51.92789470488631,
26,(3S)Galb1-4(6S)Glcb-Sp0,2.986725,14.784514640071881,495.0075631359392,
27,(3S)Galb1-4(6S)Glcb-Sp8,-0.6764749999999999,6.183455019310269,-914.0699980502266,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,2.2278249999999957,9.570334614273772,429.5819740901458,
29,(3S)Galb1-3GalNAca-Sp8,-5.6846250000000005,7.080204088572112,-124.55006422714095,
30,(3S)Galb1-3GlcNAcb-Sp0,-10.650299999999998,7.046430147717836,-66.16179964618685,
31,(3S)Galb1-3GlcNAcb-Sp8,-8.863775,9.793829319993614,-110.49275641578915,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,-1.4472000000000023,3.549522819572604,-245.26829875432549,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,-14.659174999999998,11.3294526217804,-77.28574508306505,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,14.489399999999993,28.288849076977307,195.23823675912956,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,-6.3517750000000035,0.9260123698777738,-14.578796791098132,
36,(3S)Galb1-4GlcNAcb-Sp0,-4.2621249999999975,14.711138091567454,-345.1597053480943,
37,(3S)Galb1-4GlcNAcb-Sp8,-5.353524999999999,9.298442420955958,-173.68822263753245,
38,(3S)Galb-Sp8,-1.2323249999999994,4.271530588579073,-346.62370629331343,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,28.714049999999997,9.392702034558544,32.71117113245448,
40,(4S)Galb1-4GlcNAcb-Sp8,-20.490575000000003,7.975193543889705,-38.92127743555124,
41,(6P)Mana-Sp8,36.9375,25.149942909809297,68.08783190472906,
42,(6S)Galb1-4Glcb-Sp0,16.942900000000012,11.735035847978201,69.26226235165286,
43,(6S)Galb1-4Glcb-Sp8,29.833700000000007,21.517948164110187,72.1263140814253,
44,(6S)Galb1-4GlcNAcb-Sp8,-11.687925000000003,12.413963465489145,-106.2118679362602,
45,(6S)Galb1-4(6S)Glcb-Sp8,8.853349999999999,20.046380612386532,226.42706560100453,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,2.1824749999999966,14.924817584675303,683.8482724739264,
47,(6S)GlcNAcb-Sp8,-11.070499999999996,10.8254562684443,-97.78651613246289,
48,"Neu5,9Ac2a-Sp8",-26.039175,18.631643932008956,-71.55235882860711,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",5206.779124999999,413.91789581719604,7.949595822680419,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,83.88590000000002,22.01360770584103,26.2423216605425,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,33.136875,16.99611592675903,51.29064200157386,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,12.576775000000001,18.09724283371641,143.89414483217206,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,14.5152,8.921264577775206,61.461533962847255,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,0.041024999999994094,4.429499740282943,10797.074321227497,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,4224.274124999999,438.3346411532888,10.376567149351107,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,5947.67855,265.0566385999058,4.456472157526163,
