Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,68.336625,29.87833049936301,14.939165249681505,43.72227996241109
2,Glca-Sp8,43.46835,23.401326363050472,11.700663181525236,53.835322396756425
3,Mana-Sp8,-60.17617499999999,36.275904198367925,18.137952099183963,-60.28283485676504
4,GalNAca-Sp8,51.720774999999996,50.79790528124657,25.398952640623286,98.21566919916914
5,Fuca-Sp8,63.86934999999998,34.46998562899809,17.234992814499044,53.969526273553896
6,Fuca-Sp9,52.7248,31.547994618887156,15.773997309443578,59.835209652549
7,Rha-Sp8,428.18145,86.05202364068303,43.026011820341516,20.097092865812623
8,Neu5Aca-Sp8,110.50210000000001,14.37907749080823,7.189538745404115,13.012492514448349
9,Neu5Aca-Sp11,54.239349999999995,16.66768793754353,8.333843968771765,30.72988141919756
10,Neu5Acb-Sp8,27.64125,12.504117524639634,6.252058762319817,45.2371637485267
11,Galb-Sp8,57.85255000000002,24.395045697231154,12.197522848615577,42.167623894246915
12,Glcb-Sp8,95.88454999999999,26.867934727787862,13.433967363893931,28.021130336209392
13,Manb-Sp8,148.9145,40.079642314521834,20.039821157260917,26.91453304716588
14,GalNAcb-Sp8,151.35612500000002,25.589217099183973,12.794608549591986,16.906628059607083
15,GlcNAcb-Sp0,89.067325,35.3620867982811,17.68104339914055,39.7026483037198
16,GlcNAcb-Sp8,198.52929999999998,27.800195302311977,13.900097651155988,14.003069220670188
17,GlcN(Gc)b-Sp8,-42.5896,17.438433987794543,8.719216993897271,-40.94528708368837
18,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,106.882175,32.30858140900809,16.154290704504046,30.2282222540925
19,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,103.38794999999998,10.14736423855995,5.073682119279975,9.814842289222247
20,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,222.42064999999997,60.427788562575586,30.213894281287793,27.168245647414302
21,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,20.411524999999997,10.19258055069961,5.096290275349805,49.93541908651907
22,[3OSO3]Galb1-4(Fuca1-3)[6OSO3]Glc-Sp0,144.3326,38.53777041180934,19.26888520590467,26.700669434216067
23,[3OSO3]Galb1-4Glcb-Sp8,469.3601000000001,93.45861042243885,46.729305211219426,19.911920596241316
24,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,82.81962500000002,14.807803696334178,7.403901848167089,17.87958312577988
25,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8,127.16107499999998,38.936291900263164,19.468145950131582,30.61966242441971
26,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8,82.4502,33.07305997132213,16.536529985661065,40.11277106825955
27,[3OSO3]Galb1-3GalNAca-Sp8,-39.61679999999999,27.94121096242372,13.97060548121186,-70.52869227808335
28,[3OSO3]Galb1-3GlcNAcb-Sp8,69.36427500000002,24.893869877726214,12.446934938863107,35.88860386377023
29,[3OSO3]Galb1-4(Fuca1-3)GlcNAc-Sp0 ,194.67505,57.4508528408122,28.7254264204061,29.511153504679825
30,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb-Sp8,266.702025,52.37304993304457,26.186524966522285,19.637289942978338
31,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,63.5074,9.198181503246612,4.599090751623306,14.483637345012728
32,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,29.896100000000004,33.62941893650061,16.814709468250307,112.48764533333984
33,[3OSO3]Galb1-4GlcNAcb-Sp0,18.63445,26.864178485423036,13.432089242711518,144.16405359655388
34,[3OSO3]Galb1-4GlcNAcb-Sp8,28.053099999999993,5.4461284162849815,2.7230642081424907,19.413642044141227
35,[3OSO3]Galb-Sp8,54.658724999999976,40.84501733662468,20.42250866831234,74.72735109833737
