Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,170.65597500000004,104.29142549213941,52.145712746069705,61.11208558161493
2,Glca-Sp8,86.66755,33.88237533925264,16.94118766962632,39.094650003666466
3,Mana-Sp8,337.4409,476.0931892723524,238.0465946361762,141.0893549870073
4,GalNAca-Sp8,44.630125,28.721731077864494,14.360865538932247,64.35503166944859
5,Fuca-Sp8,170.884925,15.721436571207098,7.860718285603549,9.20001373509518
6,Fuca-Sp9,69.059775,6.339945035184997,3.1699725175924987,9.180373140782745
7,Rha-Sp8,93.73827499999999,58.55850099244779,29.279250496223895,62.47021400004192
8,Neu5Aca-Sp8,60.3038,23.59953562523349,11.799767812616745,39.134408818736944
9,Neu5Aca-Sp11,62.74145,43.881481336626095,21.940740668313047,69.94017724586553
10,Neu5Acb-Sp8,623.6039500000006,1091.3302144021468,545.6651072010734,175.00373665082554
11,Galb-Sp8,138.84932500000014,100.17167737800162,50.08583868900081,72.14415869720759
12,Glcb-Sp8,992.55415,137.73469840536214,68.86734920268107,13.876794369895299
13,Manb-Sp8,95.07797500000004,17.083284898280837,8.541642449140419,17.96765749194893
14,GalNAcb-Sp8,108.8967,44.25717031803996,22.12858515901998,40.64142468783716
15,GlcNAcb-Sp0,132.1951,23.558947958825872,11.779473979412936,17.82134735616212
16,GlcNAcb-Sp8,181.3491,54.12494395082552,27.06247197541276,29.845719637332373
17,GlcN(Gc)b-Sp8,124.29545,53.98092857676683,26.990464288383414,43.42952905900162
18,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,73.68702500000006,36.627740059173746,18.313870029586873,49.7071771579511
19,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,115.241075,29.791851453865263,14.895925726932632,25.851764619399173
20,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,61.399324999999976,68.77540933053417,34.38770466526709,112.01329873013132
21,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,135.536775,44.33561366496651,22.167806832483254,32.71113221114086
22,[3OSO3]Galb1-4(Fuca1-3)[6OSO3]Glc-Sp0,356.14162500000003,323.7936173120297,161.89680865601485,90.91709437559557
23,[3OSO3]Galb1-4Glcb-Sp8,74.94280000000002,27.39640546093587,13.698202730467935,36.556420978313945
24,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,105.93212500000003,26.36341395006523,13.181706975032615,24.887081185301646
25,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8,527.2553250000001,483.75794961126525,241.87897480563262,91.7502254929839
26,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8,98.671625,39.021963939758784,19.510981969879392,39.54730039133214
27,[3OSO3]Galb1-3GalNAca-Sp8,1156.455,466.7616906459871,233.38084532299354,40.36142267930764
28,[3OSO3]Galb1-3GlcNAcb-Sp8,57.87447500000003,58.02016304604087,29.010081523020435,100.2517310887759
29,[3OSO3]Galb1-4(Fuca1-3)GlcNAc-Sp0 ,52.58284999999995,31.23170626767106,15.61585313383553,59.39523298503426
30,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb-Sp8,11.969950000000004,10.89878088488189,5.449390442440945,91.05118137403988
31,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,78.66182500000001,43.086170203007114,21.543085101503557,54.77392649230692
32,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,70.88602500000002,52.100030711594805,26.050015355797402,73.49831043791043
33,[3OSO3]Galb1-4GlcNAcb-Sp0,121.28400000000005,182.18183117835872,91.09091558917936,150.21093563731296
34,[3OSO3]Galb1-4GlcNAcb-Sp8,86.699275,50.0534505399561,25.02672526997805,57.732259629571416
35,[3OSO3]Galb-Sp8,132.268475,36.66681541615655,18.333407708078276,27.72150765037289
36,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,152.76585,14.398834170978184,7.199417085489092,9.425427326184606
37,[4OSO3]Galb1-4GlcNAcb-Sp8,247.85800000000012,264.7019366543306,132.3509683271653,106.79580108543217
38,6-H2PO3Mana-Sp8,106.567625,21.534450810948503,10.767225405474251,20.20731043874582
39,[6OSO3]Galb1-4Glcb-Sp0,46.437324999999994,35.47408638686133,17.737043193430665,76.39132182325605
40,[6OSO3]Galb1-4Glcb-Sp8,65.0567,33.286531023623766,16.643265511811883,51.16541574291927
41,[6OSO3]Galb1-4GlcNAcb-Sp8,111.09212500000001,28.992136997971752,14.496068498985876,26.097382688441463
42,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,96.09450000000002,61.00298442322305,30.501492211611524,63.482285066494995
43,Neu5Aca2-3[6OSO3]Galb1-4GlcNAcb-Sp8,143.77994999999999,177.6824125327827,88.84120626639135,123.5794090433212
44,[6OSO3]GlcNAcb-Sp8,107.56009999999998,67.46038084742786,33.73019042371393,62.71877847587337
45,Neu5Ac(9Ac)a-Sp8,62.07155,29.8095289446736,14.9047644723368,48.02446361444751
46,Neu5Ac(9Ac)a2-6Galb1-4GlcNAcb-Sp8,67.725875,37.22948202714037,18.614741013570185,54.970839471827226
47,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,54.31759999999997,11.407112621213994,5.703556310606997,21.000767009613828
48,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,2370.760749999999,4073.7355672612216,2036.8677836306108,171.83241992095674
