Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,10.170425,6.300970636536882,61.95385774475386,
2,Glca-Sp8,2.4282500000000002,2.015285624917713,82.99333367312727,
3,Mana-Sp8,8.078150000000003,1.1927926293646522,14.765665769571646,
4,GalNAca-Sp8,6.227474999999999,2.4478262960907493,39.306882742857255,
5,GalNAca-Sp15,6.904300000000001,1.8293336874392232,26.495570694193805,
6,Fuca-Sp8,11.591499999999998,6.7335235832858436,58.090183179794195,
7,Fuca-Sp9,2.1477500000000003,1.753978847268879,81.665875789495,
8,Rhaa-Sp8,4.194375,1.730620109238299,41.26050029475903,
9,Neu5Aca-Sp8,17.750600000000002,5.405576404047943,30.4529221775486,
10,Neu5Aca-Sp11,7.918425000000001,5.664886498642314,71.54057149802281,
11,Neu5Acb-Sp8,13.194624999999995,4.764754961432974,36.11133292104153,
12,Galb-Sp8,7.451125000000001,1.2554151487987277,16.848665789377144,
13,Glcb-Sp8,6.970299999999998,8.76680249920118,125.77367544009846,
14,Manb-Sp8,8.40355,5.939753228600216,70.68147662119243,
15,GalNAcb-Sp8,2.988175,5.852967003366754,195.87095813888925,
16,GlcNAcb-Sp0,7.266825,3.496334347451156,48.113644507073666,
17,GlcNAcb-Sp8,6.4762,1.004030799660356,15.503393960352613,
18,GlcN(Gc)b-Sp8,5.13875,1.2334714170448613,24.00333577319117,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,8.8734,3.7898364538152105,42.71008242404501,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,8.914275,4.241878412036346,47.58523168778556,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,5.090099999999999,2.770958088219068,54.43818565880962,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,4.342900000000002,4.629882595343717,106.60808665508566,
23,6S(3S)Galb1-4GlcNAcb-Sp0,7.87775,1.9182518682383598,24.350250620270504,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,10.743250000000003,3.4811612128713567,32.40324122468858,
25,(3S)Galb1-4Glcb-Sp8,7.491025,3.562752962130077,47.56028663807793,
26,(3S)Galb1-4(6S)Glcb-Sp0,11.992849999999997,15.924182649145086,132.78063720587758,
27,(3S)Galb1-4(6S)Glcb-Sp8,10.2577,3.376546700402648,32.91719099215856,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,4.660849999999998,6.041874115702842,129.6303059678566,
29,(3S)Galb1-3GalNAca-Sp8,65.40435,9.658288631878305,14.767043219416301,
30,(3S)Galb1-3GlcNAcb-Sp0,4.760975,7.118794940800491,149.5238882960001,
