Chart Number,Structure,RFU,StDev,SEM,CV
1,Alpha1-acid glycoprotein (AGP),3870.4383333333335,901.5224707965948,368.04500751746775,
2,AGP-A (AGP ConA flowthrough),1112.8995166666666,581.3576206710335,237.3382547870884,
3,AGP-B (AGP ConA bound),1779.77225,446.5093186490772,182.28666601467006,
4,Ceruloplasmin,247.5533,199.66767712149104,81.5139878457393,
5,Fibrinogen,2.253716666666662,97.73345117314577,39.89951436257019,
6,Transferrin,64.61438333333332,73.19009301771425,29.87973035337296,
7,α-D-Gal–Sp8,36.021933333333344,113.1592345425448,46.197064052193234,
8,α-D-Glc–Sp8,209.92835,263.59534370572436,107.61234844209638,
9,α-D-Man–Sp8,138.8905944444444,410.9089180027401,26.86195629750345,
10,α-GalNAc–Sp8,201.32163333333338,128.51507385160176,52.46605919875353,
11,α-L-Fuc–Sp8,146.2283,209.09169738255986,85.36132800661746,
12,α-L-Fuc–Sp9,228.23309999999995,446.1957755113914,182.15866256472316,
13,α-L-Rhα–Sp8,262.5689333333333,287.1622273330089,117.23348839449609,
14,α-Neu5Ac–Sp8,28.61028333333333,35.90934734797706,14.65992966648469,
15,Neu5Acα1-2–Sp82,87.34978333333329,109.05171823059764,44.52017753978838,
16,b-Neu5Ac-Sp8,228.72078333333334,205.0139270145754,83.6965852249836,
17,β-D-Gal–Sp8,73.57758333333335,122.3866089075176,49.964123862163454,
18,β-D-Glc–Sp8,-23.858233333333335,49.47451902742126,20.197887814466593,
19,β-D-Man–Sp8,36.080600000000004,185.22221907633002,75.61665429383486,
20,β-GalNAc–Sp8,80.78566666666666,152.3663973384508,62.20332123756024,
21,β-GlcNAc–Sp0,166.01824999999997,146.7472660538212,59.90932049671819,
22,β-GlcNAc–Sp8,86.17898333333335,117.61406938806967,48.01574276217761,
23,b-GlcN(Gc)-Sp8,27.68001666666663,180.68721731905012,73.76524757917473,
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",47249.63476666666,3118.0672504579334,1272.9456245508093,
25,(GlcNAcb1-3(GlcNAcb1-6)GlcNAcb1-4)GlcNAc-Sp8,18.65655000000001,261.9094560147743,106.92408767435195,
26,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,9430.817633333334,1352.0124571108631,551.9567743013569,
27,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,288.2721166666666,377.48423386544994,154.10729315263103,
28,[3OSO3]Galb1-4Glcb-Sp8,765.6485833333335,1322.0768384226967,539.7356091479348,
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,71.41596666666662,138.1253354553996,56.389432069414504,
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,195.5178166666667,609.1848079558827,248.69865642454582,
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,178.86538333333337,259.3707752529526,105.88767559330475,
32,[3OSO3]Galβ1-3GalNAcα–Sp8,181.01885000000001,288.9981281367805,117.98299175909709,
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,312.09645,275.8043086189609,112.59663749625847,
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,85.05035,238.29746818897385,97.28453401001536,
35,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,44828.664816666664,5716.282643152889,2333.6626168754196,
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,43842.575699999994,4421.019814521678,1804.87378138534,
37,[3OSO3]Galb1-4GlcNAcb-Sp8,48760.47288333333,8905.020435976465,3635.4593695331564,
38,[3OSO3]Galβ–Sp8,82.07039999999999,144.31716615542308,58.917236367540745,
39,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,63.728399999999986,235.7483718289057,96.24386977878989,
40,[4OSO3]Galb1-4GlcNAcb-Sp8,52796.58496666667,11581.540086094534,4728.143941086795,
41,6-H2PO3Manα–Sp8,-25.376216666666664,58.94165286234913,24.062829018168493,
42,[6OSO3]Galβ1-4Glcβ–Sp0,71.95106666666668,100.02372128131738,40.83451321893174,
43,[6OSO3]Galβ1-4Glcβ–Sp8,92.69243333333338,145.25022971657793,59.29815797127634,
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,3241.221183333333,2418.7139578174992,987.4358384000783,
45,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,14.148300000000006,82.74447097378773,33.78028882038558,
46,NeuAcα2-3[6OSO3]Galβ1-4GlcNAcβ–Sp8,92.34351666666664,137.971743085016,56.326728246777094,
47,[6OSO3]GlcNAcβ–Sp8,359.82950000000005,344.9817485242255,140.83820907624937,
48,9NAcNeu5Aca-Sp8,71.35225000000001,154.8880194761203,63.23276916445963,
49,9NAcNeu5Aca2-6Galb1-4GlcNAcb-Sp8,169.65591666666668,148.1806797565245,60.49450919037429,
50,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,42243.3368,6291.559850011935,2568.518553118451,
51,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,94.41348333333336,108.15894658857248,44.155705043156985,
52,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,1841.4204500000003,696.1408027592826,284.1982926486184,
53,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,33.5443,84.95090302401736,34.6810609329165,
54,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp8,254.0454333333333,436.99589429150325,178.4028267842332,
55,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,36.38764999999997,112.29401192271565,45.84383839677732,
56,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,111.10525000000001,205.95584954309746,84.08112348700213,
57,Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,113.53451666666666,312.5156694074165,127.58398777874757,
58,Fucα1-2Galβ1-3GalNAcα–Sp8,28.34179999999999,142.2828149392188,58.08671596132228,
59,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,127.91125,201.42912148827685,82.2330944972268,
60,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp9,97.85548333333334,284.28399205695996,116.05845376349633,
61,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp10,148.84208333333333,244.3484211840741,99.75482522594224,
62,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp8,320.74903333333333,401.5819096934207,163.94512811355244,
63,Fucα1-2Galβ1-3GlcNAcβ–Sp0,50.095266666666646,77.51627696644533,31.64588755467463,
64,Fucα1-2Galβ1-3GlcNAcβ–Sp8,121.93660000000001,292.9749296040192,119.60651415961146,
65,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,57.257216666666686,108.5478010527789,44.314454213408496,
66,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,137.27256666666668,165.9425580967543,67.74576565820023,
67,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp0,82.7363,268.0842823620437,109.4449499745359,
68,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,96.41730000000001,241.0637994092933,98.41388400156758,
69,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAc–Sp0,45588.23235,5328.799412817043,2175.4732505073953,
70,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,46443.32260000001,4211.237891862492,1719.2306700895049,
71,Fucα1-2Galβ1-4GlcNAcβ–Sp0,18089.498366666667,9980.62681436064,4074.5738347205224,
72,Fucα1-2Galβ1-4GlcNAcβ–Sp8,54233.953116666664,8266.98282685984,3374.9816063596436,
73,Fucα1-2Galβ1-4Glcβ–Sp0,131.14678333333336,211.7189672968902,86.43390645772996,
74,Fucα1-2Galβ–Sp8,71.22359999999999,216.1494828775123,88.24265686939243,
75,Fuca1-2GlcNAcb-Sp8,172.15153333333333,282.0481068584837,115.14565745354494,
76,Fucα1-3GlcNAcβ–Sp8,69.56741666666669,114.30727170435686,46.665748260891995,
77,Fucα1-4GlcNAcβ–Sp8,135.44658333333334,255.87551250610454,104.46074055218199,
78,Fucb1-3GlcNAcb-Sp8,114.23211666666667,76.79431759705706,31.3511488763375,
79,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,182.88646666666662,310.3754203288763,126.71023475126668,
80,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,125.63746666666667,167.53336807759425,68.39521111333097,
81,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,52390.90956666667,7063.295448627815,2883.57829194349,
82,GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ–Sp8,48866.13495000001,8651.835014929778,3532.0968542204732,
83,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,424.1825833333333,172.09652732400406,70.25811307479215,
84,GalNAcα1-3(Fucα1-2)Galβ–Sp8,121.38201666666667,286.20401965278836,116.84230174713672,
85,GalNAcα1-3GalNAcb–Sp8,94.74885,136.62930303878082,55.77867939285136,
86,GalNAcα1-3Galb–Sp8,117.08520000000003,233.18294516591047,95.19653872931167,
87,GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,41311.9287,3017.9917105631685,1232.0899564715232,
88,GalNAcb1-3GalNAca–Sp8,454.8596333333333,431.86086245381705,176.3064588150203,
89,GalNAcb1-3(Fuca1-2)Galb-Sp8,233.92151666666666,222.4755628221888,90.82526819214435,
90,GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,56434.75,7655.055726353823,3125.1634136895536,
91,GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0,76.55251666666665,191.7578254564378,78.28480442565858,
92,GalNAcβ1-4GlcNAcβ–Sp0,55251.56763333333,10608.298698478355,4330.8198083838115,
93,GalNAcβ1-4GlcNAcβ–Sp8,46702.2556,7343.77440401738,2998.08334599237,
94,Galα1-2Galβ–Sp8,187.54308333333333,359.976302095243,146.9597099378861,
95,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,117.54043333333333,190.20350045194928,77.6502538997509,
96,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,56.298516666666636,151.32334218842004,61.77749575570065,
97,Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,52593.29953333334,7309.5077652077725,2984.0940492784052,
98,Gala1-3(Fuca1-2)Galb1-4Glcb-Sp0,12.373833333333323,189.05144215403024,77.17992806911074,
99,Galα1-3(Fucα1-2)Galβ–Sp8,106.82550000000002,240.47854957753717,98.17495675825889,
100,Gala1-3(Gala1-4)Galb1-4GlcNAcb-Sp8,49148.95823333334,11428.1976394533,4665.542149389965,
101,Gala1-3GalNAca-Sp8,149.76536666666667,209.01631345112432,85.33055264548045,
102,Galα1-3GalNAcβ–Sp8,47.1232,136.68156132830796,55.80001375021338,
103,Galα1-3Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,104.14089999999999,134.14837714422043,54.76584563762955,
104,Gala1-3Galb1-3GlcNAcb-Sp0,156.72126666666665,206.91762060476788,84.47376487874669,
105,Galα1-3Galβ1-4GlcNAcβ–Sp8,53679.37628333334,6903.516047671355,2818.3486246516754,
