Chart Number,Structure,RFU,StDev,SEM,CV
1,Galα-Sp8,3.4830750000000013,8.069437372528933,4.034718686264466,231.6756708520181
2,Glcα-Sp8,1.5166499999999967,4.766083326660019,2.3830416633300096,314.25070561171196
3,Manα-Sp8,12.071674999999995,8.860998973168893,4.430499486584447,73.40322675327904
4,GalNAcα-Sp8,2.269675000000001,4.80950997599201,2.404754987996005,211.90302470582827
5,GalNAcα-Sp15,10.310125000000003,5.054764687154089,2.5273823435770444,49.02719110732496
6,Fucα-Sp8,19.3356,16.292577569146832,8.146288784573416,84.26207394209041
7,Fucα-Sp9,9.810550000000003,8.369776465553512,4.184888232776756,85.31403912679217
8,Rhaα-Sp8,24.318074999999993,12.47541588922659,6.237707944613295,51.301000960094875
9,Neu5Acα-Sp8,3.3579750000000033,5.626514632449354,2.813257316224677,167.55677551051892
10,Neu5Acα-Sp11,5.1822,8.7745894354095,4.38729471770475,169.3217057506368
11,Neu5Acβ-Sp8,5.333974999999999,6.459849745092116,3.229924872546058,121.10761196091315
12,Galβ-Sp8,11.866299999999999,5.19694899404128,2.59847449702064,43.795867237818705
13,Glcβ-Sp8,-1.9942250000000001,3.8797342498123086,1.9398671249061543,-194.5484712012089
14,Manβ-Sp8,2.9416749999999983,7.295424616097866,3.647712308048933,248.00240054043599
15,GalNAcβ-Sp8,0.13162500000000144,4.108083686566443,2.0540418432832217,3121.0512338586122
16,GlcNAcβ-Sp0,7.244949999999998,7.968190664343648,3.984095332171824,109.98268675896523
17,GlcNAcβ-Sp8,2.632274999999998,8.139411887179971,4.069705943589986,309.2158641167802
18,GlcN(Gc)β-Sp8,8.322675000000002,8.467731015399979,4.233865507699989,101.74290135563358
19,Galβ1-4GlcNAcβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcα-Sp8,22.221774999999994,16.333966882211044,8.166983441105522,73.50433024459589
20,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,13.392975000000002,5.644343099289775,2.8221715496448874,42.14405760699004
21,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,17.115825000000005,16.77626198380219,8.388130991901095,98.01608735659651
22,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,4.1499749999999995,1.506805164080607,0.7534025820403035,36.30877689818872
23,[3OSO3]Galβ1-4(Fucα1-3)[6OSO3]Glc-Sp0,27.00542500000001,7.278702653804415,3.6393513269022075,26.952742472315887
24,[3OSO3]Galβ1-4Glcβ-Sp8,10.322175000000001,3.0273473023699524,1.5136736511849762,29.32857951323197
25,[3OSO3]Galβ1-4[6OSO3]Glcβ-Sp0,9.912750000000003,6.600456544058139,3.3002282720290697,66.58552413869145
26,[3OSO3]Galβ1-4[6OSO3]Glcβ-Sp8,6.388175000000004,4.067265231393203,2.0336326156966016,63.66865703261417
27,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ-Sp8,6.6887750000000015,4.179637522062566,2.089818761031283,62.48733919234187
28,[3OSO3]Galβ1-3GalNAcα-Sp8,-3.0497999999999994,5.521548823171509,2.7607744115857544,-181.04625953083843
29,[3OSO3]Galβ1-3GlcNAcβ-Sp0,14.683700000000004,12.876983261359516,6.438491630679758,87.69576647139013
30,[3OSO3]Galβ1-3GlcNAcβ-Sp8,8.149375,7.115763576443032,3.557881788221516,87.31667859735296
31,[3OSO3]Galβ1-4(Fucα1-3)GlcNAc-Sp0,17.35295,9.852050854348379,4.9260254271741895,56.774501478701765
32,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ-Sp8,10.130375000000008,14.512794709353312,7.256397354676656,143.260192335953
33,[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,9.845325000000004,11.613749382341318,5.806874691170659,117.96207217477648
34,[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp8,19.061625,13.09270772640888,6.54635386320444,68.68620973505082
35,[3OSO3]Galβ1-4GlcNAcβ-Sp0,7.121625000000002,9.117826046587725,4.558913023293862,128.03013422621555
36,[3OSO3]Galβ1-4GlcNAcβ-Sp8,8.992524999999999,6.938268134712482,3.469134067356241,77.15595046677637
37,[3OSO3]Galβ-Sp8,3.7417500000000015,4.299560676394738,2.149780338197369,114.9077484170438
38,[4OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,4.895300000000002,15.92036458020565,7.960182290102825,325.21734276153944
39,[4OSO3]Galβ1-4GlcNAcβ-Sp8,1.8192500000000003,2.3900681085135167,1.1950340542567583,131.37656223792862
40,6-H2PO3Manα-Sp8,15.991700000000003,21.85261916064067,10.926309580320336,136.64975681535213
41,[6OSO3]Galβ1-4Glcβ-Sp0,24.762949999999996,6.757785579364494,3.378892789682247,27.289905198550642
42,[6OSO3]Galβ1-4Glcβ-Sp8,8.614700000000001,5.294438938483784,2.647219469241892,61.458192838796286
43,[6OSO3]Galβ1-4GlcNAcβ-Sp8,-0.7827500000000001,4.391746029769935,2.1958730148849677,-561.0662446208796
44,[6OSO3]Galβ1-4[6OSO3]Glcβ-Sp8,6.156775,4.0091148527449185,2.0045574263724593,65.11712467557965
45,Neu5Acα2-3[6OSO3]Galβ1-4GlcNAcβ-Sp8,10.0309,6.017762503899053,3.0088812519495267,59.99224898961263
46,[6OSO3]GlcNAcβ-Sp8,12.7665,6.629889041806564,3.314944520903282,51.931923720726616
47,[9NAc]Neu5Acα-Sp8,4.567174999999999,5.694886932079289,2.8474434660396444,124.69167334466688
48,[9NAc]Neu5Acα2-6Galβ1-4GlcNAcβ-Sp8,11.784899999999999,7.716794550848165,3.8583972754240823,65.48035665001964
49,Manα1-3(Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,7.583550000000001,4.543719927181548,2.271859963590774,59.91547398225827
50,Manα1-3(Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,8.021225000000001,6.843857998904325,3.4219289994521627,85.32185543859354
51,GlcNAcβ1-2Manα1-3(GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,3.1263500000000004,14.44196293894981,7.220981469474905,461.9432545604238
52,GlcNAcβ1-2Manα1-3(GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,9.250475000000005,3.9578036926010647,1.9789018463005323,42.784869886152464
53,Galβ1-4GlcNAcβ1-2Manα1-3(Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,9.669099999999998,4.775879056955563,2.3879395284777813,49.39321195308315
54,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-N(LT)AVL,169.007375,24.563778379744004,12.281889189872002,14.534145849992644
55,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp8,469.68589999999995,254.60208124924426,127.30104062462213,54.206881928804826
56,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,464.49294999999995,178.66850857774773,89.33425428887386,38.465278876191284
57,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,548.485475,425.3903881886097,212.69519409430484,77.55727500142274
58,Fucα1-2Galβ1-3GalNAcβ1-3Galα-Sp9,11.027175000000003,9.78508379026465,4.892541895132325,88.73608871052329
59,Fucα1-2Galβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ-Sp9,9.884799999999997,7.1507394195751965,3.5753697097875983,72.34075974804952
60,Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ-Sp8,15.084225000000002,8.866876551290945,4.433438275645472,58.78244690258163
61,Fucα1-2Galβ1-3GalNAcα-Sp8,4.18505,4.239128217373632,2.119564108686816,101.29217613585577
62,Fucα1-2Galβ1-3GalNAcα-Sp14,11.476325000000006,5.899327094042167,2.9496635470210837,51.40432232480489
63,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp0,-0.24479999999999968,3.59329952828873,1.796649764144365,-1467.8511144970323
64,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp9,6.3397749999999995,2.5934837758955256,1.2967418879477628,40.90813594954909
65,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ-Sp8,11.415474999999997,4.6939741395218535,2.3469870697609267,41.119393976351006
66,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ-Sp10,4.081925000000002,5.629299441537999,2.8146497207689993,137.90795866014187
67,Fucα1-2Galβ1-3GlcNAcβ-Sp0,8.764000000000005,6.558284106380271,3.2791420531901356,74.83208701940059
68,Fucα1-2Galβ1-3GlcNAcβ-Sp8,6.0440249999999995,4.302666083856225,2.1513330419281127,71.18875391574697
69,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,7.885100000000001,2.9815644584680796,1.4907822292340398,37.81263976954102
70,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,18.926374999999997,18.8220570621058,9.4110285310529,99.4488224084422
71,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,8.638524999999998,1.7719052032110831,0.8859526016055416,20.511663776062274
72,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ-Sp8,5.925524999999999,3.547625283082572,1.773812641541286,59.8702272470806
73,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0,1.36055,9.169024255066628,4.584512127533314,673.9204185856182
74,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0,4.721124999999999,4.345984045357278,2.172992022678639,92.053992329313
75,Fucα1-2Galβ1-4GlcNAcβ-Sp0,8.107174999999996,1.7345963649122125,0.8672981824561062,21.39581746924438
76,Fucα1-2Galβ1-4GlcNAcβ-Sp8,2.850925,9.192414782988198,4.596207391494099,322.436219226679
77,Fucα1-2Galβ1-4Glcβ-Sp0,9.064525,2.584529870047289,1.2922649350236446,28.512579203513578
78,Fucα1-2Galβ-Sp8,10.025650000000002,4.292171025250513,2.1460855126252567,42.811897734815325
79,Fucα1-3GlcNAcβ-Sp8,5.798699999999998,2.2590510249512605,1.1295255124756303,38.957887542919295
80,Fucα1-4GlcNAcβ-Sp8,6.9017000000000035,19.859614463528743,9.929807231764372,287.7496046413019
81,Fucβ1-3GlcNAcβ-Sp8,14.23845,10.157908266469041,5.078954133234521,71.34139085693346
82,GalNAcα1-3(Fucα1-2)Galβ1-3GlcNAcβ-Sp0,18.910450000000004,13.828602032381998,6.914301016190999,73.12677399206255
83,GalNAcα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,4.8941,10.340111649622877,5.170055824811438,211.2770815803289
84,[3OSO3]Galβ1-4(Fucα1-3)Glc-Sp0,10.846925,7.984482623762588,3.992241311881294,73.6105635814997
85,GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ-Sp0,8.832975,4.100451122640853,2.0502255613204263,46.422084548420585
86,GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ-Sp8,19.59635,13.979733759148157,6.989866879574079,71.33845720834827
87,GalNAcα1-3(Fucα1-2)Galβ1-4Glcβ-Sp0,7.8747250000000015,6.534931190341636,3.267465595170818,82.98615113977485
88,GlcNAcβ1-3Galβ1-3GalNAcα-Sp8,16.276375,14.11432201356127,7.057161006780635,86.71661849497366
89,GalNAcα1-3(Fucα1-2)Galβ-Sp8,18.366625000000006,7.380725523675378,3.690362761837689,40.18552958790946
90,GalNAcα1-3(Fucα1-2)Galβ-Sp18,4.163075000000001,5.5799228682691755,2.7899614341345877,134.03368587568502
91,GalNAcα1-3GalNAcβ-Sp8,8.558949999999996,4.455044878561852,2.227522439280926,52.05130160313887
92,GalNAcα1-3Galβ-Sp8,11.973625000000002,5.110009322480085,2.5550046612400426,42.677211976156634
93,GalNAcα1-4(Fucα1-2)Galβ1-4GlcNAcβ-Sp8,11.92395,7.136670844074755,3.5683354220373773,59.85156633560821
94,GalNAcβ1-3GalNAcα-Sp8,2.203949999999999,4.2961709195515025,2.1480854597757513,194.93050747755188
95,GalNAcβ1-3(Fucα1-2)Galβ-Sp8,3.7356,2.210760769508992,1.105380384754496,59.1808750805491
96,GalNAcβ1-3Galα1-4Galβ1-4GlcNAcβ-Sp0,4.224725000000001,3.8401226459363658,1.9200613229681829,90.89639316017882
97,GalNAcβ1-4(Fucα1-3)GlcNAcβ-Sp0,3.602525,7.040933236617144,3.520466618308572,195.44439626698343
98,GalNAcβ1-4GlcNAcβ-Sp0,12.710749999999997,5.6746775723383545,2.8373387861691772,44.644710755371285
99,GalNAcβ1-4GlcNAcβ-Sp8,7.959149999999999,2.6233078171143625,1.3116539085571812,32.959647916101126
100,Galα1-2Galβ-Sp8,6.703949999999999,2.8494735098493775,1.4247367549246888,42.50439680858864
101,Galα1-3(Fucα1-2)Galβ1-3GlcNAcβ-Sp0,9.510149999999998,5.325509847579548,2.662754923789774,55.99816877314816
102,Galα1-3(Fucα1-2)Galβ1-3GlcNAcβ-Sp8,20.985,11.968630733992374,5.984315366996187,57.03421841311591
103,Galα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,23.815450000000006,9.485259325043955,4.742629662521978,39.82817593219508
104,Galα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ-Sp8,29.364850000000008,7.9184049599650725,3.9592024799825363,26.965589675973384
105,Galα1-3(Fucα1-2)Galβ1-4GlcNAc-Sp0,15.302949999999997,6.305814449907851,3.1529072249539256,41.206528479200756
106,Galα1-3(Fucα1-2)Galβ1-4Glcβ-Sp0,7.462600000000002,3.2976258995424717,1.6488129497712358,44.18869964278497
107,Galα1-3(Fucα1-2)Galβ-Sp8,7.752175000000001,12.451057462286757,6.2255287311433785,160.61373049868914
108,Galα1-3(Fucα1-2)Galβ-Sp18,8.928450000000002,10.269775749742541,5.1348878748712705,115.02305271063331
109,Galα1-3(Galα1-4)Galβ1-4GlcNAcβ-Sp8,12.078149999999997,8.782424791403958,4.391212395701979,72.71332771495602
110,Galα1-3GalNAcα-Sp8,17.24,24.26781908385397,12.133909541926984,140.76461185530144
111,Galα1-3GalNAcα-Sp16,8.898950000000005,10.168810968676066,5.084405484338033,114.2697842855175
112,Galα1-3GalNAcβ-Sp8,9.089025000000001,7.02477321407366,3.51238660703683,77.28852340128516
113,Galα1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp8,16.0648,10.731182568260271,5.365591284130136,66.79935366926615
114,Galα1-3Galβ1-3GlcNAcβ-Sp0,12.447474999999999,11.016303810678368,5.508151905339184,88.50231722239545
115,Galα1-3Galβ1-4GlcNAcβ-Sp8,14.710449999999996,5.048046488494337,2.5240232442471684,34.31605755428514
116,Galα1-3Galβ1-4Glcβ-Sp0,16.04135,6.329199726400389,3.1645998632001944,39.45553040361558
117,Galα1-3Galβ-Sp8,6.092624999999998,4.964636180946856,2.482318090473428,81.48599628151835
118,Galα1-4(Fucα1-2)Galβ1-4GlcNAcβ-Sp8,13.828050000000005,5.601434388023595,2.8007171940117974,40.50776781992828
119,Galα1-4Galβ1-4GlcNAcβ-Sp0,13.0525,16.382368863506894,8.191184431753447,125.51134927030756
120,Galα1-4Galβ1-4GlcNAcβ-Sp8,5.447449999999998,5.0851349470785925,2.5425674735392962,93.34890539754554
121,Galα1-4Galβ1-4Glcβ-Sp0,2.3052750000000017,8.615164719406124,4.307582359703062,373.7152712542372
122,Galα1-4GlcNAcβ-Sp8,15.648725000000006,4.147135344126083,2.0735676720630414,26.50142643650573
123,Galα1-6Glcβ-Sp8,4.790925000000005,4.336782354369043,2.1683911771845215,90.52077321955653
124,Galβ1-2Galβ-Sp8,4.253425000000002,4.86845767115555,2.434228835577775,114.45970414796425
