Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,33.602700000000006,9.782413898760716,29.11198772348863,
2,Glca-Sp8,15.87135,15.93056134279853,100.37307061339162,
3,Mana-Sp8,14.74015,13.252309503001102,89.9062051810945,
4,GalNAca-Sp8,11.277899999999995,14.040758612221307,124.49798820898673,
5,GalNAca-Sp15,13.323300000000001,9.469058392821683,71.07141918910241,
6,Fuca-Sp8,20.045574999999992,5.695093945596248,28.41072877977434,
7,Fuca-Sp9,9.965125,7.984754299444655,80.12698585762502,
8,Rhaa-Sp8,8.24335,6.115589334643065,74.18815572119424,
9,Neu5Aca-Sp8,20.275925,8.53727947509237,42.105499379645416,
10,Neu5Aca-Sp11,19.8223,13.195638741897527,66.56966518465327,
11,Neu5Acb-Sp8,325.426225,74.2954649623321,22.830202133319805,
12,Galb-Sp8,5.368850000000002,7.370488441752014,137.2824430139045,
13,Glcb-Sp8,13.471999999999998,10.80746616834862,80.22169067954738,
14,Manb-Sp8,15.138449999999999,8.7058245776415,57.50803138789969,
15,GalNAcb-Sp8,15.273700000000002,3.3113671698156906,21.68018993312485,
16,GlcNAcb-Sp0,5.713725,6.602090370165594,115.54791961751036,
17,GlcNAcb-Sp8,21.801225000000002,7.764138360597395,35.61331237394869,
18,GlcN(Gc)b-Sp8,12.855600000000003,6.126191936812511,47.65387797389861,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,12.558525000000001,6.382076040691358,50.81867528783322,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,18.090675000000033,17.297403333520595,95.61502450030507,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,11.341099999999997,7.312216534448821,64.47537306300819,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,32.521225,6.088012052317785,18.72011909858188,
23,6S(3S)Galb1-4GlcNAcb-Sp0,16.515874999999998,6.248972647497089,37.83615852927616,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,16.40485,5.525642517391072,33.68298105371931,
25,(3S)Galb1-4Glcb-Sp8,17.145199999999996,8.035158835600784,46.86535494249578,
26,(3S)Galb1-4(6S)Glcb-Sp0,25.650475000000004,12.936336261959953,50.433125554049006,
27,(3S)Galb1-4(6S)Glcb-Sp8,9.928825,2.7025977224083513,27.219713535170087,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,15.359074999999997,9.876539138238995,64.30425750404237,
29,(3S)Galb1-3GalNAca-Sp8,6.111125000000001,5.550123800646252,90.82000123784493,
30,(3S)Galb1-3GlcNAcb-Sp0,1.8570000000000002,3.2666664823129223,175.91095758281756,
31,(3S)Galb1-3GlcNAcb-Sp8,13.93085,2.4823697421348667,17.819226695678058,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,5.631349999999999,4.044856706567818,71.82747843000024,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,15.374625000000004,7.0259967071702105,45.698654160151605,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,5.419475,4.06759328708841,75.0551167241921,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,12.08615,5.43926388800298,45.00410708127055,
36,(3S)Galb1-4GlcNAcb-Sp0,11.23925,8.123932319798502,72.28180100806105,
37,(3S)Galb1-4GlcNAcb-Sp8,13.029075000000002,9.097882481608925,69.82753941940562,
38,(3S)Galb-Sp8,5.337649999999998,9.750054242755098,182.66567202336424,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,13.905975000000002,10.430820217788884,75.00962872282514,
40,(4S)Galb1-4GlcNAcb-Sp8,8.287100000000002,16.18003843773762,195.24367315149587,
41,(6P)Mana-Sp8,8.249249999999998,6.354105911665832,77.02646800213151,
42,(6S)Galb1-4Glcb-Sp0,32.987,11.852300688614537,35.930217020688566,
43,(6S)Galb1-4Glcb-Sp8,12.658150000000003,8.646989109318147,68.31163408016295,
44,(6S)Galb1-4GlcNAcb-Sp8,19.16565,11.804264904544743,61.590736054058915,
45,(6S)Galb1-4(6S)Glcb-Sp8,29.691799999999994,3.187409692315573,10.734983033415197,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,7104.565375000001,909.6002564102297,12.803038727900079,
47,(6S)GlcNAcb-Sp8,14.55645,6.322135564032137,43.43185023843132,
48,"Neu5,9Ac2a-Sp8",14.393950000000002,21.503342830592636,149.39153485035473,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",11.50625,2.295628530490061,19.951144208495915,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,12.733350000000002,14.480253862991026,113.71912232830341,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,10.244975,13.442671140656286,131.21233717657958,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,7.801625000000001,8.199730215226596,105.10284992199183,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,9.196875,1.6947140611816063,18.42706420584825,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,6.549650000000001,7.373858133297654,112.58400270697906,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,5.697674999999999,1.1479654361085923,20.147962741093384,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,5.288425,7.455719739177881,140.9818563972805,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,16.505,5.2864671813981685,32.02948913297891,
58,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,7.811975,7.110169966733104,91.01629186899733,
59,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,14.81515,13.283892451762773,89.66424539584665,
60,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,2.6664249999999985,8.857226221330997,332.176086757775,
61,Fuca1-2Galb1-3GalNAca-Sp8,9.238300000000002,10.488414298008381,113.53186514844049,
62,Fuca1-2Galb1-3GalNAca-Sp14,-3.701775,2.490111690098794,-67.26804546734455,
63,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,12.134974999999999,10.298872200189367,84.86933182960301,
64,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,14.898975,13.010544201114984,87.32509586139304,
65,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,20.7999,17.042231567686983,81.93419952830054,
66,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,20.550024999999998,13.137978388721004,63.93169053916482,
67,Fuca1-2Galb1-3GlcNAcb-Sp0,16.16585,6.166673456843111,38.146298875983085,
68,Fuca1-2Galb1-3GlcNAcb-Sp8,4.531700000000002,7.119115276961506,157.0959083117043,
69,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,12.218924999999999,10.097293381355557,82.63651165184793,
70,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,9.380175000000001,4.904053585470554,52.28104577441842,
71,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,22.113575000000004,4.653350181947734,21.042957468196494,
72,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,11.973075000000001,6.386412583694114,53.33978600897525,
73,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,2.970024999999999,5.059448251456543,170.3503590527536,
74,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,7.087125,6.304728771525388,88.96031566432634,
75,Fuca1-2Galb1-4GlcNAcb-Sp0,10.338925,4.543743684360581,43.947931572775516,
76,Fuca1-2Galb1-4GlcNAcb-Sp8,18.840500000000006,10.755194456323569,57.08550439915907,
77,Fuca1-2Galb1-4Glcb-Sp0,8.333550000000002,3.2445147726586128,38.93316500961309,
78,Fuca1-2Galb-Sp8,5.240675000000001,6.3311093190030014,120.8071349397358,
79,Fuca1-3GlcNAcb-Sp8,7.842,4.135328263471561,52.73308165610254,
80,Fuca1-4GlcNAcb-Sp8,37.4066,15.83806087878185,42.3402845454595,
81,Fucb1-3GlcNAcb-Sp8,8.550449999999998,5.3696410212105254,62.79951372396221,
82,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,3.497700000000002,2.4668403623528206,70.52749985284099,
83,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,7.545974999999984,2.7995593598222004,37.10003491692202,
84,(3S)Galb1-4(Fuca1-3)Glcb-Sp0,12.4642,4.677620444200232,37.528445020139536,
85,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,5.297124999999997,0.9187096109036118,17.343551660638788,
86,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,11.231224999999998,3.7873750279712137,33.721833797926884,
87,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,8.901274999999998,8.080847991135176,90.78303940879455,
88,GlcNAcb1-3Galb1-3GalNAca-Sp8,16.261674999999997,9.79420514262558,60.228759599645066,
89,GalNAca1-3(Fuca1-2)Galb-Sp8,8.877975000000003,1.6161698020834965,18.20426169349988,
90,GalNAca1-3(Fuca1-2)Galb-Sp18,18.866925000000002,10.107021544574831,53.57005205975447,
91,GalNAca1-3GalNAcb-Sp8,9.892475000000001,6.870717678852766,69.45398071617836,
92,GalNAca1-3Galb-Sp8,4.947849999999998,10.560526131621785,213.4366670699756,
93,GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,24.523624999999996,14.254593042331996,58.12596238252704,
94,GalNAcb1-3GalNAca-Sp8,4.630125000000001,6.899287241145516,149.00866048207152,
95,GalNAcb1-3(Fuca1-2)Galb-Sp8,1.977974999999999,6.22387530154378,314.6589467280316,
96,GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,17.7519,9.276817605910631,52.25816732806422,
97,GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0,14.300674999999998,14.677885237407324,102.6377093207651,
98,GalNAcb1-4GlcNAcb-Sp0,19.9879,9.848036312213045,49.269989904957725,
99,GalNAcb1-4GlcNAcb-Sp8,21.392424999999996,11.106909189141396,51.91982297070761,
100,Gala1-2Galb-Sp8,8.301675,2.7301356051485817,32.886563315819785,
101,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,12.277349999999998,5.260899781406218,42.85045047511245,
102,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp8,19.463049999999996,16.982063328209954,87.25283718743957,
103,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,10.818874999999998,5.423372258644373,50.12880044038196,
104,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp8,24.113149999999997,20.155014056143305,83.58515605030162,
105,Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,9.452375,3.9312694534759838,41.590282373223495,
106,Gala1-3(Fuca1-2)Galb1-4Glcb-Sp0,12.885974999999998,5.084135902573162,39.45480184908913,
107,Gala1-3(Fuca1-2)Galb-Sp8,6.762449999999999,2.5045670690427366,37.03638576318845,
108,Gala1-3(Fuca1-2)Galb-Sp18,5.914899999999999,3.5360770589265558,59.78253324530518,
109,Gala1-4(Gala1-3)Galb1-4GlcNAcb-Sp8,27.201150000000002,11.24789288429912,41.35079908128561,
110,Gala1-3GalNAca-Sp8,24.290525000000006,14.5202312438829,59.777346285775614,
111,Gala1-3GalNAca-Sp16,12.227425000000004,6.398187340372256,52.326531059256176,
112,Gala1-3GalNAcb-Sp8,-0.507975000000001,5.543303623517297,-1091.2552041965228,
113,Gala1-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,7.835949999999998,6.146789682156591,78.44345206588343,
114,Gala1-3Galb1-3GlcNAcb-Sp0,52.114125,7.193862036660042,13.804054153571691,
115,Gala1-3Galb1-4GlcNAcb-Sp8,21.093825000000002,15.476785932782258,73.37116873199743,
116,Gala1-3Galb1-4Glcb-Sp0,6.252725,2.2796160574023667,36.45796124733403,
117,Gala1-3Galb1-4Glc-Sp10,14.453650000000003,16.403162367563972,113.48802805909904,
118,Gala1-3Galb-Sp8,18.235825,13.314344384754113,73.01202103416826,
119,Gala1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,19.044224999999997,15.720572782053246,82.54771607693802,
120,Gala1-4Galb1-4GlcNAcb-Sp0,17.011450000000004,7.076005978186646,41.59554875208548,
121,Gala1-4Galb1-4GlcNAcb-Sp8,14.251025000000004,9.149138726085997,64.19986440333936,
122,Gala1-4Galb1-4Glcb-Sp0,4.852625,3.0804523178423087,63.48012298173275,
123,Gala1-4GlcNAcb-Sp8,-0.043125000000001634,9.149921205626129,-21217.208592755436,
124,Gala1-6Glcb-Sp8,8.341275000000001,2.200833900100904,26.384862027698446,
125,Galb1-2Galb-Sp8,14.74805,8.478268696890112,57.48738780306625,
126,Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,27.196674999999992,14.717573878502087,54.11534269723079,
127,Galb1-3GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,18.505450000000003,10.130030369977495,54.74079457661119,
128,Galb1-3(Fuca1-4)GlcNAc-Sp0 ,3.3682250000000007,7.410510442326716,220.0123341619611,
129,Galb1-3(Fuca1-4)GlcNAc-Sp8 ,0.1920749999999991,4.787135664378718,2492.32626025185,
130,Fuca1-4(Galb1-3)GlcNAcb-Sp8,7.1490499999999955,4.905364071775592,68.61560727335234,
131,Galb1-4GlcNAcb1-6GalNAca-Sp8,22.028875000000006,17.64443292644547,80.09684074400289,
132,Galb1-4GlcNAcb1-6GalNAc-Sp14,23.063175000000005,8.95537140170635,38.82974222632551,
133,GlcNAcb1-6(Galb1-3)GalNAca-Sp8 ,11.697200000000002,11.579748116719404,98.99589745169273,
134,GlcNAcb1-6(Galb1-3)GalNAca-Sp14,3.3611999999999993,14.144618029483864,420.8204816578563,
135,Neu5Aca2-6(Galb1-3)GalNAca-Sp8,4.824525,2.343451615850714,48.573727275756966,
136,Neu5Aca2-6(Galb1-3)GalNAca-Sp14,6.389025,8.792835414273371,137.62405710219275,
137,Neu5Acb2-6(Galb1-3)GalNAca-Sp8,2.9922500000000003,4.450417254220856,148.73146475798663,
138,Neu5Aca2-6(Galb1-3)GlcNAcb1-4Galb1-4Glcb-Sp10,16.267400000000002,19.800643308236225,121.71977887207682,
139,Galb1-3GalNAca-Sp8,9.9387,5.426315866835129,54.59784344869176,
140,Galb1-3GalNAca-Sp14,19.050975000000008,4.8620196450823325,25.52110663670668,
141,Galb1-3GalNAca-Sp16,20.827900000000003,9.265280307686316,44.48494715111132,
142,Galb1-3GalNAcb-Sp8,17.56555,9.975770342685308,56.79167656398637,
143,Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp0,7.960825000000004,3.3025578484713876,41.48512055561309,
144,Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,8.862775,6.238782131353844,70.39310070890714,
145,Galb1-3GalNAcb1-4Galb1-4Glcb-Sp8,8.713674999999999,5.851218178222949,67.1498326277139,
146,Galb1-3Galb-Sp8,19.0155,4.568640375428991,24.02587560373901,
147,Galb1-3GlcNAcb1-3Galb1-4GlcNAcb-Sp0,4.454099999999999,2.747668504993523,61.68852304603677,
148,Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,5.975175000000001,5.346421573585459,89.4772382998901,
149,Galb1-3GlcNAcb-Sp0,14.689424999999998,5.135610226886348,34.96127470534993,
150,Galb1-3GlcNAcb-Sp8,7.801325000000001,3.5707831329415645,45.77149564902839,
151,Galb1-4(Fuca1-3)GlcNAcb-Sp0,1.1850499999999986,2.870762842288902,242.2482462587153,
152,Galb1-4(Fuca1-3)GlcNAcb-Sp8,5.999674999999998,6.609485833948554,110.16406445263378,
153,Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,12.694424999999999,5.571386706123236,43.888452656368734,
154,Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,11.424874999999998,5.151848422572887,45.09325854832449,
155,Galb1-4(6S)Glcb-Sp0,2.6472749999999996,6.405379055853496,241.9612263876438,
156,Galb1-4(6S)Glcb-Sp8,16.113675,10.781920046502231,66.91161418175699,
157,Galb1-4GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,7.906924999999999,4.963483496749032,62.77387855264889,
158,Galb1-4GalNAcb1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,12.9086,8.10906672846307,62.81910298919379,
159,Galb1-4GlcNAcb1-3GalNAca-Sp8,11.357000000000001,12.986609879153734,114.34894672143815,
160,Galb1-4GlcNAcb1-3GalNAc-Sp14,9.869775,4.547454623834445,46.07455209297521,
161,Galb1-4GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,15.48065,9.947867179283538,64.26000962029073,
162,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,15.206225,8.063559312683624,53.02801525482902,
163,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,7.712925000000001,8.131643533495145,105.42879041991391,
164,Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp0,10.04775,3.304466827896244,32.88762984644566,
165,Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp8,9.019325000000002,13.611246306486164,150.9120284110636,
166,Galb1-4GlcNAcb1-6(Galb1-3)GalNAca-Sp8,5.7574000000000005,6.187730813472738,107.47439492605582,
167,Galb1-4GlcNAcb1-6(Galb1-3)GalNAc-Sp14,-1.4464750000000004,5.75163700603286,-397.6312764501881,
168,Galb1-4GlcNAcb-Sp0,9.612575,13.142021868894451,136.7169761369295,
169,Galb1-4GlcNAcb-Sp8,15.442949999999998,13.011201379708693,84.25334136100095,
170,Galb1-4GlcNAcb-Sp23,3.1338250000000016,2.2820759969452005,72.8207860025751,
171,Galb1-4Glcb-Sp0,8.736799999999999,6.174969657685243,70.67770416726083,
172,Galb1-4Glcb-Sp8,8.069474999999995,1.7368298158330637,21.52345494388501,
173,GlcNAca1-3Galb1-4GlcNAcb-Sp8,4.704375,3.750836219987038,79.73080844930598,
174,GlcNAca1-6Galb1-4GlcNAcb-Sp8,4.5897999999999985,1.040324683292034,22.66601340563934,
175,GlcNAcb1-2Galb1-3GalNAca-Sp8,17.191274999999997,23.4008826600444,136.12069296805737,
176,GlcNAcb1-6(GlcNAcb1-3)GalNAca-Sp8,12.039800000000001,13.895300486375477,115.41138961091941,
177,GlcNAcb1-6(GlcNAcb1-3)GalNAca-Sp14,14.085724999999996,3.722657584195356,26.4285834360344,
178,GlcNAcb1-6(GlcNAcb1-3)Galb1-4GlcNAcb-Sp8,10.042675,6.355617729943076,63.28610385124558,
179,GlcNAcb1-3GalNAca-Sp8,24.1075,11.03240691448004,45.763380335912224,
180,GlcNAcb1-3GalNAca-Sp14,15.740475000000004,17.886949894336368,113.63665895937933,
181,GlcNAcb1-3Galb-Sp8,12.414050000000001,10.635174065492928,85.67046262495258,
182,GlcNAcb1-3Galb1-4GlcNAcb-Sp0,15.000949999999996,9.416736308828023,62.774266355317664,
183,GlcNAcb1-3Galb1-4GlcNAcb-Sp8,26.188850000000002,12.235491913418644,46.72023366210675,
184,GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,13.125274999999998,13.637408281970826,103.9018861088307,
185,GlcNAcb1-3Galb1-4Glcb-Sp0,20.130399999999995,7.810480828135154,38.79943184504609,
186,GlcNAcb1-4-MDPLys,15.764475000000003,4.409644995064784,27.972038365151917,
187,GlcNAcb1-6(GlcNAcb1-4)GalNAca-Sp8,9.698374999999995,8.5903282107942,88.57492322986278,
188,GlcNAcb1-4Galb1-4GlcNAcb-Sp8,17.76055,8.356320373824824,47.04989639298797,
189,GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-Sp8,3.4308999999999985,8.14666251582,237.4497221084847,
190,GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-Sp8,0.8701000000000008,8.604834090982424,988.9477176166436,
191,GlcNAcb1-4GlcNAcb1-4GlcNAcb-Sp8,10.584625,7.5536198132087655,71.36407584783367,
192,GlcNAcb1-6GalNAca-Sp8,11.2714,9.256676810101276,82.12535097770709,
193,GlcNAcb1-6GalNAca-Sp14,10.602899999999998,12.085473878172918,113.98272055921417,
194,GlcNAcb1-6Galb1-4GlcNAcb-Sp8,11.263199999999994,6.246550609736563,55.4598214515996,
195,Glca1-4Glcb-Sp8,19.232775000000004,9.796298292169684,50.935438553041266,
196,Glca1-4Glca-Sp8,6.399524999999997,12.93431794500584,202.11371851826266,
197,Glca1-6Glca1-6Glcb-Sp8,9.410425,6.066742806687954,64.4683189833398,
198,Glcb1-4Glcb-Sp8,-1.5827249999999986,5.968982236738522,-377.1332503586237,
199,Glcb1-6Glcb-Sp8,16.646375,15.409949747133075,92.57240538635634,
200,G-ol-Sp8,11.537275000000001,4.232271703136106,36.68346037635495,
201,GlcAa-Sp8,21.681825000000003,10.008724374722608,46.16181698137775,
202,GlcAb-Sp8,11.877449999999994,6.2286931173401205,52.44133309203679,
203,GlcAb1-3Galb-Sp8,4.089575,0.8696309614811771,21.264580341017762,
