Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,56.931149999999974,12.116163064959679,6.058081532479839,21.282133006200795
2,Glca-Sp8,27.253575000000005,54.64211127097091,27.321055635485454,200.49520575179918
3,Mana-Sp8,39.54059999999998,13.14945839214194,6.57472919607097,33.25558639004452
4,GalNAca-Sp8,38.903974999999996,15.886682511960577,7.943341255980289,40.8356280096329
5,Fuca-Sp8,169.9407,157.94090219498779,78.97045109749389,92.93883230738004
6,Fuca-Sp9,33.08622500000001,21.989666592496647,10.994833296248324,66.46169695242246
7,Rha-Sp8,47.260225000000005,63.28202745958631,31.641013729793155,133.90124033388815
8,Neu5Aca-Sp8,69.04685,98.08396843662413,49.041984218312066,142.05422613287084
9,Neu5Aca-Sp11,52.578050000000005,58.45443380026877,29.227216900134383,111.17649627604821
10,Neu5Acb-Sp8,44.018024999999994,27.220377765609737,13.610188882804868,61.83916194697454
11,Galb-Sp8,97.15207500000002,83.64528164247608,41.82264082123804,86.09726724053608
12,Glcb-Sp8,33.099625,23.841499231434668,11.920749615717334,72.02951462874478
13,Manb-Sp8,196.70847500000008,158.91113841948214,79.45556920974107,80.7851000926534
14,GalNAcb-Sp8,48.977449999999976,55.373629899769526,27.686814949884763,113.05943837372007
15,GlcNAcb-Sp0,62.68102499999998,59.18769712011398,29.59384856005699,94.42681755780796
16,GlcNAcb-Sp8,65.935825,69.68321164663098,34.84160582331549,105.68338478608706
17,GlcN(Gc)b-Sp8,50.78509999999997,36.13508319818821,18.067541599094106,71.15292319634742
18,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,111.31967500000002,137.70764822188522,68.85382411094261,123.70468043666604
19,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,650.8077499999999,1066.7074661322586,533.3537330661293,163.90515726529972
20,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,91.35090000000002,67.30136605409034,33.65068302704517,73.67345702570016
21,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,54.35882500000001,46.48979660623567,23.244898303117836,85.52391742506512
22,[3OSO3]Galb1-4(Fuca1-3)[6OSO3]Glc-Sp0,204.8986500000001,87.01009257048302,43.50504628524151,42.46494184831525
23,[3OSO3]Galb1-4Glcb-Sp8,17.828250000000004,22.228184865990897,11.114092432995449,124.67956678861297
24,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,83.24197500000002,65.40170762955992,32.70085381477996,78.5681834549936
25,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8,106.20387499999998,77.34167906117952,38.67083953058976,72.82378261732873
26,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8,17.155575000000006,28.26746357579977,14.133731787899885,164.77129781892918
27,[3OSO3]Galb1-3GalNAca-Sp8,78.733675,44.245887865757275,22.122943932878638,56.196904140137335
28,[3OSO3]Galb1-3GlcNAcb-Sp8,46.52885,28.440543234673545,14.220271617336772,61.12453506732607
29,[3OSO3]Galb1-4(Fuca1-3)GlcNAc-Sp0 ,156.45635000000001,123.80698423372556,61.90349211686278,79.13196507123268
30,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb-Sp8,137.53557500000005,165.0055502782939,82.50277513914695,119.97299627990346
31,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,52.653425,22.74122553196799,11.370612765983996,43.190401254938294
32,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,69.85872500000002,39.498739548866155,19.749369774433077,56.54088240068244
33,[3OSO3]Galb1-4GlcNAcb-Sp0,56.207475000000045,66.35706770658147,33.17853385329074,118.05737174029152
34,[3OSO3]Galb1-4GlcNAcb-Sp8,69.25005000000002,74.09130210443055,37.04565105221528,106.990972720497
35,[3OSO3]Galb-Sp8,30.25025,5.736193502373033,2.8680967511865165,18.962466433741977
36,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,121.10867499999998,22.526488852663626,11.263244426331813,18.600227318698373
37,[4OSO3]Galb1-4GlcNAcb-Sp8,9.192675000000008,11.037479394129514,5.518739697064757,120.06819988881912
38,6-H2PO3Mana-Sp8,73.32417499999997,33.320268068286225,16.660134034143113,45.44240432065719
