Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,91.75880000000001,23.502909287575275,25.61379321392092,
2,Glca-Sp8,21.5338,13.540967447219801,62.88238697870232,
3,Mana-Sp8,44.989375,17.742213115312516,39.43645164066519,
4,GalNAca-Sp8,25.815825000000004,11.18722022946273,43.334738399654974,
5,GalNAca-Sp15,67.22084999999998,34.750667048993506,51.696262467662216,
6,Fuca-Sp8,32.69132499999999,19.053418053177936,58.282795369040386,
7,Fuca-Sp9,56.686475,46.17668737933853,81.4597968551379,
8,Rhaa-Sp8,30.159525000000002,21.865789825871072,72.50044497010835,
9,Neu5Aca-Sp8,92.803675,24.168110043522972,26.04219072523041,
10,Neu5Aca-Sp11,39.29295,13.833749989669,35.20669735835309,
11,Neu5Acb-Sp8,146.849925,12.326968830542395,8.394262939216613,
12,Galb-Sp8,42.605375,14.178428214103972,33.27849646694571,
13,Glcb-Sp8,20.391700000000007,13.613765932564974,66.76130941787575,
14,Manb-Sp8,170.091125,54.06078555646836,31.783425241304247,
15,GalNAcb-Sp8,14.251475000000001,11.050850449739155,77.54180146082531,
16,GlcNAcb-Sp0,39.68135,9.873347265070109,24.881581057776785,
17,GlcNAcb-Sp8,8.810175000000001,8.474818682573686,96.19353398285148,
18,GlcN(Gc)b-Sp8,45.694549999999985,13.795895832819273,30.191556395279694,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,19.227199999999996,8.881927978016204,46.194599203296406,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,62.77515,14.95866906122779,23.828965858668262,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,14.495975000000001,7.60658503639007,52.47377314316608,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,280.702325,21.275428932201688,7.579356149686929,
23,6S(3S)Galb1-4GlcNAcb-Sp0,187.691825,64.13205272848485,34.16880449027806,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,247.592875,39.7315204040298,16.04711783569289,
25,(3S)Galb1-4Glcb-Sp8,118.41909999999999,43.50445756954107,36.737703267075226,
26,(3S)Galb1-4(6S)Glcb-Sp0,145.35907500000002,17.219897326324507,11.846454943610851,
