Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,36.63649999999999,9.976228367808474,27.23029865791895,
2,Glca-Sp8,26.159425000000006,16.961533051854893,64.83908974243467,
3,Mana-Sp8,43.727199999999996,16.234259292824756,37.12622645132722,
4,GalNAca-Sp8,31.98385,25.890081704712063,80.9473584471915,
5,GalNAca-Sp15,29.699199999999998,24.375085786789203,82.07320664121998,
6,Fuca-Sp8,12.459400000000002,8.703360264097235,69.85376714847612,
7,Fuca-Sp9,9.305825,6.528759799214039,70.15777536343138,
8,Rhaa-Sp8,54.9157,69.16480538457886,125.9472343693677,
9,Neu5Aca-Sp8,14.800325,7.053566411102463,47.658185959446584,
10,Neu5Aca-Sp11,31.4769,29.071807565749957,92.35918265696418,
11,Neu5Acb-Sp8,11.2775,2.3805033459333655,21.108431353875996,
12,Galb-Sp8,31.092025,31.46219776487067,101.19057142425001,
13,Glcb-Sp8,15.705350000000003,8.603598348946793,54.78132196319593,
14,Manb-Sp8,13.386,12.001578211774197,89.65768871787088,
15,GalNAcb-Sp8,24.840249999999997,5.156620552584112,20.759133070657953,
16,GlcNAcb-Sp0,44.8357,18.890442928105188,42.13259284031516,
17,GlcNAcb-Sp8,13.852300000000001,7.098674663625594,51.24545861427773,
18,GlcN(Gc)b-Sp8,27.724375,17.658672644978147,63.693672607509264,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,15.420750000000002,10.008464570052695,64.90257977110512,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,17.207550000000005,18.958853869454597,110.17753177793811,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,6.034350000000002,1.820526635344839,30.16939082659837,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,15.71705,18.38621291556982,116.98259479717773,
23,6S(3S)Galb1-4GlcNAcb-Sp0,29.302649999999996,15.93544416879137,54.382262931138904,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,40.165850000000006,11.18180540655226,27.839085707266886,
25,(3S)Galb1-4Glcb-Sp8,13.536025000000006,1.1462571391998293,8.468196085629486,
26,(3S)Galb1-4(6S)Glcb-Sp0,9.998874999999998,8.975136086387025,89.76145902801092,
27,(3S)Galb1-4(6S)Glcb-Sp8,7.6247000000000025,11.921787862844509,156.3574680032592,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,15.671050000000001,14.263348882245966,91.01718699286879,
29,(3S)Galb1-3GalNAca-Sp8,4.8427500000000006,1.5944779678628345,32.92505225053605,
30,(3S)Galb1-3GlcNAcb-Sp0,12.129075,9.110676953031543,75.11435911668073,
31,(3S)Galb1-3GlcNAcb-Sp8,8.735674999999997,6.441935712902344,73.74285001333436,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,15.686875,6.671274144856681,42.52774465823614,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,17.876675000000002,19.053515686328506,106.5831072407397,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,3.9677000000000007,5.614300341686983,141.50012202754698,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,15.851199999999999,8.183117550176094,51.62459340728838,
36,(3S)Galb1-4GlcNAcb-Sp0,15.352275000000002,4.388574543345488,28.58582551019629,
37,(3S)Galb1-4GlcNAcb-Sp8,5.873400000000004,3.0996518266841435,52.774403696055806,
38,(3S)Galb-Sp8,10.151525,9.660224262536566,95.16032578885012,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,13.779224999999997,11.949749277251245,86.72294180007401,
40,(4S)Galb1-4GlcNAcb-Sp8,17.756049999999995,7.870830817010449,44.32759998428959,
41,(6P)Mana-Sp8,23.52755,12.411862593905873,52.75459023105199,
42,(6S)Galb1-4Glcb-Sp0,11.494099999999998,13.1986800799676,114.83004393530247,
43,(6S)Galb1-4Glcb-Sp8,15.556500000000002,3.944571186664862,25.356418131744686,
44,(6S)Galb1-4GlcNAcb-Sp8,6.651599999999998,6.056807037265312,91.05789640485466,
45,(6S)Galb1-4(6S)Glcb-Sp8,28.011400000000002,33.16188669009449,118.38710914161553,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,13.738674999999997,9.099309249012624,66.23134508249613,
47,(6S)GlcNAcb-Sp8,12.490024999999996,7.5974711482944635,60.828310177877675,
48,"Neu5,9Ac2a-Sp8",12.108000000000004,9.808682229874998,81.00992921931777,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",8.591,7.634920199975894,88.87114654843317,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,13.572724999999997,9.618706171266846,70.86790730134773,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,11.267024999999999,10.656902902618254,94.58488733821267,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,7.897300000000001,6.9319610246067205,87.77634159278132,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,12.653099999999997,7.439622231000714,58.79683422244917,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,11.323825,10.855201055216192,95.86161085336617,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,33.560975,9.773245687547556,29.1208634062257,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,85.78987500000001,11.201459639224089,13.056855065034293,
