Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,10.548475,8.539766287346508,80.95735437915441,
2,Glca-Sp8,16.589300000000005,22.162636225112447,133.59596984268438,
3,Mana-Sp8,69.18815000000001,35.325741590375685,51.05750275209798,
4,GalNAca-Sp8,25.000875000000008,7.325077916479758,29.29928619090234,
5,GalNAca-Sp15,28.979674999999993,12.587796450895144,43.43663775006154,
6,Fuca-Sp8,13.488849999999996,12.872975077657854,95.43419251943537,
7,Fuca-Sp9,19.114425,6.711536900181662,35.1124185016377,
8,Rhaa-Sp8,11.289624999999994,5.597584665058689,49.581670472302605,
9,Neu5Aca-Sp8,45.307599999999994,39.15238852356263,86.41461592219105,
10,Neu5Aca-Sp11,17.459300000000006,8.781817878245135,50.29879707803367,
11,Neu5Acb-Sp8,-0.9698750000000018,6.143161126203674,-633.3972033719461,
12,Galb-Sp8,9.990224999999999,4.803489874646687,48.08189880254637,
13,Glcb-Sp8,15.357949999999995,21.127244058245434,137.56552181928865,
14,Manb-Sp8,32.878625,11.781875020944963,35.83445177815363,
15,GalNAcb-Sp8,27.111925,10.58279682956414,39.03373452664884,
16,GlcNAcb-Sp0,39.562700000000014,27.141125884900212,68.60281498709695,
17,GlcNAcb-Sp8,17.43745,13.630425413390448,78.16753833496554,
18,GlcN(Gc)b-Sp8,17.927725000000002,6.115155831415908,34.110049275164066,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,15.484324999999995,13.45659452347312,86.9046246670302,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,7.99165,8.89695999710013,111.32819877121909,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,34.600249999999996,26.298169586303914,76.00572130636026,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,18.729274999999998,15.64623071336458,83.53890213777406,
23,6S(3S)Galb1-4GlcNAcb-Sp0,39.741575,24.024851500945857,60.45269091863082,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,40.614725,28.669658294019374,70.58932023796633,
25,(3S)Galb1-4Glcb-Sp8,8.960825,6.007399056926946,67.0406916430903,
26,(3S)Galb1-4(6S)Glcb-Sp0,15.864375,9.900371631534856,62.406313715698566,
27,(3S)Galb1-4(6S)Glcb-Sp8,17.377599999999994,9.920356840692108,57.08703641867756,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,15.952375000000005,11.966114771964763,75.01149372406779,
29,(3S)Galb1-3GalNAca-Sp8,9.394074999999997,16.643940056043427,177.17486879808212,
30,(3S)Galb1-3GlcNAcb-Sp0,12.551775000000003,6.665575125161113,53.104641575881594,
31,(3S)Galb1-3GlcNAcb-Sp8,18.90597500000001,21.68139735739296,114.68013343608543,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,28.054825,37.83845355511375,134.8732474899193,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,-0.0006999999999983686,3.9805839831193994,-568654.854732668,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,15.680225,4.109954536143502,26.2110686303513,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,12.853650000000009,3.059522900170187,23.802755638827765,
36,(3S)Galb1-4GlcNAcb-Sp0,11.596925000000002,3.289107930097938,28.361897055451657,
37,(3S)Galb1-4GlcNAcb-Sp8,7.511149999999997,4.045870484415762,53.864860699303875,
38,(3S)Galb-Sp8,15.882450000000002,14.859793902227139,93.56109354808066,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,24.083249999999996,15.613768273012555,64.83248013873775,
40,(4S)Galb1-4GlcNAcb-Sp8,23.000300000000003,18.82953350139084,81.86646913905835,
41,(6P)Mana-Sp8,34.079,17.024961393984622,49.95733851927762,
42,(6S)Galb1-4Glcb-Sp0,13.635425000000005,11.788925292373621,86.45807000789206,
43,(6S)Galb1-4Glcb-Sp8,12.963899999999999,11.670765820916237,90.02511451736159,
44,(6S)Galb1-4GlcNAcb-Sp8,26.374175,4.924444690436327,18.671464379213102,
45,(6S)Galb1-4(6S)Glcb-Sp8,5.514349999999997,3.554984551771447,64.46788019932447,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,9.929599999999999,3.110968917663215,31.330254165960515,
47,(6S)GlcNAcb-Sp8,9.280575000000002,12.610284506009371,135.87826730573664,
48,"Neu5,9Ac2a-Sp8",11.175625,7.3907055641415775,66.13236900971155,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",13.790775000000002,8.321777439696008,60.34307310282423,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,10.650424999999998,9.035818254175984,84.83997825604129,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,11.683025000000004,8.219633062927246,70.35534943156625,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,-0.7306249999999981,4.818615238409615,-659.5196220235589,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,5.112024999999999,3.927954903318011,76.83755269815799,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,-0.7553750000000008,7.712205073939621,-1020.9770079681764,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,1090.3769,63.86673530192991,5.85730817499251,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,1833.48155,85.44939483937966,4.6604993019635055,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,796.92755,33.747300634815126,4.234676117648979,
58,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,1157.1291999999999,21.343967411117973,1.8445621639414143,
59,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,18.428799999999995,5.961349504376813,32.34800694769499,
