Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,11.097974999999998,11.361005982563047,102.37008087117738,
2,Glca-Sp8,9.517925000000002,8.859124389530074,93.0783168550926,
3,Mana-Sp8,6.74855,9.453819753764435,140.08668163923267,
4,GalNAca-Sp8,11.787799999999999,8.075727544520882,68.50920056771308,
5,GalNAca-Sp15,30.299475,15.47011243039813,51.05736132523131,
6,Fuca-Sp8,21.34755,5.602457362324748,26.244029700479675,
7,Fuca-Sp9,-31.80755,25.638801531337872,-80.606024454376,
8,Rhaa-Sp8,25.1546,8.005749034704177,31.826183023002464,
9,Neu5Aca-Sp8,20.80135,12.170172586149572,58.506647819250055,
10,Neu5Aca-Sp11,19.0683,13.556657481350872,71.09526009844019,
11,Neu5Acb-Sp8,11.369900000000001,8.22354525372117,72.32733140767438,
12,Galb-Sp8,18.736,10.260440861223591,54.76324114658193,
13,Glcb-Sp8,5.900324999999999,3.707875152855967,62.84187994484996,
14,Manb-Sp8,8.681024999999998,6.603575249501846,76.06907305879027,
15,GalNAcb-Sp8,13.8444,9.488065000128664,68.53359481182763,
16,GlcNAcb-Sp0,10.606749999999996,1.5478117596572583,14.592705208072774,
17,GlcNAcb-Sp8,16.179375,12.677321886574987,78.35483068150029,
18,GlcN(Gc)b-Sp8,498.32405000000006,37.89981708966426,7.605456146389936,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,-25.77,37.34293381698872,-144.90855187034813,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,21.089825,6.515459146969886,30.89385116742261,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,11.320124999999999,8.859979720584386,78.26750782861839,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,5.801400000000001,5.640494386133185,97.22643475942331,
23,6S(3S)Galb1-4GlcNAcb-Sp0,11.056325000000003,4.3923449108458374,39.72698804391004,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,17.775125,7.013943991970585,39.459323025692285,
25,(3S)Galb1-4Glcb-Sp8,13.949825000000004,1.6872743431838975,12.095308315221853,
26,(3S)Galb1-4(6S)Glcb-Sp0,7.667724999999999,6.778585129840888,88.40412416774062,
27,(3S)Galb1-4(6S)Glcb-Sp8,12.433949999999996,11.176032299374702,89.88320123029855,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,10.1396,4.284330983946036,42.25345165436543,
29,(3S)Galb1-3GalNAca-Sp8,774.7725,60.955837726613055,7.867578899175314,
30,(3S)Galb1-3GlcNAcb-Sp0,17.981225000000002,10.62478003078181,59.08818798931558,
31,(3S)Galb1-3GlcNAcb-Sp8,7.640424999999999,4.395257389789596,57.5263468954881,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,14.306999999999995,5.376531700517236,37.57972810873865,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,-0.25225000000000186,5.906879885071868,-2341.676862268315,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,-181.36935000000005,228.82558641616842,-126.16552158133022,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,-10.93945,13.9164285623144,-127.21323798101731,
36,(3S)Galb1-4GlcNAcb-Sp0,-26.679125,26.596043643290894,-99.68859039901382,
37,(3S)Galb1-4GlcNAcb-Sp8,3.8448749999999983,5.546620367620294,144.26009604006103,
38,(3S)Galb-Sp8,5.206500000000001,4.293582323266513,82.46580857133414,
