Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,9.8395,5.99527862571874,60.93072438354328,
2,Glca-Sp8,20.709274999999998,8.726507329348133,42.138159493020076,
3,Mana-Sp8,19.045475000000007,18.944241180787195,99.46846261795616,
4,GalNAca-Sp8,5.2791999999999994,15.405258163583841,291.81046680527055,
5,GalNAca-Sp15,20.62102499999999,11.596472098408498,56.236157506275774,
6,Fuca-Sp8,-0.2775999999999996,6.198837447995124,-2233.0106080674104,
7,Fuca-Sp9,16.2598,4.3377884096238,26.677993638444512,
8,Rhaa-Sp8,18.482825000000002,8.911661989915235,48.21590849837746,
9,Neu5Aca-Sp8,-1.2937000000000047,13.319034578376913,-1029.530384043972,
10,Neu5Aca-Sp11,0.23967500000000186,14.59346130666631,6088.854201175006,
11,Neu5Acb-Sp8,12.23625,11.538982621097926,94.30162526180754,
12,Galb-Sp8,41.983525,21.323600406494062,50.79040029748351,
13,Glcb-Sp8,37.6245,33.01102142547748,87.73809997601957,
14,Manb-Sp8,48.789325000000005,9.309284493584771,19.080576526903723,
15,GalNAcb-Sp8,19.84465,15.37421180342805,77.47282921809177,
16,GlcNAcb-Sp0,38.31915000000001,26.74916728055908,69.8062647020069,
17,GlcNAcb-Sp8,8.40215,2.1624141763316236,25.73643860597137,
18,GlcN(Gc)b-Sp8,29.353374999999996,25.104742535276085,85.52591494257845,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,33.09452500000001,12.515863532699864,37.818532016095894,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,16.755674999999997,8.340960328952878,49.77991235180248,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,1.3254749999999973,5.797567146872904,437.3954353626372,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,9.318900000000006,11.523819875081934,123.66073114940525,
23,6S(3S)Galb1-4GlcNAcb-Sp0,16.618375,16.85898193098168,101.4478366927072,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,29.614125,20.31679067887363,68.6050682870881,
25,(3S)Galb1-4Glcb-Sp8,19.367024999999998,8.004829023939235,41.332259466486136,
26,(3S)Galb1-4(6S)Glcb-Sp0,14.074349999999995,8.558823416607368,60.81150047147733,
27,(3S)Galb1-4(6S)Glcb-Sp8,39.76682500000001,20.101768546303738,50.54909097294977,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,5.638025000000001,7.740028715009181,137.28262494418135,
29,(3S)Galb1-3GalNAca-Sp8,39.56452499999999,8.77855290746532,22.18793959352557,
30,(3S)Galb1-3GlcNAcb-Sp0,13.887874999999994,6.729261878975585,48.45422268688038,
31,(3S)Galb1-3GlcNAcb-Sp8,16.52365,5.473061568872293,33.12259439574363,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,33.87445000000001,6.248800681997509,18.446943587268596,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,12.6467,15.684918221229806,124.02380242458355,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,4535.052674999999,1471.867965994372,32.45536648577897,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,7023.356175000001,581.2524667995588,8.275993019812336,
36,(3S)Galb1-4GlcNAcb-Sp0,2765.715525,274.10014416479356,9.910641267590005,
37,(3S)Galb1-4GlcNAcb-Sp8,3987.81385,544.9904811856134,13.666397221264814,
38,(3S)Galb-Sp8,53.99177500000001,31.806718130438508,58.91030278304149,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,14.289074999999997,5.717922297696994,40.01604230992555,
40,(4S)Galb1-4GlcNAcb-Sp8,2662.0182,307.5482874660952,11.553200029439889,
41,(6P)Mana-Sp8,22.557850000000002,4.97700512657961,22.063295600332523,
42,(6S)Galb1-4Glcb-Sp0,19.654899999999998,8.654102542725035,44.03025475950036,
43,(6S)Galb1-4Glcb-Sp8,20.756700000000002,13.805614071818765,66.5116038282519,
44,(6S)Galb1-4GlcNAcb-Sp8,8.753000000000002,9.903416935919976,113.14311591362932,
45,(6S)Galb1-4(6S)Glcb-Sp8,14.390274999999995,19.83536575435821,137.83868448906097,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,8.692000000000002,12.052030457700205,138.6565860296848,
47,(6S)GlcNAcb-Sp8,-1.3705249999999989,4.028753944149481,-293.9569832107758,
48,"Neu5,9Ac2a-Sp8",3.8076749999999997,4.157320805017736,109.18265884083429,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",11.405400000000004,9.95655069924653,87.29681290657518,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,18325.430075,1711.140574605598,9.3375193247987,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,23450.367724999996,885.1353334456597,3.774505132821579,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,39.14535,9.18442384529368,23.462362311982595,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,350.57294999999993,34.438924325295254,9.823611412487832,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,47.497475,21.223435491357936,44.68329209364905,
