Chart Number,Structure,RFU,StDev,SEM,CV
1,Alpha1-acid glycoprotein (AGP),121.63058333333335,132.1875723697416,53.96535044051518,
2,AGP-A (AGP ConA flowthrough),162.7759,268.60664052187536,109.65820180029702,
3,AGP-B (AGP ConA bound),182.35524999999998,277.9059869930891,113.45464409960117,
4,Ceruloplasmin,235.60344999999998,247.33153966102864,100.97267824441009,
5,Fibrinogen,100.60476666666669,213.46703705932367,87.14755294985498,
6,Transferrin,219.54298333333335,334.2848742364656,136.47122843496453,
7,α-D-Gal–Sp8,103.2672,211.53888564342967,86.36038843056079,
8,α-D-Glc–Sp8,154.82711666666668,241.66485771536097,98.65926502748881,
9,α-D-Man–Sp8,163.73324487179488,230.9674523591379,15.09881469979559,
10,α-GalNAc–Sp8,159.95326666666665,164.71643443901596,67.24520277103124,
11,α-L-Fuc–Sp8,11124.519766666665,3766.072670468601,1537.4927294814818,
12,α-L-Fuc–Sp9,14848.964233333332,6586.714285135444,2689.014846680451,
13,α-L-Rhα–Sp8,143.63979999999998,181.179123080823,73.96606726548782,
14,α-Neu5Ac–Sp8,188.29498333333336,267.2184394746322,109.09147109593985,
15,Neu5Acα1-2–Sp82,-57.71794999999998,97.13209403229706,39.65401133786047,
16,b-Neu5Ac-Sp8,15.680116666666663,74.04405533535876,30.228359009671895,
17,β-D-Gal–Sp8,64.51403333333337,216.1317686723788,88.23542507542976,
18,β-D-Glc–Sp8,187.08378333333334,192.7091098215278,78.67316464145156,
19,β-D-Man–Sp8,121.28415000000001,223.52472629966243,91.25358738824008,
20,β-GalNAc–Sp8,125.70375,295.3675314333838,120.58328976621027,
21,β-GlcNAc–Sp0,124.76721666666667,210.51431079461005,85.94210750007791,
22,β-GlcNAc–Sp8,222.8184166666667,167.01529822622138,68.18370998216713,
23,b-GlcN(Gc)-Sp8,220.87221666666667,429.583183159506,175.3766001368929,
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",221.12520000000004,279.7392700777994,114.20307878487048,
25,(GlcNAcb1-3(GlcNAcb1-6)GlcNAcb1-4)GlcNAc-Sp8,-66.77370000000002,134.47102438891437,54.89756582369873,
26,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,304.8463,370.65632547131315,151.31981122328082,
