Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,1.7873249999999992,3.8466695710922028,215.21936811112724,
2,Glca-Sp8,9.335625,6.28270905813461,67.2982157931002,
3,Mana-Sp8,9.468175,10.20178615190333,107.7481790514363,
4,GalNAca-Sp8,12.842474999999995,7.173997844240462,55.8614896602132,
5,GalNAca-Sp15,12.010325000000002,7.575976316565853,63.078861867317094,
6,Fuca-Sp8,3.478125,1.362422651932945,39.17118136734433,
7,Fuca-Sp9,3.3727500000000017,6.72687175463702,199.44768377843053,
8,Rhaa-Sp8,7.651174999999995,24.64160969557725,322.06307783546015,
9,Neu5Aca-Sp8,25.152050000000003,16.933325812432717,67.32383965693737,
10,Neu5Aca-Sp11,17.97665,15.698859631302312,87.32917218337295,
11,Neu5Acb-Sp8,6.571025000000001,11.033939055289066,167.91808059304395,
12,Galb-Sp8,-3.592175,3.338143950735703,-92.92821064496309,
13,Glcb-Sp8,2.4543500000000016,2.749955714188864,112.04415483483865,
14,Manb-Sp8,10.080225000000002,8.12147487441987,80.56838884469215,
15,GalNAcb-Sp8,3.4288,4.431794562777773,129.25205794382214,
16,GlcNAcb-Sp0,2.58155,4.6987924218179025,182.01438755080872,
17,GlcNAcb-Sp8,6.656875,7.028989084913505,105.5899214708629,
18,GlcN(Gc)b-Sp8,-5.877025,3.5521832820346804,-60.44186101019956,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,-0.09820000000000029,4.038306875412021,-4112.3287936985835,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,0.9223500000000016,4.895062495685491,530.7163761788348,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,1.23015,6.964742046670984,566.1701456465458,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,-1.4461999999999984,3.1848731476570085,-220.22356158601934,
23,6S(3S)Galb1-4GlcNAcb-Sp0,-2.099149999999998,4.2548088672308975,-202.69198805377897,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,1.1811250000000006,0.9500013907884542,80.43190947515747,
25,(3S)Galb1-4Glcb-Sp8,2.228275,3.843000442687979,172.46526764820226,
26,(3S)Galb1-4(6S)Glcb-Sp0,-1.0923249999999998,3.813726225425732,-349.13841809221,
27,(3S)Galb1-4(6S)Glcb-Sp8,-0.8654000000000002,6.824075369357133,-788.5458018670131,
