Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,73.33137499999998,32.393509514137214,16.196754757068607,44.17414716979904
2,Neu5Acα2-8Neu5Acβ-Sp17,128.24355,20.284243487248965,10.142121743624482,15.816969732395092
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,66.701575,34.828816080306765,17.414408040153383,52.215882578944736
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,244.09625,86.84261377536191,43.421306887680956,35.5772011144628
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,131.21002499999997,47.867264289169185,23.933632144584593,36.48140779576042
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,80.747875,47.04947374975802,23.52473687487901,58.26713551255439
7,α-D-Gal–Sp8,268.41265000000004,66.60798767347605,33.30399383673802,24.815517328812945
8,α-D-Glc–Sp8,103.42072499999999,52.243687195511995,26.121843597755998,50.51568454534814
9,α-D-Man–Sp8,94.09422500000002,135.900520240539,67.9502601202695,144.43024557621786
10,α-GalNAc–Sp8,100.49645000000002,58.17425781732549,29.087128908662745,57.88687840946171
11,α-L-Fuc–Sp8,199.16637499999996,126.21278995094951,63.10639497547476,63.37053127112925
12,α-L-Fuc–Sp9,231.91034999999994,49.06129414372077,24.530647071860386,21.155284420777594
13,α-L-Rhα–Sp8,108.34560000000002,101.57071731698402,50.78535865849201,93.74697017413166
14,α-Neu5Ac–Sp8,336.99985,128.46516610530392,64.23258305265196,38.12024429841851
15,α-Neu5Ac–Sp11,293.03097499999996,184.6174035528319,92.30870177641594,63.00269231020097
16,β-Neu5Ac-Sp8,36.31715,17.554074993288605,8.777037496644303,48.335497122677864
17,β-D-Gal–Sp8,139.96139999999997,104.20694907471389,52.103474537356945,74.45406310219383
18,β-D-Glc–Sp8,195.774875,73.85648880224291,36.928244401121454,37.72521310624916
19,β-D-Man–Sp8,169.97230000000127,124.39338505236587,62.196692526182936,73.18450421178329
20,β-GalNAc–Sp8,336.59995000000004,45.19680770692333,22.598403853461665,13.427455264602187
21,β-GlcNAc–Sp0,56.58162499999999,83.03961398041156,41.51980699020578,146.76074428829426
22,β-GlcNAc–Sp8,152.39645,144.5795731344855,72.28978656724276,94.8706962232293
23,β-GlcN(Gc)-Sp8,176.0752,151.80083580659235,75.90041790329617,86.21363815380721
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",117.7361,86.8161084783617,43.40805423918085,73.73788368933717
25,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,493.9672499999998,396.42540220931727,198.21270110465863,80.25337756892131
26,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,168.01964999999998,72.86994538283051,36.434972691415254,43.36989476101784
27,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,162.27109999999996,132.70476769446782,66.35238384723391,81.77966852660015
28,[3OSO3]Galβ1-4Glcβ-Sp8,175.010425,30.7271225328561,15.36356126642805,17.557309819032838
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,238.14932499999998,101.59902405703747,50.799512028518734,42.66189881371172
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,65.26305000000002,96.86995459076398,48.43497729538199,148.43001451933972
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,199.15145,105.7297311254345,52.86486556271725,53.090113642373424
32,[3OSO3]Galβ1-3GalNAcα–Sp8,85.03715000000001,54.42666374713137,27.213331873565686,64.00339586537339
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,259.84255,64.87627449499533,32.438137247497664,24.967533029134497
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,242.98365,46.420976782018165,23.210488391009083,19.104568057158648
35,[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp8,146.00259999999997,39.40830433170158,19.70415216585079,26.991508597587703
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,224.12600000000003,73.1195411378289,36.55977056891445,32.6243011242912
37,[3OSO3]Galβ1-4GlcNAcβ-Sp8,205.77882499999996,182.94454559327312,91.47227279663656,88.90348440529445
38,[3OSO3]Galβ–Sp8,346.42522499999995,223.15608367834537,111.57804183917268,64.41681135614343
39,[4OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,413.70825,64.30353631610548,32.15176815805274,15.543208605606845
40,[4OSO3]Galβ1-4GlcNAcβ-Sp8,161.06489999999997,67.29607960532826,33.64803980266413,41.781964664758284
41,6-H2PO3Manα–Sp8,111.85287500000001,127.07842343171076,63.53921171585538,113.61212077178236
42,[6OSO3]Galβ1-4Glcβ–Sp0,232.575075,39.3154115862451,19.65770579312255,16.90439596171047
43,[6OSO3]Galβ1-4Glcβ–Sp8,164.79867499999995,160.9049793820021,80.45248969100105,97.6373016239373
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,274.353725,81.80163179034079,40.900815895170396,29.81611851282165
45,[6OSO3]Galβ1-4[6OSO3]Glcβ-Sp8,242.94850000000008,105.06286523654946,52.53143261827473,43.24491208488607
46,NeuAcα2-3[6OSO3]Galβ1-4GlcNAcβ–Sp8,271.7773500000002,131.3738535759345,65.68692678796725,48.33877936330397
47,[6OSO3]GlcNAcβ–Sp8,149.863075,122.98155506821259,61.49077753410629,82.06261286725405
48,9NAcNeu5Acα-Sp8,159.08555000000004,64.98549911836747,32.492749559183736,40.8494040586134
49,9NAcNeu5Acα2-6Galβ1-4GlcNAcβ-Sp8,220.67582499999997,106.57720952675184,53.28860476337592,48.29582466804049
50,Manα1-3(Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,110.43757499999995,62.91675535792656,31.45837767896328,56.970424566028896
51,GlcNAcβ1-2Manα1-3(GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,132.0278,26.10102299732058,13.05051149866029,19.769338728147083
52,Galβ1-4GlcNAcβ1-2Manα1-3(Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,59.185199999999995,16.00977689476029,8.004888447380145,27.05030462811698
53,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,75.06397500000001,41.132289426465206,20.566144713232603,54.796311315068515
54,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp8,11.579549999999983,64.16963719914578,32.08481859957289,554.1634795751637
55,Fucα1-2Galβ1-3GalNAcβ1-3Galα-Sp9,36.448900000000094,27.946447060761802,13.973223530380901,76.6729505163715
56,Fucα1-2Galβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ-Sp9,89.13955,14.86108707519973,7.430543537599865,16.671709780001954
57,Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,335.538525,101.88222171757525,50.941110858787624,30.363792568252855
