Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,26.7949,42.81369814821733,159.78301149926787,
2,Glca-Sp8,-0.5180750000000014,5.8822834944574565,-1135.4115706137993,
3,Mana-Sp8,2.354375,13.514227602142121,574.0048888618899,
4,GalNAca-Sp8,35507.84612500001,5120.040302812071,14.419461785397353,
5,GalNAca-Sp15,23134.07785,1896.0569163863704,8.195947678054392,
6,Fuca-Sp8,218.64260000000002,265.1449109319529,121.26864157851804,
7,Fuca-Sp9,2.0158750000000047,13.304591236455428,659.9908841795943,
8,Rhaa-Sp8,150.90504999999996,204.63608740321598,135.6058577252491,
9,Neu5Aca-Sp8,204.42630000000003,111.83460365584534,54.706563517436514,
10,Neu5Aca-Sp11,53.442099999999996,9.505965988087079,17.787411026301513,
11,Neu5Acb-Sp8,14.186775,13.688858825915082,96.49027933349956,
12,Galb-Sp8,25.257649999999995,30.351050762755044,120.16577457821708,
13,Glcb-Sp8,9.365900000000003,20.374765122245382,217.5419887276757,
14,Manb-Sp8,18.434425000000005,17.80635514947315,96.59295122833039,
15,GalNAcb-Sp8,20790.7126,629.3197354140619,3.0269272031304113,
16,GlcNAcb-Sp0,-13.807875000000001,8.251032554121128,-59.75599108567485,
17,GlcNAcb-Sp8,554.227625,834.238173128843,150.52266171843075,
18,GlcN(Gc)b-Sp8,-13.967050000000004,6.242707904160388,-44.69596589229928,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,50.98860000000002,92.84641366891893,182.0924945358745,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,268.30325,292.3305326057759,108.95527080114604,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,198.41682500000002,331.0225525508534,166.8318967158422,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,58.15654999999995,50.439288224789,86.7301932882694,
23,6S(3S)Galb1-4GlcNAcb-Sp0,118.55882499999998,119.0863895511259,100.44498125814414,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,-1.8243250000000053,6.106557986501066,-334.7297212120126,
25,(3S)Galb1-4Glcb-Sp8,2.2369749999999984,4.1088890934777,183.6805996257313,
26,(3S)Galb1-4(6S)Glcb-Sp0,9.111175,13.23588579616667,145.27089860711345,
27,(3S)Galb1-4(6S)Glcb-Sp8,0.04654999999999809,12.88704298963368,27684.302877839327,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,-7.190825,5.2763798109278195,-73.37655708389259,
29,(3S)Galb1-3GalNAca-Sp8,-6.5620499999999975,9.106052386737076,-138.76840906023392,
30,(3S)Galb1-3GlcNAcb-Sp0,240.633875,374.7899335971854,155.75111093447896,
31,(3S)Galb1-3GlcNAcb-Sp8,-11.05915,5.221720996951097,-47.21629598071368,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,173.5814,255.029490464103,146.9221301729926,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,32.922324999999994,13.429039088079486,40.79006901268209,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,38.258475000000004,16.900039867088193,44.17332334100664,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,24.965,38.71083920893475,155.0604414537743,
36,(3S)Galb1-4GlcNAcb-Sp0,22.583575,22.366493586072753,99.03876417295646,
37,(3S)Galb1-4GlcNAcb-Sp8,-6.145499999999999,6.213979642708847,-101.11430547081358,
38,(3S)Galb-Sp8,40.196950000000015,61.39426204928818,152.7336328982377,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,-0.3777250000000012,4.50187322224501,-1191.8388304308678,
40,(4S)Galb1-4GlcNAcb-Sp8,-6.565325000000001,4.484013651016234,-68.29842621677119,
41,(6P)Mana-Sp8,698.5197000000001,746.615120421408,106.88533486190983,
42,(6S)Galb1-4Glcb-Sp0,-9.990999999999998,7.764293640763467,-77.71287799783273,
43,(6S)Galb1-4Glcb-Sp8,1.8840749999999957,18.453069432549686,979.4232943247869,
