Chart Number,Structure,RFU,StDev,SEM,CV
1,Alpha1-acid glycoprotein (AGP),42.0631,151.54570298985058,61.86827417275084,
2,AGP-A (AGP ConA flowthrough),-21.519083333333338,119.23331004150506,48.676794990792196,
3,AGP-B (AGP ConA bound),244.68354999999997,174.88281978660743,71.39561220938232,
4,Ceruloplasmin,140.18089999999998,230.98772451338618,94.30034365072767,
5,Fibrinogen,220.84219999999996,172.34767125085276,70.36064215358851,
6,Transferrin,172.71256666666667,281.89526199962756,115.08325880121073,
7,α-D-Gal–Sp8,108.64976666666666,198.1886520507334,80.91017838904929,
8,α-D-Glc–Sp8,-17.66921666666667,56.06396980751243,22.88801983053458,
9,α-D-Man–Sp8,96.00995170940176,197.0803199739384,12.883543555028483,
10,α-GalNAc–Sp8,47230.129466666665,7707.15761311964,3146.43391989164,
11,α-L-Fuc–Sp8,58.67558333333329,127.81088958048004,52.17857717389654,
12,α-L-Fuc–Sp9,106.59878333333336,154.99997160540917,63.27847342985561,
13,α-L-Rhα–Sp8,50.16199999999998,134.43857187255446,54.88431713937354,
14,α-Neu5Ac–Sp8,99.72193333333335,220.9050561506248,90.18411152831625,
15,Neu5Acα1-2–Sp82,11.36878333333334,109.05660050691868,44.52217072075001,
16,b-Neu5Ac-Sp8,194.03206666666662,294.4602583317597,120.21289707348838,
17,β-D-Gal–Sp8,80.38070000000003,129.84070847345222,53.00724726690369,
18,β-D-Glc–Sp8,118.61550000000001,161.8854760319529,66.08946884097344,
19,β-D-Man–Sp8,85.24784999999999,124.39369840821918,50.78351471963284,
20,β-GalNAc–Sp8,47136.07451666667,9807.210869157494,4003.7770715521633,
21,β-GlcNAc–Sp0,170.85771666666665,258.3392208843049,105.46654528578378,
22,β-GlcNAc–Sp8,-52.5860333333333,46.23856199289364,18.876813887106184,
23,b-GlcN(Gc)-Sp8,321.40685,327.89348286702347,133.8619538347043,
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",191.10350000000003,234.9533449974015,95.9193014339554,
25,(GlcNAcb1-3(GlcNAcb1-6)GlcNAcb1-4)GlcNAc-Sp8,144.7190333333333,267.73815793916015,109.3036452706059,
26,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,109.44085,224.35717844324705,91.59343455275148,
27,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,348.0306833333334,220.8767778116061,90.1725669447547,
28,[3OSO3]Galb1-4Glcb-Sp8,101.56461666666668,194.53361116867615,79.41801419737389,
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,50.38,127.16893266681136,51.916499361339845,
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,63.497966666666684,186.57304339503784,76.16812601266433,
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,80.79491666666668,250.92039046795233,102.43782045106654,
32,[3OSO3]Galβ1-3GalNAcα–Sp8,201.62418333333335,199.74584844470155,81.54590115480329,
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,64.9090333333333,124.6770509473121,50.89919290931612,
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,157.00821666666667,255.42295967731187,104.2759866334828,
35,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,1091.9354666666668,2446.674173834198,998.8505487898958,
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,67.16978333333334,76.38753189672815,31.18507930959308,
37,[3OSO3]Galb1-4GlcNAcb-Sp8,61.719433333333335,78.6835907896854,32.12244142744722,
38,[3OSO3]Galβ–Sp8,147.00293333333335,268.7483848485171,109.71606867933146,
39,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,113.2790333333333,156.14066211373213,63.744158379826814,
40,[4OSO3]Galb1-4GlcNAcb-Sp8,66.22078333333336,111.55984810936985,45.54411727505847,
41,6-H2PO3Manα–Sp8,47.091283333333344,125.47359870145456,51.22438216821761,
42,[6OSO3]Galβ1-4Glcβ–Sp0,43.97113333333332,130.74288189140802,53.37555802248608,
43,[6OSO3]Galβ1-4Glcβ–Sp8,12.014083333333351,74.47540494258267,30.404456749413313,
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,23.71040000000001,166.26399365689497,67.87699117612195,
45,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,132.67553333333333,123.21967843560816,50.30422307284396,
46,NeuAcα2-3[6OSO3]Galβ1-4GlcNAcβ–Sp8,195.09720000000002,226.59284543484603,92.50614178011824,
47,[6OSO3]GlcNAcβ–Sp8,115.11244999999995,146.22894399565018,59.69771640256016,
48,9NAcNeu5Aca-Sp8,-60.74045000000003,65.34198967107595,26.675755578724154,
49,9NAcNeu5Aca2-6Galb1-4GlcNAcb-Sp8,158.63406666666666,195.1262786527193,79.65996968454803,
50,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,33.85905,263.5634590559226,107.59933158832276,
51,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,53.25111666666668,80.72713430728025,32.95671457499383,
52,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,137.32173333333336,210.94528955089436,86.11805384055721,
53,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Gly,156.35498333333337,278.1366283679402,113.54880304659439,
54,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp8,126.9108333333333,318.9256896073671,130.20086756721622,
