Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,8.929350000000007,8.345843464264098,93.46529662589205,
2,Glca-Sp8,16.026699999999998,10.732748384578242,66.96792467930544,
3,Mana-Sp8,24.497999999999998,11.761932572781845,48.011807383385765,
4,GalNAca-Sp8,17126.227,777.7372266734053,4.54120587490406,
5,GalNAca-Sp15,9616.009525000001,1422.098336326976,14.788861560814395,
6,Fuca-Sp8,10.848099999999999,10.30975716720169,95.037445886392,
7,Fuca-Sp9,18.759750000000004,10.842951141486646,57.799017265617316,
8,Rhaa-Sp8,6.999750000000004,9.975214744722713,142.5081573588015,
9,Neu5Aca-Sp8,34.917775000000006,7.373571367333854,21.116956528111693,
10,Neu5Aca-Sp11,25.920074999999997,21.355281876602987,82.38896637684493,
11,Neu5Acb-Sp8,5.20375,4.617319314999419,88.73061378812238,
12,Galb-Sp8,11.06795,14.17353679467478,128.05927741519235,
13,Glcb-Sp8,11.119900000000001,7.03648924251291,63.27835000776004,
14,Manb-Sp8,7.891475,4.155630189975203,52.65973965545355,
15,GalNAcb-Sp8,9368.9234,1828.6462063125155,19.51821066561944,
16,GlcNAcb-Sp0,30.54604999999999,5.145308400539976,16.84443127847947,
17,GlcNAcb-Sp8,1.77625,2.3365973900810033,131.5466510953415,
18,GlcN(Gc)b-Sp8,17.664749999999998,8.822769174697937,49.945621504396826,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,9.485025,6.784696918986137,71.53061714635584,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,8.631900000000002,3.5413921396347234,41.0267975721999,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,10.22685,4.053271641937332,39.63362757777158,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,7.378449999999999,6.4517721686887475,87.44075203719952,
23,6S(3S)Galb1-4GlcNAcb-Sp0,11.600349999999997,5.97065620318794,51.46962120270459,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,40.237425,7.713312308545929,19.16949782086187,
25,(3S)Galb1-4Glcb-Sp8,3.613125,3.2573387321298553,90.15294882213749,
26,(3S)Galb1-4(6S)Glcb-Sp0,13.289050000000003,4.990455107168754,37.553136658894,
27,(3S)Galb1-4(6S)Glcb-Sp8,23.559699999999996,13.122451488701842,55.69872064882764,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,4.0973500000000005,3.7520655826713183,91.57298211456961,
29,(3S)Galb1-3GalNAca-Sp8,9.642750000000003,6.345181108263702,65.80260929987503,
30,(3S)Galb1-3GlcNAcb-Sp0,10.849599999999999,10.060658446642543,92.72838119969902,
31,(3S)Galb1-3GlcNAcb-Sp8,8.83375,0.6482549832691803,7.338389509202551,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,9.9077,4.998195771142494,50.44758895750269,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,1.7658749999999994,3.2158261721005164,182.1095022071504,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,4.238375,4.297546305645428,101.39608471750205,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,5.944050000000001,7.159423454208218,120.4468915000415,
36,(3S)Galb1-4GlcNAcb-Sp0,8.183300000000001,7.0924908055398,86.67030177971967,
37,(3S)Galb1-4GlcNAcb-Sp8,7.373300000000001,4.26234876173533,57.80788468847503,
38,(3S)Galb-Sp8,6.654800000000002,3.1569531862224434,47.43873874830863,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,14.163875,9.398765805634612,66.35730550880047,
40,(4S)Galb1-4GlcNAcb-Sp8,10.518174999999998,0.8527526072470499,8.107419844669348,
41,(6P)Mana-Sp8,2.3080500000000015,5.423573225896982,234.98508376755177,
42,(6S)Galb1-4Glcb-Sp0,4.871325000000002,1.3125377235848492,26.94416249346633,
43,(6S)Galb1-4Glcb-Sp8,14.932424999999999,19.350414394593724,129.58655003854852,
44,(6S)Galb1-4GlcNAcb-Sp8,6.633599999999994,8.770374606594643,132.21138758132312,
45,(6S)Galb1-4(6S)Glcb-Sp8,8.15125,6.289197802846826,77.15623742182888,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,4.277900000000001,4.885308695125277,114.19875862281204,
47,(6S)GlcNAcb-Sp8,20.020574999999997,37.42780425355593,186.94669985030865,
48,"Neu5,9Ac2a-Sp8",10.427125,6.858681137252261,65.77729850991774,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",4.546050000000001,2.297671738231258,50.542157218492044,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,16.45895,10.191769669525824,61.922356344273624,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,54.88010000000001,13.551336762351731,24.692624033760378,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,6.6265,4.8922093080052695,73.82795303712774,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,7.146975000000001,6.220142876373499,87.0318264212971,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,4.221674999999999,1.165327946330991,27.603449965499266,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,10.086124999999996,12.57346751255065,124.66103198751408,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,6.481025000000001,5.534748844271675,85.39928243251144,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,3.7511500000000018,6.439631335462199,171.67085654965,
58,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,8.817549999999999,8.101955957462785,91.8844345363824,
59,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,8.612575,10.877896795911422,126.30249136769692,
60,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,4.52755,2.425746373799203,53.57746184579305,
61,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,5.039375,3.990515772324003,79.18672002627316,
62,Fuca1-2Galb1-3GalNAca-Sp8,9.810125,4.5123796570287205,45.997167793771446,
63,Fuca1-2Galb1-3GalNAca-Sp14,6.275925000000001,9.201818808393256,146.6209173690453,
64,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,4.311350000000001,1.109196305138686,25.72735466011077,
65,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,4.55875,3.052828656071836,66.9663538485733,
66,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,6.515625,2.726894288838497,41.851614984571654,
67,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,4.5139249999999995,5.790825103774072,128.2880221486638,
68,Fuca1-2Galb1-3GlcNAcb-Sp0,10.421174999999998,5.553862632063684,53.29401561785196,
69,Fuca1-2Galb1-3GlcNAcb-Sp8,15.692525,7.768967002279,49.50743747280313,
70,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,14.6126,12.95262269066256,88.6400961544322,
71,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,6.130850000000001,1.7553266410177524,28.631048566149104,
72,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,6.277249999999997,6.075045676920186,96.77877537010934,
73,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,6.758799999999997,10.966511965980793,162.25531109044204,
74,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,6.511825000000002,5.253540006747833,80.67692247177759,
75,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,9.360300000000004,9.68334761743065,103.45125281701061,
76,Fuca1-2Galb1-4GlcNAcb-Sp0,11.418200000000002,8.58408909902501,75.17900456310984,
77,Fuca1-2Galb1-4GlcNAcb-Sp8,4.689350000000003,3.645535894305078,77.74075072888729,
78,Fuca1-2Galb1-4Glcb-Sp0,5.780875000000001,5.301850279776547,91.71362950723802,
79,Fuca1-2Galb-Sp8,16.761499999999998,13.03879843364928,77.7901645655179,
80,Fuca1-3GlcNAcb-Sp8,0.23569999999999958,2.644151267735389,1121.8291335321992,
81,Fuca1-4GlcNAcb-Sp8,14.063250000000004,13.698181160163804,97.40409336507422,
82,Fucb1-3GlcNAcb-Sp8,8.406950000000002,7.425983679172299,88.33148382198416,
83,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,19.563575,14.554105386997628,74.39389470992714,
84,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,7.964599999999999,8.445221720002387,106.03447404769088,
85,(3S)Galb1-4(Fuca1-3)Glcb-Sp0,8.445275,8.095671473643591,95.86036539536713,
86,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,7.786199999999999,9.158862111638104,117.62942271760429,
87,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,1.7843250000000008,2.378880517351248,133.32103273513778,
88,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,6.014900000000001,2.278539931622881,37.88159290466808,
89,GlcNAcb1-3Galb1-3GalNAca-Sp8,9.864299999999997,3.5861405242962725,36.35473905189698,
90,GalNAca1-3(Fuca1-2)Galb-Sp8,4.6598,3.3092050414966208,71.0160316214563,
91,GalNAca1-3(Fuca1-2)Galb-Sp18,3.46295,2.3650390123632197,68.29549985888389,
92,GalNAca1-3GalNAcb-Sp8,10.745349999999998,12.65891993878888,117.80835374174765,
93,GalNAca1-3Galb-Sp8,8926.003025,697.4252060796225,7.813409922966305,
94,GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,9.341474999999999,5.688089286321606,60.89069752176831,
95,GalNAcb1-3GalNAca-Sp8,4.543225,2.942773441698605,64.77278676927965,
96,GalNAcb1-3(Fuca1-2)Galb-Sp8,6322.886925000001,410.9605695912126,6.499571706182499,
