Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,8703.336225,933.8461795036758,466.9230897518379,10.729749550766963
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,11874.4619,6892.11205306255,3446.056026531275,58.04146841435022
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,12014.912675000001,1675.4869193890015,837.7434596945008,13.9450611478456
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,153.662675,83.26995873156079,41.634979365780396,54.190100967304375
5,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,35090.7469,2790.60569166879,1395.302845834395,7.952540023218457
6,a-D-Gal–Sp8,4547.872475,1268.0156112980085,634.0078056490042,27.8815120315793
7,a-D-Glc–Sp8,8169.543224999999,948.3486202157904,474.1743101078952,11.60834325857662
8,a-D-Man–Sp8,14604.469425000003,3489.7347778779053,1744.8673889389527,23.894978148977874
9,a-GalNAc–Sp8,12408.809175000002,1039.2756309434035,519.6378154717017,8.375305126274563
10,a-L-Fuc–Sp8,19117.20455,2689.1361829206608,1344.5680914603304,14.066576396603242
11,a-L-Fuc–Sp9,21241.787824999992,1108.6547203432979,554.3273601716489,5.219215677498173
12,a-L-Rha-Sp8,14944.96445,11475.36862832933,5737.684314164665,76.78418149953733
13,a-Neu5Ac–Sp8,27706.908525000006,2969.242077629956,1484.621038814978,10.716612699503454
14,a-Neu5Ac–Sp11,15790.490150000001,4040.7651299718673,2020.3825649859336,25.58986511240037
15,b-Neu5Ac-Sp8,16358.254824999996,3151.150854452845,1575.5754272264226,19.26336817810787
16,b-D-Gal–Sp8,34292.416424999996,3699.074161996344,1849.537080998172,10.78685770099196
17,b-D-Glc–Sp8,20372.836,3611.8054238864383,1805.9027119432192,17.728535309892244
18,b-D-Man–Sp8,6458.198274999999,1327.631866393915,663.8159331969575,20.557310411686228
19,b-GalNAc–Sp8,11910.17755,1798.4547635727724,899.2273817863862,15.10015074101706
20,b-GlcNAc–Sp0,7345.127550000001,2505.2504205555456,1252.6252102777728,34.107650323315966
21,b-GlcNAc–Sp8,15090.6313,2180.288568058122,1090.144284029061,14.447961286139979
22,b-GlcN(Gc)-Sp8,8543.591750000001,2386.141927033714,1193.070963516857,27.92902560019577
23,"(Galb1-4GlcNAcb)2-3,6-GalNAca-Sp8",17673.946574999998,2633.3518495096782,1316.6759247548391,14.89962549301006
24,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,4997.94615,2881.056811720169,1440.5284058600846,57.6448149950589
25,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,17580.184725,1541.2602814507022,770.6301407253511,8.767031209057459
