Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,81.95615000000002,11.255856871128556,13.733999060630047,
2,Glca-Sp8,95.50647499999998,12.635352141083148,13.229838229379892,
3,Mana-Sp8,95.2507,6.908547738852207,7.253015189234523,
4,GalNAca-Sp8,2136.408475,765.3224574355186,35.8228525298992,
5,GalNAca-Sp15,47.60265000000001,24.697772290971248,51.88318778675398,
6,Fuca-Sp8,12.140974999999997,9.01713603068255,74.27027920478011,
7,Fuca-Sp9,5.757399999999997,10.23428806610406,177.75885062882665,
8,Rhaa-Sp8,20.439375,11.199343927622136,54.79298622204514,
9,Neu5Aca-Sp8,76.79125,22.5795975708897,29.40386772046255,
10,Neu5Aca-Sp11,30.308299999999996,17.349398267567345,57.24305971488782,
11,Neu5Acb-Sp8,11.383075000000002,4.52074523677601,39.714622250806656,
12,Galb-Sp8,21.250024999999997,14.032708607006947,66.03619810803492,
13,Glcb-Sp8,70.80945000000003,21.930491599521083,30.971136761436608,
14,Manb-Sp8,50.44445000000001,16.522422511141244,32.75369740604019,
15,GalNAcb-Sp8,2231.6476249999996,175.60082408325388,7.868662691909253,
16,GlcNAcb-Sp0,6200.440675000001,197.91322104478036,3.191921855534572,
17,GlcNAcb-Sp8,16958.586575,814.6032778545806,4.803485681144276,
18,GlcN(Gc)b-Sp8,22.00399999999999,12.663975989659285,57.553063032445415,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,984.9652749999999,134.83114817878496,13.68892402615767,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,11.449475,7.863091749167998,68.67643930545285,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,150.003425,59.09756843358709,39.39747937994555,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,28.723925,9.744043595063578,33.923092317862476,
23,6S(3S)Galb1-4GlcNAcb-Sp0,49.636599999999994,17.994813329030876,36.2531142927414,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,34.2572,18.000686099331496,52.54570163157379,
25,(3S)Galb1-4Glcb-Sp8,86.40934999999999,28.359363098925048,32.81978524190386,
26,(3S)Galb1-4(6S)Glcb-Sp0,29.976299999999995,15.528333260420021,51.802034475302236,
27,(3S)Galb1-4(6S)Glcb-Sp8,25.397524999999998,16.9451662825273,66.71975431671905,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,14.961149999999998,15.21650740139362,101.7068032964954,
29,(3S)Galb1-3GalNAca-Sp8,32.25497500000001,10.08046531610353,31.25243568194837,
30,(3S)Galb1-3GlcNAcb-Sp0,14.430124999999997,11.776948083827435,81.61362485652369,
31,(3S)Galb1-3GlcNAcb-Sp8,13.850299999999999,14.527914506677595,104.89241754097453,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,20.849525,9.886634703940803,47.418992537915386,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,15.266374999999996,11.742737571899502,76.91896453414452,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,396.82417499999997,120.07224975417566,30.258300103358287,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,648.40165,54.94925799962974,8.474570969958164,
36,(3S)Galb1-4GlcNAcb-Sp0,828.3537999999998,142.34808901576554,17.184455363851242,
37,(3S)Galb1-4GlcNAcb-Sp8,781.20315,54.80643287306754,7.0156441218993475,
38,(3S)Galb-Sp8,8.232575,6.83829399552013,83.06385299277721,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,13.200300000000002,12.680228256357744,96.06015209016266,
40,(4S)Galb1-4GlcNAcb-Sp8,839.969925,231.8241192951443,27.59909758615992,
41,(6P)Mana-Sp8,23.857525000000003,13.389602700945494,56.12318419846775,
42,(6S)Galb1-4Glcb-Sp0,30.51139999999998,13.363246938523508,43.79755415524531,
43,(6S)Galb1-4Glcb-Sp8,49.068625,61.70126578709037,125.74484364925729,
44,(6S)Galb1-4GlcNAcb-Sp8,22.651525,10.723550658053206,47.34140707106125,
45,(6S)Galb1-4(6S)Glcb-Sp8,2.254450000000002,5.607835796752014,248.74518382541234,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,19.509675,14.072568569709192,72.13123011894965,
47,(6S)GlcNAcb-Sp8,21238.920025,4878.441226200225,22.96934693693412,
48,"Neu5,9Ac2a-Sp8",50.39070000000001,21.1855713674818,42.04262168908508,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",7.938625,4.442536719319269,55.96103505732124,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,131.13512500000002,41.36247935342486,31.54187663558856,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,694.1925499999999,61.88967314959427,8.915346779448193,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,5581.022125,412.91209564712267,7.398503112852694,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,4292.741349999999,481.3537965655443,11.213202877120569,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,2729.981025,134.31296264650356,4.919922937797839,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,18.265349999999998,9.57517808937951,52.422636792503354,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,59.78347500000001,21.512578758697565,35.9841557532371,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,33513.80122499999,2622.255408139301,7.824404610310813,
58,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,57.79700000000001,8.932660687238284,15.455232429431081,
59,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,14.506100000000004,8.201897785675369,56.54102609023354,
60,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,14.8201,8.64414244561021,58.3271532959306,
61,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,23.159575000000004,9.25632400519593,39.967590101268826,
62,Fuca1-2Galb1-3GalNAca-Sp8,1.2630999999999997,4.408588571564977,349.0292590899357,
63,Fuca1-2Galb1-3GalNAca-Sp14,3.1256749999999993,1.7490413038290407,55.957234959778,
