Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,523.605,56.104811144143746,28.052405572071873,10.715102251533837
2,Neu5Acα2-8Neu5Acβ-Sp17,360.7674750000001,129.38975035126558,64.69487517563279,35.86513733015027
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,204.22954999999996,7.980776339225102,3.990388169612551,3.9077480899434502
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,210.52379999999997,45.42473618422713,22.712368092113564,21.577007532747906
5,Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,183.57274999999998,29.489191741325662,14.744595870662831,16.064035507081343
6,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,571.1560999999999,647.7132562224381,323.85662811121904,113.4038936505166
7,α-D-Gal–Sp8,274.75412500000004,244.25569560662402,122.12784780331201,88.8997373948886
8,α-D-Glc–Sp8,144.251175,44.12124807424619,22.060624037123095,30.586404633616464
9,α-D-Man–Sp8,192.48357500000003,96.21725308409685,48.10862654204843,49.98725376131279
10,α-GalNAc–Sp8,78.30689999999998,9.79560195223695,4.897800976118475,12.509244973606352
11,α-L-Fuc–Sp8,191.505,59.739713711120594,29.869856855560297,31.19485846903245
12,α-L-Fuc–Sp9,159.24465,59.783904211390094,29.891952105695047,37.54217439103297
13,α-L-Rhα–Sp8,201.61245,133.22770964661711,66.61385482330856,66.0810925350181
14,α-Neu5Ac–Sp8,322.685375,165.23690328386843,82.61845164193421,51.20681508539655
15,α-Neu5Ac–Sp11,485.6883,65.68910429028803,32.844552145144014,13.524950938758051
16,β-Neu5Ac-Sp8,251.23087500000003,73.19330972989134,36.59665486494567,29.133883217933036
17,β-D-Gal–Sp8,231.63472499999997,134.81619316564246,67.40809658282123,58.20206498211461
18,β-D-Glc–Sp8,233.19637500000002,31.34415116800094,15.67207558400047,13.441097087380086
19,β-D-Man–Sp8,139.74647500000003,47.40805043705657,23.704025218528287,33.92432648984997
20,β-GalNAc–Sp8,130.79417500000002,60.73910560044891,30.369552800224454,46.438693160799325
21,β-GlcNAc–Sp0,141.67915000000002,58.97589982947832,29.48794991473916,41.62637891988928
22,β-GlcNAc–Sp8,121.589225,39.49503810205155,19.747519051025776,32.48235039087678
23,β-GlcN(Gc)-Sp8,195.35530000000003,41.239977105392995,20.619988552696498,21.110242263912465
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",225.77779999999996,120.99714985637745,60.498574928188724,53.59125204354789
25,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,244.39832499999994,58.45594248682104,29.22797124341052,23.918307331615736
26,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,276.95097499999997,74.47257815269447,37.236289076347234,26.890166446496345
27,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,422.53349999999995,39.45213351434123,19.726066757170614,9.33704274675055
28,[3OSO3]Galβ1-4Glcβ-Sp8,174.51264999999998,90.92288213757482,45.46144106878741,52.10102656602535
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,230.93987500000014,33.08592666400267,16.542963332001335,14.326640933707377
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,330.44782499999997,137.2956768041725,68.64783840208625,41.548367523427494
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,152.801775,84.49299941251057,42.246499706255285,55.29582324060737
32,[3OSO3]Galβ1-3GalNAcα–Sp8,242.02780000000004,133.01607503338343,66.50803751669172,54.95900678904796
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,112.53002500000001,75.60393809440411,37.80196904720206,67.1855694463803
