Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Acα2-8Neu5Acα-Sp8,1914.4980249999999,912.6223103291537,456.31115516457686,47.669012890684684
2,Neu5Acα2-8Neu5Acβ-Sp17,6766.545125,181.03485787820094,90.51742893910047,2.6754400441274075
3,Neu5Acα2-8Neu5Acα2-8Neu5Acβ-Sp8,567.3931000000002,127.68971827270227,63.84485913635113,22.504630083217826
4,Neu5Gcβ2-6Galβ1-4GlcNAc-Sp8,5626.418774999999,598.9891694438428,299.4945847219214,10.646011137765743
5,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,1703.385275,415.0281057433926,207.5140528716963,24.364899229470712
6,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,659.17425,155.07052563875718,77.53526281937859,23.524967129519574
7,α-D-Gal–Sp8,3701.4052,376.11735443916007,188.05867721958003,10.161474740435336
8,α-D-Glc–Sp8,2331.0265249999998,687.9140772644548,343.9570386322274,29.511207611181295
9,α-D-Man–Sp8,887.8738750000002,467.9731252343738,233.9865626171869,52.70716240348593
10,α-GalNAc–Sp8,7105.572575,423.1114726356268,211.5557363178134,5.9546428971014596
11,α-L-Fuc–Sp8,17839.819225,1010.3429043659429,505.17145218297145,5.663414475355722
12,α-L-Fuc–Sp9,18893.8886,1432.4650856147955,716.2325428073977,7.581631901941009
13,α-L-Rhα–Sp8,42074.698025,6836.985145068689,3418.4925725343446,16.249635686051224
14,α-Neu5Ac–Sp8,732.4073250000001,504.22155987921457,252.11077993960728,68.8444179445112
15,α-Neu5Ac–Sp11,1616.5328999999997,262.0371006755227,131.01855033776135,16.20982169156735
16,β-Neu5Ac-Sp8,3503.613225,573.5767785470919,286.78838927354593,16.371007349051546
17,β-D-Gal–Sp8,40524.963075,383.76469711506934,191.88234855753467,0.946983459071466
18,β-D-Glc–Sp8,43163.45994999999,12843.18300040088,6421.59150020044,29.7547578791836
19,β-D-Man–Sp8,2547.1304499999997,242.0519785370169,121.02598926850845,9.502928227999352
20,β-GalNAc–Sp8,3210.904475,219.07384403271578,109.53692201635789,6.8228078953583875
21,β-GlcNAc–Sp0,36486.977725000004,3479.4170440508133,1739.7085220254066,9.53605165731992
22,β-GlcNAc–Sp8,41807.22107500001,796.1706618931538,398.0853309465769,1.9043855138442818
23,β-GlcN(Gc)-Sp8,48758.77515,5770.5637511499435,2885.2818755749718,11.8349235258629
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",9382.192674999998,432.91243156318785,216.45621578159393,4.61419250871639
25,GlcNAcβ1-3(GlcNAcβ1-4)(GlcNAcβ1-6)GlcNAc-Sp8,53793.4318,1602.4195051423844,801.2097525711922,2.978838589625703
26,[3OSO3][6OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0,5299.36645,370.46890937676926,185.23445468838463,6.990815088410601
27,[3OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,1716.28555,467.5130965081401,233.75654825407005,27.239820116654833
28,[3OSO3]Galβ1-4Glcβ-Sp8,1149.5423000000003,552.8118083081483,276.40590415407416,48.08973174002802
29,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp0,2641.62355,540.8228879984835,270.4114439992417,20.473124870441268
30,[3OSO3]Galβ1-4(6OSO3)Glcβ–Sp8,2001.4991,51.17468768808434,25.58734384404217,2.5568179215311333
31,[3OSO3]Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,548.4170749999998,192.56501702049266,96.28250851024633,35.112877734613335
32,[3OSO3]Galβ1-3GalNAcα–Sp8,360.7019,28.27734536986603,14.138672684933015,7.83953324611432
33,[3OSO3]Galβ1-3GlcNAcβ–Sp8,660.7355249999998,279.93306424071443,139.96653212035721,42.3668856371412
34,[3OSO3]Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,2445.1630250000003,2139.879253852105,1069.9396269260526,87.5147886653531
35,[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp8,3777.960850000001,364.25022370512227,182.12511185256113,9.641450458787105
36,[3OSO3]Galβ1-4GlcNAcβ–Sp0,802.283325,287.0207545434455,143.51037727172275,35.775485492415726
37,[3OSO3]Galβ1-4GlcNAcβ-Sp8,5138.5836500000005,719.2081069977472,359.6040534988736,13.996232346976528
38,[3OSO3]Galβ–Sp8,3055.11735,1177.1466721254815,588.5733360627407,38.5303259177747
39,[4OSO3][6OSO3]Galβ1-4GlcNAcβ-Sp0,4661.691149999999,625.6979022298123,312.84895111490613,13.422122618093487
40,[4OSO3]Galβ1-4GlcNAcβ-Sp8,1100.880025,26.202463440845538,13.101231720422769,2.380137966518699
41,6-H2PO3Manα–Sp8,4058.1317750000007,1097.2443844746676,548.6221922373338,27.03816547393086
42,[6OSO3]Galβ1-4Glcβ–Sp0,3362.2541250000004,302.8068754975889,151.40343774879446,9.006067484491194
43,[6OSO3]Galβ1-4Glcβ–Sp8,2402.233975,478.21533140425356,239.10766570212678,19.907108815420592
44,[6OSO3]Galβ1-4GlcNAcβ–Sp8,4507.60435,570.05135106909,285.025675534545,12.646437149460333
45,[6OSO3]Galβ1-4[6OSO3]Glcβ-Sp8,9092.035575,2170.7147902908537,1085.3573951454268,23.874904276217084
46,NeuAcα2-3[6OSO3]Galβ1-4GlcNAcβ–Sp8,1565.7204750000003,1115.0518138903835,557.5259069451918,71.21653141122673
47,[6OSO3]GlcNAcβ–Sp8,2158.572125,293.89965071276873,146.94982535638437,13.615465858606356
48,9NAcNeu5Acα-Sp8,263.0445,115.41085509659244,57.70542754829622,43.875030687428335
49,9NAcNeu5Acα2-6Galβ1-4GlcNAcβ-Sp8,531.49985,121.21996470753777,60.609982353768885,22.807149373144277
50,Manα1-3(Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,6315.715749999999,327.27931590505733,163.63965795252867,5.181982990685693
51,GlcNAcβ1-2Manα1-3(GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,7095.282475,743.6100636027619,371.80503180138095,10.480344739238333
52,Galβ1-4GlcNAcβ1-2Manα1-3(Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,2774.1092,257.4284681347995,128.71423406739976,9.279680415421264
53,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,225.27235000000002,263.47238058251315,131.73619029125658,116.95726554213739
54,Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp8,231.65609999999998,102.00345856211604,51.00172928105802,44.03227826166289
55,Fucα1-2Galβ1-3GalNAcβ1-3Gala-Sp9,6582.2693,1640.3478853144386,820.1739426572193,24.920704555713613
56,Fucα1-2Galβ1-3GalNAcβ1-3Gala1-4Galβ1-4Glcβ-Sp9,26149.571325,7386.2022165111775,3693.1011082555888,28.245978202517158
57,Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ–Sp8,755.505275,480.9232348989278,240.4616174494639,63.655840774762
58,Fucα1-2Galβ1-3GalNAcα–Sp8,46982.178325,7535.177000835771,3767.5885004178854,16.038372994779124
59,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp0,2107.842475000001,1230.424210087589,615.2121050437945,58.37363202805697
60,Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp9,1106.9673249999998,176.30628466577338,88.15314233288669,15.92696375801096
61,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp10,4847.879849999999,659.492744881451,329.7463724407255,13.603735350030407
62,Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp8,3984.4884000000006,243.4725404451799,121.73627022258995,6.110509455747941
63,Fucα1-2Galβ1-3GlcNAcβ–Sp0,2261.8134500000006,142.8535037213579,71.42675186067895,6.3158835544707665
64,Fucα1-2Galβ1-3GlcNAcβ–Sp8,1367.8390749999999,313.15180806653876,156.57590403326938,22.89390717007692
65,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,8877.211275000001,406.4796051079367,203.23980255396836,4.578911017389712
66,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,13522.07945,777.9887092118555,388.99435460592775,5.753469442984641
67,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp0,12447.475074999998,1455.2547484627441,727.6273742313721,11.691164189479162
68,Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ–Sp8,17433.010250000003,1451.5003962393598,725.7501981196799,8.326160401582735
69,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAc–Sp0,9173.938499999998,534.7670413474216,267.3835206737108,5.829198019448481
70,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0,11719.585750000002,330.4723184844716,165.2361592422358,2.819829348357911
