Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,14.028125,10.679460521135884,76.12892329613462,
2,Glca-Sp8,6.652225,7.46265306995441,112.18281206595402,
3,Mana-Sp8,112.646875,16.651350009208617,14.78190141467184,
4,GalNAca-Sp8,4.763149999999999,2.442848480087679,51.28640668649276,
5,GalNAca-Sp15,8.1692,2.076490804217538,25.41853307811705,
6,Fuca-Sp8,10.96015,6.64355532853707,60.615551142430256,
7,Fuca-Sp9,12.346924999999999,7.681820973517067,62.216470688184046,
8,Rhaa-Sp8,2.634174999999999,4.564709496689428,173.28801225011358,
9,Neu5Aca-Sp8,6.190049999999999,5.488523413754681,88.66686721035664,
10,Neu5Aca-Sp11,2.0994,5.5250035396670425,263.1705982503116,
11,Neu5Acb-Sp8,5.6011750000000005,4.478835176229786,79.96242174596912,
12,Galb-Sp8,2.2170000000000005,5.6951130828690895,256.8837655782178,
13,Glcb-Sp8,7.4502749999999995,4.423847176666479,59.378307198948754,
14,Manb-Sp8,1.6653249999999957,2.084473863872186,125.1691930327228,
15,GalNAcb-Sp8,2.445149999999999,4.16923808027318,170.51052410989845,
16,GlcNAcb-Sp0,5.20045,4.066537569398978,78.19587861433102,
17,GlcNAcb-Sp8,10.490774999999998,9.167599692894894,87.38724920603957,
18,GlcN(Gc)b-Sp8,6.868449999999999,5.463604435108139,79.54639598611244,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,5.334700000000001,3.639219424546977,68.21788337764029,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,10.520775,10.080246910459751,95.8127791009669,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,4.927650000000002,6.19153287939801,125.64879566117739,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,17.921424999999992,19.903534137664266,111.05999739230712,
23,6S(3S)Galb1-4GlcNAcb-Sp0,10.455775000000003,9.01371194287718,86.2079754286715,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,4.117300000000001,3.4863382605058084,84.67535182050877,
25,(3S)Galb1-4Glcb-Sp8,7.3111,6.936197566870965,94.87214737687853,
26,(3S)Galb1-4(6S)Glcb-Sp0,3.8120249999999993,5.982879397845712,156.94753832531828,
27,(3S)Galb1-4(6S)Glcb-Sp8,12.434775,4.665165935866241,37.51709167127062,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,3.619299999999999,7.996825700238815,220.94951234323813,
29,(3S)Galb1-3GalNAca-Sp8,4.35905,2.185605529367092,50.13949207664725,
30,(3S)Galb1-3GlcNAcb-Sp0,11.313500000000005,7.73164264306104,68.33997121192414,
31,(3S)Galb1-3GlcNAcb-Sp8,6.353725,1.1228893040574692,17.67292893629279,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,14.751674999999997,17.259166382220396,116.99801129173737,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,6.90005,9.032801312439013,130.90921533088908,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,4.832649999999999,4.472805786453661,92.55389458068888,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,6.313849999999999,3.387874469831094,53.65782319553196,
36,(3S)Galb1-4GlcNAcb-Sp0,1.1045250000000006,6.013371625732661,544.4305584511584,
37,(3S)Galb1-4GlcNAcb-Sp8,9.1889,7.290647452730112,79.34189568642724,
38,(3S)Galb-Sp8,8.257625,2.6118698007047194,31.62979428957744,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,3.533149999999999,3.7813173625955647,107.02396905298575,
40,(4S)Galb1-4GlcNAcb-Sp8,2.9071749999999987,2.9503291594611416,101.4844018492572,
41,(6P)Mana-Sp8,1.0670499999999996,0.7382219020502337,69.18344051827319,
42,(6S)Galb1-4Glcb-Sp0,2.331599999999999,4.284304106853296,183.74953280379557,
43,(6S)Galb1-4Glcb-Sp8,13.592149999999997,12.445095251409954,91.56090281088686,
44,(6S)Galb1-4GlcNAcb-Sp8,2.731300000000002,2.6200989739575364,95.92864108510726,
45,(6S)Galb1-4(6S)Glcb-Sp8,9.496099999999998,7.975468094517505,83.98677451287904,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,5.900525000000001,4.193439980393982,71.06892997477311,
47,(6S)GlcNAcb-Sp8,2.458799999999999,1.9947621462219507,81.1274664967444,
48,"Neu5,9Ac2a-Sp8",5.024849999999999,3.9791377696682027,79.18918514320235,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",5.754275000000002,7.385578355766502,128.3494159692837,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,533.1334250000001,65.31036620564653,12.250285415071568,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,1522.4227500000002,159.63725168632305,10.485737400227567,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,19.532199999999996,9.50006987342725,48.63799200001665,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,22.030475000000003,15.43384231710195,70.05678414606108,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,5.727975,2.4489468517099366,42.754147001513395,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,2.5573750000000004,3.3186771735889002,129.7688908974593,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,8.40585,2.5795835238787563,30.68795569607781,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,14.22955,1.9881831010581712,13.972213464643444,
58,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,3.4890000000000008,4.796030888835753,137.46147574765698,
59,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,7.252899999999999,11.137928389366966,153.5651724050651,
60,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,12.653099999999998,1.9669644226574006,15.545316346645494,
61,Fuca1-2Galb1-3GalNAca-Sp8,4.61165,2.226226814590102,48.27397600837232,
