Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,14.576925000000001,4.281374697746047,29.370904341938008,
2,Glca-Sp8,21.45375,11.168185877303431,52.05703374609768,
3,Mana-Sp8,24.499499999999998,16.073264205298592,65.60649892976834,
4,GalNAca-Sp8,16.155825,15.592442951929199,96.51282402433301,
5,GalNAca-Sp15,20.578249999999997,2.6347384468545405,12.803510730283385,
6,Fuca-Sp8,11.084775000000002,14.254546803125658,128.59572524589498,
7,Fuca-Sp9,97.2656,27.830384206594413,28.61277183978139,
8,Rhaa-Sp8,9.906099999999999,9.663230919314719,97.54828761384118,
9,Neu5Aca-Sp8,23.013775,10.808840166386945,46.96682819914136,
10,Neu5Aca-Sp11,10.230299999999998,8.569473282530272,83.76561080838562,
11,Neu5Acb-Sp8,5.972149999999999,3.0772586301230382,51.526814130975254,
12,Galb-Sp8,18.50175,17.372324688902943,93.89557576393011,
13,Glcb-Sp8,11.587750000000003,3.68229922059573,31.777516951916713,
14,Manb-Sp8,65.322325,43.779594040936104,67.02087539127871,
15,GalNAcb-Sp8,6.52125,7.110700183760623,109.03891406955144,
16,GlcNAcb-Sp0,11.456675000000002,7.670190339391852,66.94953238519771,
17,GlcNAcb-Sp8,10.463874999999996,6.340943238128439,60.59842303284817,
18,GlcN(Gc)b-Sp8,17.51625,6.666787044996532,38.0605840005511,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,13.805025000000008,8.464161570754259,61.31217850568365,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,8.240849999999995,4.284661088502969,51.99295083035091,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,9.634299999999996,10.69265669045818,110.9852992999822,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,15.191,11.018152628881722,72.53079210639011,
23,6S(3S)Galb1-4GlcNAcb-Sp0,17.203199999999995,8.466966565423544,49.21739307468114,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,34.841499999999996,18.65176481855446,53.53318547868049,
25,(3S)Galb1-4Glcb-Sp8,18.609325000000002,10.409664397528216,55.93789348903421,
26,(3S)Galb1-4(6S)Glcb-Sp0,41.338625,19.542391261797174,47.27392665285112,
27,(3S)Galb1-4(6S)Glcb-Sp8,59.43912500000001,15.537195841243868,26.139677933085093,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,8.462899999999998,10.850799956992418,128.2160956290683,
29,(3S)Galb1-3GalNAca-Sp8,15.830349999999996,16.212797960767492,102.41591601428584,
30,(3S)Galb1-3GlcNAcb-Sp0,16.693150000000003,8.879501615331057,53.1924868304128,
31,(3S)Galb1-3GlcNAcb-Sp8,40.81575000000004,10.39687465106758,25.472702697041143,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,11.19212499999999,7.478694930434068,66.82104542644115,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,11.732374999999998,6.02226824453766,51.330342275435804,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,11.488925000000004,11.450414774255988,99.66480566507296,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,24.189,3.8965954455994427,16.108956325600243,
36,(3S)Galb1-4GlcNAcb-Sp0,26.451349999999998,11.823894982759823,44.70053506819056,
37,(3S)Galb1-4GlcNAcb-Sp8,16.931549999999998,10.465898191905627,61.812995218427304,
38,(3S)Galb-Sp8,13.191500000000005,7.446159133853028,56.446644686753025,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,17.10635,9.116513654718387,53.293155200953954,
