Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,17.706900000000005,10.755859085168407,60.74388563310576,
2,Glca-Sp8,4.011300000000002,2.4774855438529126,61.762659084409336,
3,Mana-Sp8,20.54865,3.64787693551568,17.75239217912457,
4,GalNAca-Sp8,14.0183,7.939367358927265,56.635735851902616,
5,GalNAca-Sp15,22.497199999999992,20.553061352508923,91.35830837841567,
6,Fuca-Sp8,3.678650000000001,3.455879736044064,93.94423867571155,
7,Fuca-Sp9,22.702300000000008,15.697684396750809,69.14578873836925,
8,Rhaa-Sp8,3.4004999999999983,6.472779425151662,190.34787311135614,
9,Neu5Aca-Sp8,38.872375000000005,22.5153068480645,57.92109910460705,
10,Neu5Aca-Sp11,2.3368249999999993,3.22847198261035,138.15634386872577,
11,Neu5Acb-Sp8,4.231050000000001,4.514451352785476,106.69813291701765,
12,Galb-Sp8,12.187975000000002,8.836952900321466,72.50550563421294,
13,Glcb-Sp8,1.9499749999999967,1.9994544512191341,102.5374402861133,
14,Manb-Sp8,16.4722,9.180123776580206,55.73101210876632,
15,GalNAcb-Sp8,7.844250000000002,6.828743920858848,87.05413418566269,
16,GlcNAcb-Sp0,6.36045,1.5989995174066414,25.139723092024013,
17,GlcNAcb-Sp8,18.968724999999996,8.3276216213975,43.90185224045106,
18,GlcN(Gc)b-Sp8,13.281274999999997,8.662737197666434,65.22519259383182,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,222.68925000000002,27.8051229592074,12.486064306744666,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,62.834499999999984,6.724614545583145,10.702105603741808,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,7.852849999999998,2.2961855449128485,29.24015542017037,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,18.175925,14.868657329737832,81.80413007721936,
23,6S(3S)Galb1-4GlcNAcb-Sp0,16.8925,15.23286747420415,90.17532913543971,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,39.04577500000002,4.349377601736955,11.139176010047061,
25,(3S)Galb1-4Glcb-Sp8,48.849225000000004,31.399102773845303,64.27758633600698,
26,(3S)Galb1-4(6S)Glcb-Sp0,49.654574999999994,19.665162171951827,39.603928081051606,
27,(3S)Galb1-4(6S)Glcb-Sp8,55.84660000000001,7.11446420189169,12.739296934623932,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,2.6544750000000006,2.822902646066044,106.34504548229098,
29,(3S)Galb1-3GalNAca-Sp8,113.40384999999998,26.47033382745045,23.341653592404892,
30,(3S)Galb1-3GlcNAcb-Sp0,111.42204999999998,29.673779875674835,26.63187392053444,
31,(3S)Galb1-3GlcNAcb-Sp8,204.55119999999997,22.645260433771284,11.070705248256322,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,6.021649999999998,6.261503600307729,103.98318733748609,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,5.4114,4.4864673014150735,82.90770043639489,
34,(3S)Galb1-4(6S)GlcNAcb-Sp0,250.15307500000006,12.645571922579096,5.055133510782985,
35,(3S)Galb1-4(6S)GlcNAcb-Sp8,287.6335,45.907574326901106,15.960440743828903,
36,(3S)Galb1-4GlcNAcb-Sp0,347.00215000000003,14.6467123024234,4.220928401286101,
37,(3S)Galb1-4GlcNAcb-Sp8,58.645,16.088862626052816,27.434329654792077,
38,(3S)Galb-Sp8,5.897850000000001,1.9320470499792026,32.758497587751506,
39,(6S)(4S)Galb1-4GlcNAcb-Sp0,6.952824999999999,5.838382923021866,83.97137743322847,
40,(4S)Galb1-4GlcNAcb-Sp8,10.38305,7.305993270140161,70.36461608236655,
41,(6P)Mana-Sp8,2.339600000000001,9.875155683160983,422.08735181915625,
42,(6S)Galb1-4Glcb-Sp0,8.199975000000002,6.35510394217383,77.5015038725585,
43,(6S)Galb1-4Glcb-Sp8,0.7349000000000023,4.484340922216625,610.1974312446063,
44,(6S)Galb1-4GlcNAcb-Sp8,2.9023499999999993,2.2556236011356163,77.71714648941777,
45,(6S)Galb1-4(6S)Glcb-Sp8,3.481300000000001,3.4642188778039613,99.50934644540719,
46,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,16.04660000000001,16.870199036763015,105.13254544117139,
47,(6S)GlcNAcb-Sp8,7.631150000000002,6.339676343210804,83.07629050943571,
48,"Neu5,9Ac2a-Sp8",9.596224999999997,5.919131858290819,61.68187863759782,
49,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",2.5661750000000003,2.060974266983133,80.31308336271425,
50,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,4.9421750000000015,3.3111827658959947,66.99849288817158,
51,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,6.622750000000002,7.254018971347304,109.53182547049643,
52,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,5.673125,2.065360503439212,36.40604611108009,
53,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,2.5568500000000007,5.605231630955732,219.2241089995788,
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,188.53057500000003,23.473780761149158,12.450914532642333,
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,12.874975,9.975570227769774,77.4803075560906,
56,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,4.359174999999999,3.531782214288795,81.01950975330874,
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,104.61387500000001,29.15202176972463,27.866305277119913,
58,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,15.56185,4.775608500495003,30.68792271159922,
59,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,8.120999999999999,6.684250759808478,82.30822263032236,
60,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,27.757849999999998,6.217455131321825,22.398907448962458,
61,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,5.8554249999999985,6.387827443596661,109.09246457083239,
