Chart Number,Structure,RFU,StDev,SEM,CV
1,Alpha1-acid glycoprotein (AGP),30272.55045,10883.363290074449,4443.114457670058,
2,AGP-A (AGP ConA flowthrough),22390.590783333333,10019.843310814218,4090.583902355678,
3,AGP-B (AGP ConA bound),27413.123349999998,12513.058403280165,5108.4347016136035,
4,Ceruloplasmin,17853.144483333333,5097.675663146596,2081.117374818837,
5,Fibrinogen,18773.169550000002,9806.845331820285,4003.627841559147,
6,Transferrin,18729.3569,13929.420035027937,5686.6619164532385,
7,α-D-Gal–Sp8,5699.107133333332,4372.3141725372525,1784.9897863092533,
8,α-D-Glc–Sp8,2288.9846999999995,1330.2804706975721,543.0847279997469,
9,α-D-Man–Sp8,3662.6597589743596,3747.3813502466096,244.97398243309152,
10,α-GalNAc–Sp8,2608.663883333333,2389.5307191227052,975.5218310927297,
11,α-L-Fuc–Sp8,1158.8755,889.4062588585081,363.098584706846,
12,α-L-Fuc–Sp9,4859.0887,3746.8257656121164,1529.6352134771014,
13,α-L-Rhα–Sp8,1819.8221666666666,743.5755548900374,303.56344911457614,
14,α-Neu5Ac–Sp8,5155.045016666667,6415.041560676546,2618.9297504008323,
15,Neu5Acα1-2–Sp82,10963.103316666666,5484.605410498484,2239.08078270486,
16,b-Neu5Ac-Sp8,9494.860866666668,3798.198960448726,1550.6082324448143,
17,β-D-Gal–Sp8,3268.8469,4432.094020145183,1809.3948068993811,
18,β-D-Glc–Sp8,7052.308150000001,3344.3929624754164,1365.3427095699633,
19,β-D-Man–Sp8,3085.4277,2498.3139118511167,1019.9323835553047,
20,β-GalNAc–Sp8,1405.3554000000001,2304.0048668090276,940.606048095206,
21,β-GlcNAc–Sp0,5423.3627,3268.864198148751,1334.508220652754,
22,β-GlcNAc–Sp8,2513.10095,2704.859488675903,1104.254262196896,
23,b-GlcN(Gc)-Sp8,11964.108016666667,6602.652461335822,2695.521579867367,
24,"(Galβ1-4GlcNAcβ)2-3,6-GalNAcα–Sp8",5676.284350000001,3832.299798285111,1564.5298411949038,
25,(GlcNAcb1-3(GlcNAcb1-6)GlcNAcb1-4)GlcNAc-Sp8,2812.747666666666,1251.4038730776913,510.88349186382453,
26,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,37438.7779,8312.355062584285,3393.5047440286717,
27,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,23274.83725,8034.086743547879,3279.9021784918064,
