Chart Number,Structure,RFU,StDev,SEM,CV
1,Gala-Sp8,26.618100000000002,23.99904017719598,90.16060566755696,
2,Glca-Sp8,22.310575000000004,8.055022782245828,36.10405730128348,
3,Mana-Sp8,28.38185,14.90544162389473,52.51751250850361,
4,GalNAca-Sp8,18.104450000000003,9.138889101161762,50.47868949988407,
5,GalNAca-Sp15,22.8764,3.609252187549862,15.777186041290857,
6,Fuca-Sp8,16.8014,9.524001121727752,56.68575905417258,
7,Fuca-Sp9,25.964225000000003,16.828330743397178,64.8135299374319,
8,Rhaa-Sp8,6.5225500000000025,4.849079380322269,74.34330714708615,
9,Neu5Aca-Sp8,51.9008,12.14050169007299,23.391742882716628,
10,Neu5Aca-Sp11,445.5006750000001,49.44481266700909,11.098706565822617,
11,Neu5Acb-Sp8,1609.9214749999999,121.95813393016955,7.575408852172096,
12,Galb-Sp8,71.815425,27.08127454735408,37.70955132181433,
13,Glcb-Sp8,12.729225,8.391621327401525,65.92405529324469,
14,Manb-Sp8,12.225575000000003,10.72019393524047,87.68662361680713,
15,GalNAcb-Sp8,98.442575,55.81825737142368,56.70133818769336,
16,GlcNAcb-Sp0,3663.0589500000006,577.0022578573647,15.751923890205607,
17,GlcNAcb-Sp8,3880.4296999999997,735.066673056432,18.94291946730621,
18,GlcN(Gc)b-Sp8,35.13485,6.351839001160732,18.078457716941248,
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,23.388650000000002,9.15550608304463,39.145081409335845,
20,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,528.5161,40.175186770026635,7.601506703395911,
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,1951.0989750000003,164.1241075621573,8.411880159086099,
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,498.03235000000006,130.28431756090185,26.159810213312817,
23,6S(3S)Galb1-4GlcNAcb-Sp0,46.985074999999995,37.413701486966445,79.62890659846015,
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,56.089600000000004,38.91871219203776,69.38668165228091,
25,(3S)Galb1-4Glcb-Sp8,10.971100000000003,4.659964337488707,42.47490531932719,
26,(3S)Galb1-4(6S)Glcb-Sp0,18.463399999999996,25.48852818753305,138.04894108091173,
27,(3S)Galb1-4(6S)Glcb-Sp8,13.565799999999967,12.110399109577672,89.271543953012,
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,15.7675,15.948571478557776,101.14838419887602,
29,(3S)Galb1-3GalNAca-Sp8,12.923800000000004,10.067009949334514,77.89512333318768,
30,(3S)Galb1-3GlcNAcb-Sp0,7.153675,15.03603597259486,210.1861766517889,
31,(3S)Galb1-3GlcNAcb-Sp8,12.872274999999998,7.239866821231357,56.243879354903136,
32,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0 ,17.012099999999997,2.555765452201458,15.023221425934826,
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,9.123074999999998,6.880538180682772,75.41906846850183,
