Chart Number,Structure,RFU,StDev,SEM,CV
1,Neu5Aca2-8Neu5Acb-Sp17,455.5845249999999,251.61881191607267,125.80940595803634,55.22988558842571
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,219.39194999999995,141.25235988977323,70.62617994488662,64.38356552725534
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8,750.3223250000001,410.5863868433646,205.2931934216823,54.721334173731876
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,94.07862500000005,181.81296821404825,90.90648410702413,193.2564046445706
5,Gala-Sp8,560.358325,128.16230236647607,64.08115118323803,22.871490731662828
6,Glca-Sp8,95.86400000000003,126.12738563127347,63.063692815636735,131.56908290001817
7,Mana-Sp8,476.2908749999999,272.1938693112732,136.0969346556366,57.148663474032176
8,GalNAca-Sp8,93.192275,159.1359715456853,79.56798577284265,170.76090431925317
9,Fuca-Sp8,318.2287749999999,129.12713013004867,64.56356506502433,40.57682405685931
10,Fuca-Sp9,464.45180000000016,172.1234010476401,86.06170052382005,37.059475503731505
11,Rha-Sp8,879.8168250000001,673.0427079654321,336.52135398271605,76.49804923489978
12,Neu5Aca-Sp8,303.81540000000007,56.31324597451872,28.15662298725936,18.535349417613034
13,Neu5Aca-Sp11,783.927875,274.30107787478664,137.15053893739332,34.99060138342276
14,Neu5Acb-Sp8,1137.428925,348.2618839877677,174.13094199388385,30.6183425032705
15,Galb-Sp8,655.9310499999999,276.7330209557521,138.36651047787606,42.189346114313715
16,Glcb-Sp8,301.86895000000004,64.8095369605688,32.4047684802844,21.46942802847686
17,Manb-Sp8,547.8551999999999,83.05417181490647,41.527085907453234,15.159876517537205
18,GalNAcb-Sp8,278.5272,211.97073375586547,105.98536687793273,76.10414126730369
19,GlcNAcb-Sp0,373.8235750000002,234.3413501440632,117.1706750720316,62.68768633547606
20,GlcNAcb-Sp8,281.4729249999999,183.89136997810036,91.94568498905018,65.33181476623388
21,GlcN(Gc)b-Sp8,559.8612,247.2568337272536,123.6284168636268,44.163952373776496
22,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,407.4654,273.2724841275582,136.6362420637791,67.06642677576015
23,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8,525.29115,229.13005038583822,114.56502519291911,43.619628921187456
24,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0,800.0025,252.31622743355206,126.15811371677603,31.539429868475665
25,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,578.5473749999999,278.5308728408445,139.26543642042225,48.14314002217097
26,[3OSO3]Galb1-4Glcb-Sp8,223.63154999999995,303.50703404088796,151.75351702044398,135.71744865198494
27,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0,549.595475,166.78371249806173,83.39185624903087,30.34663131061291
28,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8,928.6704749999999,67.5228648366565,33.76143241832825,7.270917581035027
29,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8,468.28812499999987,415.99597226383,207.997986131915,88.83333786519361
30,[3OSO3]Galb1-3GalNAca-Sp8,1022.106875,625.9396500124392,312.9698250062196,61.24013694873535
31,[3OSO3]Galb1-3GlcNAcb-Sp8,506.44967500000007,316.5495733736438,158.2747866868219,62.50365811245584
32,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb-Sp8,318.916525,231.12882307622846,115.56441153811423,72.47314107546747
33,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8,506.4435500000001,209.93730443467294,104.96865221733647,41.45324872528693
34,[3OSO3]Galb1-4GlcNAcb-Sp0,494.4942000000001,143.25769133204187,71.62884566602094,28.97055037896134
35,[3OSO3]Galb1-4GlcNAcb-Sp8,475.30297500000006,423.78590031248376,211.89295015624188,89.16121350018558
36,[3OSO3]Galb-Sp8,947.7594999999999,304.2005574938458,152.1002787469229,32.09680910545828
37,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0,855.9696,526.3132283689694,263.1566141844847,61.48737389376554
38,[4OSO3]Galb1-4GlcNAcb-Sp8,494.40575,172.09394901027227,86.04697450513613,34.80824181560839
39,6-H2PO3Mana-Sp8,392.19295000000005,256.2145001829848,128.1072500914924,65.32868583766862
40,[6OSO3]Galb1-4Glcb-Sp0,665.138425,145.20198901730794,72.60099450865397,21.83034140860347
41,[6OSO3]Galb1-4Glcb-Sp8,763.7960499999998,541.4442289310477,270.7221144655239,70.88858719956039
42,[6OSO3]Galb1-4GlcNAcb-Sp8,603.121525,385.6356878161075,192.81784390805376,63.93996430754275
43,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,722.5774000000001,226.55096182166136,113.27548091083068,31.353175704313657
44,Neu5Aca2-3[6OSO3]Galb1-4GlcNAcb-Sp8,11091.713349999998,5198.41787275861,2599.208936379305,46.86758220954756
45,[6OSO3]GlcNAcb-Sp8,881.5643499999998,93.93906518109179,46.969532590545896,10.655951001318488
46,Neu5Ac(9Ac)a-Sp8,591.01875,104.25747765759253,52.128738828796266,17.640299509548985
47,Neu5Ac(9Ac)a2-6Galb1-4GlcNAcb-Sp8,282.58584999999994,196.49368417543798,98.24684208771899,69.53415543468932
48,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,262.53975,107.73605951350078,53.86802975675039,41.03609434895126
49,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,124.09375,82.16040935959767,41.08020467979883,66.20833793772664
50,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,309.2108999999999,284.8314202189896,142.4157101094948,92.1155820247571
51,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,93.61627500000003,227.1200123089314,113.5600061544657,242.60740166058872
52,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,256.8163500000001,156.25238868788523,78.12619434394261,60.84207204404438
53,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,375.764225,133.21006553561367,66.60503276780683,35.4504385125044
54,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp8,442.4577500000001,168.36401594138158,84.18200797069079,38.051998397899354
55,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,418.7770499999999,334.745787253089,167.3728936265445,79.93412897222737
56,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,240.23407499999996,162.7966514575445,81.39832572877225,67.76584523138298
57,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,286.2361999999998,177.3840227810833,88.69201139054165,61.971205172889874
58,Fuca1-2Galb1-3GalNAca-Sp8,313.37717499999997,251.4725349243183,125.73626746215915,80.2459639647713
59,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,263.11277500000006,102.22930097636294,51.11465048818147,38.85379604861942
60,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,563.3568500000001,95.69048327437439,47.84524163718719,16.985767240493193
61,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,166.75754999999998,44.461922750858974,22.230961375429487,26.662614526813915
62,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,108.29522500000002,122.12722788694242,61.06361394347121,112.77249563583473
63,Fuca1-2Galb1-3GlcNAcb-Sp0,233.959025,185.6410960478376,92.8205480239188,79.34769605397253
64,Fuca1-2Galb1-3GlcNAcb-Sp8,388.55547500000006,121.34936641821612,60.67468320910806,31.230898604173856
65,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,215.36465000000004,60.03704920383194,30.01852460191597,27.87692836490665
66,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,133.37372499999998,210.6775906945235,105.33879534726175,157.9603409101182
67,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,460.3847499999997,369.84911199160285,184.92455599580143,80.334787803376
68,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,83.14817500000001,202.48226564919003,101.24113282459501,243.51979541245493
69,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,263.205275,251.54550468547268,125.77275234273634,95.57008486455018
70,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,97.16712500000003,82.15152529979278,41.07576264989639,84.54662551741934
71,Fuca1-2Galb1-4GlcNAcb-Sp0,126.96940000000006,119.41597853804895,59.70798926902447,94.05099066235556
72,Fuca1-2Galb1-4GlcNAcb-Sp8,164.686075,108.30438212714418,54.15219106357209,65.76414073086883
73,Fuca1-2Galb1-4Glcb-Sp0,157.5276,85.97842741226813,42.989213706134066,54.57991324204021
74,Fuca1-2Galb-Sp8,-0.5920500000000004,64.73582132356604,32.36791066178302,-10934.181458249472
75,Fuca1-3GlcNAcb-Sp8,311.67712499999993,40.612537670886944,20.306268835443472,13.030323502530688
76,Fuca1-4GlcNAcb-Sp8,608.81015,123.10409635040607,61.55204817520303,20.22044086328161
77,Fucb1-3GlcNAcb-Sp8,346.5572749999999,178.5225831612419,89.26129158062095,51.513154113195846
78,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,261.93854999999996,68.60105391185074,34.30052695592537,26.189750959471507
79,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,165.7401,162.09085956680798,81.04542978340399,97.79821513731919
80,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,294.7600249999999,125.63518191940729,62.817590959703644,42.62286988183263
81,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,316.545925,286.9214675247493,143.46073376237464,90.64133980709096
82,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,118.47560000000001,58.13666100823686,29.06833050411843,49.07057740854391
83,GalNAca1-3(Fuca1-2)Galb-Sp8,190.27655,104.34926761073463,52.174633805367314,54.84084487065518
84,GalNAca1-3GalNAcb-Sp8,247.23692500000004,227.65390408276005,113.82695204138003,92.07924911813234
85,GalNAca1-3Galb-Sp8,411.612125,328.503046067515,164.2515230337575,79.80888465506574
86,GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,102.50314999999998,106.33237751837393,53.166188759186966,103.73571692028388
87,GalNAcb1-3GalNAca-Sp8,288.8032750000001,179.39249055699779,89.69624527849889,62.115808955766774
88,GalNAcb1-3(Fuca1-2)Galb-Sp8,397.81522499999994,287.17924056376796,143.58962028188398,72.18910250701643
89,GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,78.53202499999998,59.537980094971005,29.768990047485502,75.81363156619356
90,GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0,488.39875,130.13587721584204,65.06793860792102,26.645415700970172
91,GalNAcb1-4GlcNAcb-Sp0,177.688,157.66418686315535,78.83209343157768,88.7309142222071
92,GalNAcb1-4GlcNAcb-Sp8,323.6455,139.66539130433617,69.83269565216808,43.15381839214083
93,Gala1-2Galb-Sp8,248.18067499999995,227.7641020400621,113.88205102003106,91.77350413768605
94,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,143.2514,118.9011319045646,59.4505659522823,83.00172417481755
95,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,303.720475,252.5007209943155,126.25036049715774,83.13589032623351
96,Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,185.45342499999998,176.55749733070678,88.27874866535339,95.20314727576846
97,Gala1-3(Fuca1-2)Galb1-4Glcb-Sp0,375.31072500000005,139.438737735809,69.7193688679045,37.15287852107317
98,Gala1-3(Fuca1-2)Galb-Sp8,224.65732500000001,87.00227642992566,43.50113821496283,38.72665911513264
99,Gala1-3(Gala1-4)Galb1-4GlcNAcb-Sp8,318.26570000000004,281.6034196144284,140.8017098072142,88.48060586309752
100,Gala1-3GalNAca-Sp8,388.7419750000001,131.6473198225821,65.82365991129105,33.86496141112163
