glycan,binding,rfu
Glca-Sp8,0,20.0838
GalNAca-Sp8,0,13.314925
GalNAca-Sp15,0,16.941749999999995
Fuca-Sp8,0,2.8511000000000006
Fuca-Sp9,0,5.659125
Rhaa-Sp8,0,10.179750000000002
Neu5Aca-Sp8,0,13.668574999999995
Neu5Acb-Sp8,0,6.598900000000004
Glcb-Sp8,0,14.987525000000002
Manb-Sp8,0,18.178875000000005
GalNAcb-Sp8,0,19.688900000000004
GlcNAcb-Sp0,0,15.26195
GlcNAcb-Sp8,0,3.8749750000000014
GlcN(Gc)b-Sp8,0,15.363425000000005
Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,0,1.7214999999999991
GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,0,4.941124999999998
6S(3S)Galb1-4(6S)GlcNAcb-Sp0,0,2.1707999999999963
(3S)Galb1-4Glcb-Sp8,0,7.502575000000002
(3S)Galb1-4(6S)Glcb-Sp0,0,17.519625000000005
(3S)Galb1-4(6S)Glcb-Sp8,0,8.032075
(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,0,-2.454575
(3S)Galb1-3GalNAca-Sp8,0,-3.715124999999999
(3S)Galb1-3GlcNAcb-Sp0,0,5.779499999999999
(3S)Galb1-3GlcNAcb-Sp8,0,2.7848499999999987
(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,0,5.571425000000001
(3S)Galb1-4(6S)GlcNAcb-Sp0,0,4.396675
(3S)Galb1-4GlcNAcb-Sp0,0,4.059549999999998
(3S)Galb1-4GlcNAcb-Sp8,0,20.568700000000007
(3S)Galb-Sp8,0,-0.5023250000000008
(6S)(4S)Galb1-4GlcNAcb-Sp0,0,5.506574999999998
(4S)Galb1-4GlcNAcb-Sp8,0,3.0541750000000008
(6S)Galb1-4Glcb-Sp0,0,8.332250000000002
(6S)Galb1-4Glcb-Sp8,0,6.627100000000004
(6S)Galb1-4GlcNAcb-Sp8,0,19.9062
(6S)Galb1-4(6S)Glcb-Sp8,0,11.935525
Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,0,1.1402499999999964
(6S)GlcNAcb-Sp8,0,6.792925000000002
"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",0,-3.780124999999998
Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,1,198.0614
Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,1,1298.6712749999995
GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,1,346.35385
GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,1,6195.444575000001
Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,0,33.344500000000004
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,0,17.3238
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,0,33.3472
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,0,17.913549999999994
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,0,36.00870000000001
Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,0,20.0059
Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,0,13.685625
Fuca1-2Galb1-3GalNAca-Sp8,0,7.8313250000000085
Fuca1-2Galb1-3GalNAca-Sp14,0,6.915725
Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,0,-1.0019750000000016
Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,0,7.534474999999995
Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,0,3.3723500000000013
Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,0,14.24625
Fuca1-2Galb1-3GlcNAcb-Sp0,0,12.649925
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,0,4.0642999999999985
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,0,16.155699999999996
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,0,11.838499999999998
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,0,10.93265
Fuca1-2Galb1-4GlcNAcb-Sp8,0,5.656150000000002
Fuca1-3GlcNAcb-Sp8,0,4.772450000000003
Fuca1-4GlcNAcb-Sp8,0,-2.4273750000000014
GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,0,-0.6011250000000006
GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,0,-1.1401250000000012
GlcNAcb1-3Galb1-3GalNAca-Sp8,0,-3.034724999999998
GalNAca1-3(Fuca1-2)Galb-Sp18,0,13.228324999999998
GalNAca1-3GalNAcb-Sp8,0,-2.1561249999999976
GalNAca1-3Galb-Sp8,0,10.212174999999997
GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,0,19.445274999999988
GalNAcb1-3GalNAca-Sp8,0,9.902199999999992
GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,0,5.8645999999999985
GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0,0,11.355425
GalNAcb1-4GlcNAcb-Sp8,0,15.028275
Gala1-2Galb-Sp8,0,6.74875
Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,0,5.536699999999998
Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp8,0,19.203149999999994
Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,0,22.4644
Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp8,0,1.5406999999999993
Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,0,7.555999999999999
Gala1-3(Fuca1-2)Galb-Sp8,0,13.71405
Gala1-3(Fuca1-2)Galb-Sp18,0,14.432625000000002
Gala1-3GalNAca-Sp16,0,2.9474750000000025
Gala1-3GalNAcb-Sp8,0,12.193775
Gala1-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,0,20.666599999999995
Gala1-3Galb1-4GlcNAcb-Sp8,0,0.6905750000000026
Gala1-3Galb1-4Glcb-Sp0,0,16.7027
Gala1-3Galb1-4Glc-Sp10,0,9.814249999999998
Gala1-3Galb-Sp8,0,8.579224999999996
Gala1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,0,11.832775
Gala1-4Galb1-4GlcNAcb-Sp0,0,18.45245
Gala1-4Galb1-4GlcNAcb-Sp8,0,20.068125
Gala1-4Galb1-4Glcb-Sp0,0,11.920024999999995
Gala1-4GlcNAcb-Sp8,0,7.165099999999999
Galb1-2Galb-Sp8,0,8.357875000000002
Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,0,7.126375000000002
Galb1-3GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,0,2.311024999999999
Galb1-3(Fuca1-4)GlcNAc-Sp0,0,17.962525
Galb1-3(Fuca1-4)GlcNAc-Sp8,0,-0.5475499999999993
Fuca1-4(Galb1-3)GlcNAcb-Sp8,0,12.61535
Galb1-4GlcNAcb1-6GalNAc-Sp14,0,26.85960000000001
GlcNAcb1-6(Galb1-3)GalNAca-Sp8,0,2.8686750000000014
GlcNAcb1-6(Galb1-3)GalNAca-Sp14,0,8.347249999999995
