glycan,binding,rfu
Gala-Sp8,0,15.535100000000005
Mana-Sp8,0,27.831675000000004
GalNAca-Sp8,0,14.588775
Fuca-Sp9,0,7.162150000000002
Neu5Aca-Sp8,0,17.95590000000001
Neu5Acb-Sp8,0,7.853474999999999
Galb-Sp8,0,21.78635000000001
Manb-Sp8,0,19.77745
GlcNAcb-Sp8,0,12.980325000000002
GlcN(Gc)b-Sp8,0,8.169874999999998
Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,0,13.607075
GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,0,10.00895
6S(3S)Galb1-4(6S)GlcNAcb-Sp0,0,9.2229
(3S)Galb1-4Glcb-Sp8,0,8.808
(3S)Galb1-4(6S)Glcb-Sp8,0,14.114150000000002
(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,0,8.240524999999998
(3S)Galb1-3GalNAca-Sp8,0,30.100324999999994
(3S)Galb1-4(6S)GlcNAcb-Sp0,0,5.620899999999999
(3S)Galb1-4(6S)GlcNAcb-Sp8,0,6.909500000000001
(3S)Galb1-4GlcNAcb-Sp8,0,1.0283749999999987
(6S)(4S)Galb1-4GlcNAcb-Sp0,0,13.059024999999995
(4S)Galb1-4GlcNAcb-Sp8,0,13.595825000000005
(6P)Mana-Sp8,0,8.328425000000001
(6S)Galb1-4Glcb-Sp0,0,16.52655
(6S)Galb1-4Glcb-Sp8,0,5.4620750000000005
(6S)Galb1-4(6S)Glcb-Sp8,0,10.668824999999998
Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,0,6.1126749999999985
(6S)GlcNAcb-Sp8,0,-3.3333999999999997
"Neu5,9Ac2a-Sp8",0,5.9782500000000045
Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,0,11.499050000000004
Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,0,23.613925
GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,0,8.682849999999998
Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,0,12.187424999999998
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,0,21.61155
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,0,12.82575
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,0,9.0985
Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,0,16.732174999999998
Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,0,3.7514
Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,0,11.379675
Fuca1-2Galb1-3GalNAca-Sp8,0,14.639049999999996
Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,0,10.149674999999998
Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,0,11.5933
Fuca1-2Galb1-3GlcNAcb-Sp0,0,6.957225000000001
Fuca1-2Galb1-3GlcNAcb-Sp8,0,29.073475
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,0,13.6527
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,0,11.095225000000005
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,0,15.4527
Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,0,4.546425000000001
Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,0,10.155625
Fuca1-2Galb1-4GlcNAcb-Sp8,0,4.27905
Fuca1-2Galb1-4Glcb-Sp0,0,6.4682499999999985
Fuca1-2Galb-Sp8,0,7.078675000000002
Fuca1-3GlcNAcb-Sp8,0,-0.3962999999999983
Fuca1-4GlcNAcb-Sp8,0,8.220374999999999
Fucb1-3GlcNAcb-Sp8,0,-0.24630000000000066
GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,0,4.087099999999999
GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,0,22.200075
(3S)Galb1-4(Fuca1-3)Glcb-Sp0,0,12.890999999999995
GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,0,6.354975
GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,0,1.155625
GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,0,20.279000000000003
GlcNAcb1-3Galb1-3GalNAca-Sp8,0,12.779874999999995
GalNAca1-3(Fuca1-2)Galb-Sp8,0,2.2981749999999987
GalNAca1-3(Fuca1-2)Galb-Sp18,0,8.736625000000002
GalNAca1-3GalNAcb-Sp8,0,8.739775
GalNAca1-3Galb-Sp8,0,2.3321999999999985
GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,0,0.24094999999999975
GalNAcb1-3GalNAca-Sp8,0,21.456775
GalNAcb1-3(Fuca1-2)Galb-Sp8,0,-2.214149999999999
GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,0,12.798275
