glycan,binding,rfu
Gala-Sp8,0,26.749175000000005
GalNAca-Sp8,0,18.08385
GalNAca-Sp15,0,72.89037499999998
Fuca-Sp8,0,16.811724999999996
Rhaa-Sp8,0,20.919850000000004
Neu5Aca-Sp8,0,33.65304999999999
Neu5Aca-Sp11,0,20.627199999999995
Galb-Sp8,0,59.971
Glcb-Sp8,0,40.776675
Manb-Sp8,0,36.732375
GlcNAcb-Sp0,0,48.047700000000006
GlcN(Gc)b-Sp8,0,37.30970000000001
Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,0,23.843125
Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,0,27.672325
GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,0,18.53685
6S(3S)Galb1-4(6S)GlcNAcb-Sp0,0,11.893250000000082
6S(3S)Galb1-4GlcNAcb-Sp0,0,13.449525000000005
(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,0,99.90095
(3S)Galb1-4Glcb-Sp8,0,29.366575
(3S)Galb1-4(6S)Glcb-Sp0,0,19.146624999999997
(3S)Galb1-4(6S)Glcb-Sp8,0,22.303400000000003
(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,0,8.645375000000005
(3S)Galb1-3GalNAca-Sp8,0,20.64915
(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0,0,19.0051
(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,0,9.413325000000002
(3S)Galb1-4(6S)GlcNAcb-Sp0,0,10.2521
(3S)Galb1-4GlcNAcb-Sp0,0,10.507925
(3S)Galb1-4GlcNAcb-Sp8,0,7.006075000000001
(6S)(4S)Galb1-4GlcNAcb-Sp0,0,8.619674999999997
(4S)Galb1-4GlcNAcb-Sp8,0,7.624900000000001
(6P)Mana-Sp8,0,21.547424999999997
(6S)Galb1-4Glcb-Sp0,0,31.955575
(6S)Galb1-4(6S)Glcb-Sp8,0,33.720074999999994
Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,0,3.434199999999999
"Neu5,9Ac2a-Sp8",0,2.869824999999997
"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",0,12.9106
Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,1,30942.626575
GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,1,27556.49172500001
Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,1,22691.29785
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,1,21953.50935
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,1,24510.331600000005
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,1,22262.4539
Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,0,16.469025000000002
Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,0,9.59015
Fuca1-2Galb1-3GalNAca-Sp8,0,2.7295499999999984
Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,0,18.88905
Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,0,34.26665000000001
Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,0,55.34492499999999
Fuca1-2Galb1-3GlcNAcb-Sp0,0,19.309375
Fuca1-2Galb1-3GlcNAcb-Sp8,0,20.375249999999994
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,0,30.10835000000001
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,0,21.9455
