glycan,binding,rfu
Gala-Sp8,0,10.9285
Glca-Sp8,0,13.672575000000002
Mana-Sp8,0,8.4907
GalNAca-Sp8,0,-0.8468000000000018
Fuca-Sp8,0,6.902675
Fuca-Sp9,0,15.828975000000002
Rhaa-Sp8,0,4.448749999999991
Neu5Aca-Sp11,0,14.85415
Neu5Acb-Sp8,0,8.252824999999998
Galb-Sp8,0,13.412925
Manb-Sp8,0,-3.895375
GlcNAcb-Sp0,0,23.213775000000005
GlcNAcb-Sp8,0,6.6310499999999974
GlcN(Gc)b-Sp8,0,5.045275000000002
Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,0,19.225900000000006
Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,0,9.52995
GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,0,8.074825
6S(3S)Galb1-4(6S)GlcNAcb-Sp0,0,13.267699999999998
6S(3S)Galb1-4GlcNAcb-Sp0,0,1.39095
(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,0,23.78145
(3S)Galb1-4Glcb-Sp8,0,6.991624999999999
(3S)Galb1-4(6S)Glcb-Sp0,0,18.674525000000006
(3S)Galb1-4(6S)Glcb-Sp8,0,15.060999999999998
(3S)Galb1-3GlcNAcb-Sp0,0,4.732149999999999
(3S)Galb1-3GlcNAcb-Sp8,0,6.609149999999998
(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0,0,12.212625
(3S)Galb1-4(6S)GlcNAcb-Sp0,0,1.0540500000000022
(3S)Galb1-4(6S)GlcNAcb-Sp8,0,6.523850000000001
(3S)Galb1-4GlcNAcb-Sp8,0,16.694400000000005
(3S)Galb-Sp8,0,5.39125
(6S)(4S)Galb1-4GlcNAcb-Sp0,0,16.956649999999996
(4S)Galb1-4GlcNAcb-Sp8,0,14.553024999999995
(6S)Galb1-4GlcNAcb-Sp8,0,19.03135
(6S)Galb1-4(6S)Glcb-Sp8,0,10.601475
(6S)GlcNAcb-Sp8,0,3.90175
"Neu5,9Ac2a-Sp8",0,10.299900000000003
Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,0,10.068150000000003
