glycan,binding,rfu
Gala-Sp8,0,24.473424999999995
Mana-Sp8,0,50.244125
GalNAca-Sp8,0,53.69302500000001
GalNAca-Sp15,0,38.30842500000001
Fuca-Sp8,0,26.643475
Rhaa-Sp8,0,20.3898
Neu5Aca-Sp8,0,37.251425
Neu5Aca-Sp11,0,50.99667499999999
Neu5Acb-Sp8,0,23.154925
Galb-Sp8,0,18.142725000000006
Glcb-Sp8,0,15.808774999999995
Manb-Sp8,0,39.79622500000001
GlcNAcb-Sp0,0,48.26557499999999
GlcNAcb-Sp8,0,24.703525
GlcN(Gc)b-Sp8,0,12.852100000000002
Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,0,15.920399999999995
Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,0,20.838575
GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,0,28.92465000000001
(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,0,25.80167500000001
(3S)Galb1-4Glcb-Sp8,0,34.274175
(3S)Galb1-4(6S)Glcb-Sp0,0,23.342550000000006
(3S)Galb1-4(6S)Glcb-Sp8,0,61.00664999999999
(3S)Galb1-3GalNAca-Sp8,0,36.386425
(3S)Galb1-3GlcNAcb-Sp0,0,15.445549999999995
(3S)Galb1-3GlcNAcb-Sp8,0,46.4495
(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0,0,42.11682499999999
(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,0,62.86474999999997
(3S)Galb1-4(6S)GlcNAcb-Sp0,0,21.53667500000001
(3S)Galb1-4(6S)GlcNAcb-Sp8,0,27.18504999999999
(3S)Galb1-4GlcNAcb-Sp0,0,28.451475
(3S)Galb-Sp8,0,15.9844
(6S)(4S)Galb1-4GlcNAcb-Sp0,0,30.558399999999985
(4S)Galb1-4GlcNAcb-Sp8,0,11.9371
(6P)Mana-Sp8,0,9.028150000000004
(6S)Galb1-4Glcb-Sp0,0,7.7716749999999974
(6S)Galb1-4Glcb-Sp8,0,22.129475
(6S)Galb1-4GlcNAcb-Sp8,0,18.808999999999994
(6S)Galb1-4(6S)Glcb-Sp8,0,46.70082500000001
(6S)GlcNAcb-Sp8,0,3.5535500000000013
