glycan,binding,rfu
Gala-Sp8,0,7.456149999999997
Mana-Sp8,0,29.865925000000004
GalNAca-Sp8,0,8.253600000000006
GalNAca-Sp15,0,12.035799999999993
Fuca-Sp8,0,-2.5959249999999976
Fuca-Sp9,0,6.867600000000002
Rhaa-Sp8,0,2.7239500000000003
Neu5Aca-Sp8,0,2.4643499999999925
Neu5Aca-Sp11,0,-3.4621250000000057
Neu5Acb-Sp8,0,-0.5609999999999999
Galb-Sp8,0,34.04615
Glcb-Sp8,0,16.110100000000006
GalNAcb-Sp8,0,15.1525
GlcNAcb-Sp0,0,-1.601124999999998
GlcNAcb-Sp8,0,21.641224999999995
GlcN(Gc)b-Sp8,0,13.072324999999996
Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,0,-1.590599999999997
Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14,0,15.230275000000002
(3S)Galb1-4Glcb-Sp8,1,10002.389000000001
(3S)Galb1-4(6S)Glcb-Sp8,1,12484.724324999996
(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,0,-7.18275
(3S)Galb1-3GalNAca-Sp8,1,430.4278000000001
(3S)Galb1-3GlcNAcb-Sp0,1,4516.802225
(3S)Galb1-3GlcNAcb-Sp8,1,3974.9424
(3S)Galb1-4(Fuca1-3)GlcNAc-Sp0,0,5.024699999999996
(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,0,6.462975000000004
(3S)Galb1-4(6S)GlcNAcb-Sp0,1,9808.771325
(3S)Galb1-4(6S)GlcNAcb-Sp8,1,10529.5449
(3S)Galb1-4GlcNAcb-Sp0,1,8391.200174999998
(3S)Galb-Sp8,1,2573.514324999999
(6S)(4S)Galb1-4GlcNAcb-Sp0,0,-10.11485
(4S)Galb1-4GlcNAcb-Sp8,1,527.1759000000002
(6P)Mana-Sp8,0,5.862349999999994
(6S)Galb1-4Glcb-Sp0,0,9.98725
(6S)Galb1-4Glcb-Sp8,0,15.195849999999995
(6S)Galb1-4GlcNAcb-Sp8,1,1102.0641500000004
(6S)Galb1-4(6S)Glcb-Sp8,0,12.356500000000004
Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,0,-1.83315
(6S)GlcNAcb-Sp8,0,-4.717175000000001
"Neu5,9Ac2a-Sp8",0,-18.600875000000006
"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",0,-7.707649999999999
Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,0,-3.992899999999999
GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,0,-0.4868250000000014
GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,0,-1.5260000000000034
Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,0,3.859625000000003
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,0,2.8270999999999984
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,0,1.325625
